barcode_name	library	experiment	biological	microbes	genotype	technical	compartment	library_type	genotype_compartment	genotype_microbes	compartment_microbes	genotype_compartment_microbes	growth_promotion	experiment_biological	genotype_experiment_biological	genotype_biological	growth_promotion_three	Description
FP1A1bio1BFObak1bkk1tech3endophytesoomycete	ITS1_19	FP1	A1	bio1	BFO	bak1bkk1	tech3	endophytes	oomycetes	bak1bkk1_endophytes	bak1bkk1_BFO	endophytes_BFO	bak1bkk1_endophytes_BFO	no	A1_bio1	bak1bkk1_A1_bio1	bak1bkk1_bio1	low	FP1A1bio1BFObak1bkk1tech3endophytesoomycete
FP1A1bio1BFObak1bkk1tech4endophytesoomycete	ITS1_20	FP1	A1	bio1	BFO	bak1bkk1	tech4	endophytes	oomycetes	bak1bkk1_endophytes	bak1bkk1_BFO	endophytes_BFO	bak1bkk1_endophytes_BFO	no	A1_bio1	bak1bkk1_A1_bio1	bak1bkk1_bio1	low	FP1A1bio1BFObak1bkk1tech4endophytesoomycete
FP1A1bio2BFObak1bkk1tech1endophytesoomycete	ITS1_71	FP1	A1	bio2	BFO	bak1bkk1	tech1	endophytes	oomycetes	bak1bkk1_endophytes	bak1bkk1_BFO	endophytes_BFO	bak1bkk1_endophytes_BFO	no	A1_bio2	bak1bkk1_A1_bio2	bak1bkk1_bio2	low	FP1A1bio2BFObak1bkk1tech1endophytesoomycete
FP1A1bio2BFObak1bkk1tech2endophytesoomycete	ITS1_72	FP1	A1	bio2	BFO	bak1bkk1	tech2	endophytes	oomycetes	bak1bkk1_endophytes	bak1bkk1_BFO	endophytes_BFO	bak1bkk1_endophytes_BFO	no	A1_bio2	bak1bkk1_A1_bio2	bak1bkk1_bio2	low	FP1A1bio2BFObak1bkk1tech2endophytesoomycete
FP1A1bio2BFObak1bkk1tech3endophytesoomycete	ITS1_73	FP1	A1	bio2	BFO	bak1bkk1	tech3	endophytes	oomycetes	bak1bkk1_endophytes	bak1bkk1_BFO	endophytes_BFO	bak1bkk1_endophytes_BFO	no	A1_bio2	bak1bkk1_A1_bio2	bak1bkk1_bio2	low	FP1A1bio2BFObak1bkk1tech3endophytesoomycete
FP1A1bio2BFObak1bkk1tech4endophytesoomycete	ITS1_74	FP1	A1	bio2	BFO	bak1bkk1	tech4	endophytes	oomycetes	bak1bkk1_endophytes	bak1bkk1_BFO	endophytes_BFO	bak1bkk1_endophytes_BFO	no	A1_bio2	bak1bkk1_A1_bio2	bak1bkk1_bio2	low	FP1A1bio2BFObak1bkk1tech4endophytesoomycete
FP2A1bio4BFObak1bkk1tech1endophytesoomycete	ITS1_21	FP2	A1	bio4	BFO	bak1bkk1	tech1	endophytes	oomycetes	bak1bkk1_endophytes	bak1bkk1_BFO	endophytes_BFO	bak1bkk1_endophytes_BFO	no	A1_bio4	bak1bkk1_A1_bio4	bak1bkk1_bio4	low	FP2A1bio4BFObak1bkk1tech1endophytesoomycete
FP2A1bio4BFObak1bkk1tech2endophytesoomycete	ITS1_22	FP2	A1	bio4	BFO	bak1bkk1	tech2	endophytes	oomycetes	bak1bkk1_endophytes	bak1bkk1_BFO	endophytes_BFO	bak1bkk1_endophytes_BFO	no	A1_bio4	bak1bkk1_A1_bio4	bak1bkk1_bio4	low	FP2A1bio4BFObak1bkk1tech2endophytesoomycete
FP2A1bio4BFObak1bkk1tech3endophytesoomycete	ITS1_23	FP2	A1	bio4	BFO	bak1bkk1	tech3	endophytes	oomycetes	bak1bkk1_endophytes	bak1bkk1_BFO	endophytes_BFO	bak1bkk1_endophytes_BFO	no	A1_bio4	bak1bkk1_A1_bio4	bak1bkk1_bio4	low	FP2A1bio4BFObak1bkk1tech3endophytesoomycete
FP2A1bio4BFObak1bkk1tech4endophytesoomycete	ITS1_24	FP2	A1	bio4	BFO	bak1bkk1	tech4	endophytes	oomycetes	bak1bkk1_endophytes	bak1bkk1_BFO	endophytes_BFO	bak1bkk1_endophytes_BFO	no	A1_bio4	bak1bkk1_A1_bio4	bak1bkk1_bio4	low	FP2A1bio4BFObak1bkk1tech4endophytesoomycete
FP3A41BFObak1bkk1cerk11endophytesoomycete	ITS1_33	FP3	A4	bio1	BFO	bak1bkk1cerk1	tech1	endophytes	oomycetes	bak1bkk1cerk1_endophytes	bak1bkk1cerk1_BFO	endophytes_BFO	bak1bkk1cerk1_endophytes_BFO	no	A4_bio1	bak1bkk1cerk1_A4_bio1	bak1bkk1cerk1_bio1	low	FP3A41BFObak1bkk1cerk11endophytesoomycete
FP3A41BFObak1bkk1cerk12endophytesoomycete	ITS1_34	FP3	A4	bio1	BFO	bak1bkk1cerk1	tech2	endophytes	oomycetes	bak1bkk1cerk1_endophytes	bak1bkk1cerk1_BFO	endophytes_BFO	bak1bkk1cerk1_endophytes_BFO	no	A4_bio1	bak1bkk1cerk1_A4_bio1	bak1bkk1cerk1_bio1	low	FP3A41BFObak1bkk1cerk12endophytesoomycete
FP3A41BFObak1bkk1cerk13endophytesoomycete	ITS1_35	FP3	A4	bio1	BFO	bak1bkk1cerk1	tech3	endophytes	oomycetes	bak1bkk1cerk1_endophytes	bak1bkk1cerk1_BFO	endophytes_BFO	bak1bkk1cerk1_endophytes_BFO	no	A4_bio1	bak1bkk1cerk1_A4_bio1	bak1bkk1cerk1_bio1	low	FP3A41BFObak1bkk1cerk13endophytesoomycete
FP3A41BFObak1bkk1cerk14endophytesoomycete	ITS1_36	FP3	A4	bio1	BFO	bak1bkk1cerk1	tech4	endophytes	oomycetes	bak1bkk1cerk1_endophytes	bak1bkk1cerk1_BFO	endophytes_BFO	bak1bkk1cerk1_endophytes_BFO	no	A4_bio1	bak1bkk1cerk1_A4_bio1	bak1bkk1cerk1_bio1	low	FP3A41BFObak1bkk1cerk14endophytesoomycete
FP3A42BFObak1bkk1cerk11endophytesoomycete	ITS1_79	FP3	A4	bio2	BFO	bak1bkk1cerk1	tech1	endophytes	oomycetes	bak1bkk1cerk1_endophytes	bak1bkk1cerk1_BFO	endophytes_BFO	bak1bkk1cerk1_endophytes_BFO	no	A4_bio2	bak1bkk1cerk1_A4_bio2	bak1bkk1cerk1_bio2	low	FP3A42BFObak1bkk1cerk11endophytesoomycete
FP3A42BFObak1bkk1cerk12endophytesoomycete	ITS1_80	FP3	A4	bio2	BFO	bak1bkk1cerk1	tech2	endophytes	oomycetes	bak1bkk1cerk1_endophytes	bak1bkk1cerk1_BFO	endophytes_BFO	bak1bkk1cerk1_endophytes_BFO	no	A4_bio2	bak1bkk1cerk1_A4_bio2	bak1bkk1cerk1_bio2	low	FP3A42BFObak1bkk1cerk12endophytesoomycete
FP3A42BFObak1bkk1cerk13endophytesoomycete	ITS1_81	FP3	A4	bio2	BFO	bak1bkk1cerk1	tech3	endophytes	oomycetes	bak1bkk1cerk1_endophytes	bak1bkk1cerk1_BFO	endophytes_BFO	bak1bkk1cerk1_endophytes_BFO	no	A4_bio2	bak1bkk1cerk1_A4_bio2	bak1bkk1cerk1_bio2	low	FP3A42BFObak1bkk1cerk13endophytesoomycete
FP3A42BFObak1bkk1cerk14endophytesoomycete	ITS1_82	FP3	A4	bio2	BFO	bak1bkk1cerk1	tech4	endophytes	oomycetes	bak1bkk1cerk1_endophytes	bak1bkk1cerk1_BFO	endophytes_BFO	bak1bkk1cerk1_endophytes_BFO	no	A4_bio2	bak1bkk1cerk1_A4_bio2	bak1bkk1cerk1_bio2	low	FP3A42BFObak1bkk1cerk14endophytesoomycete
FP4A44BFObak1bkk1cerk11endophytesoomycete	ITS1_29	FP4	A4	bio4	BFO	bak1bkk1cerk1	tech1	endophytes	oomycetes	bak1bkk1cerk1_endophytes	bak1bkk1cerk1_BFO	endophytes_BFO	bak1bkk1cerk1_endophytes_BFO	no	A4_bio4	bak1bkk1cerk1_A4_bio4	bak1bkk1cerk1_bio4	low	FP4A44BFObak1bkk1cerk11endophytesoomycete
FP4A44BFObak1bkk1cerk12endophytesoomycete	ITS1_30	FP4	A4	bio4	BFO	bak1bkk1cerk1	tech2	endophytes	oomycetes	bak1bkk1cerk1_endophytes	bak1bkk1cerk1_BFO	endophytes_BFO	bak1bkk1cerk1_endophytes_BFO	no	A4_bio4	bak1bkk1cerk1_A4_bio4	bak1bkk1cerk1_bio4	low	FP4A44BFObak1bkk1cerk12endophytesoomycete
FP4A44BFObak1bkk1cerk13endophytesoomycete	ITS1_31	FP4	A4	bio4	BFO	bak1bkk1cerk1	tech3	endophytes	oomycetes	bak1bkk1cerk1_endophytes	bak1bkk1cerk1_BFO	endophytes_BFO	bak1bkk1cerk1_endophytes_BFO	no	A4_bio4	bak1bkk1cerk1_A4_bio4	bak1bkk1cerk1_bio4	low	FP4A44BFObak1bkk1cerk13endophytesoomycete
FP4A44BFObak1bkk1cerk14endophytesoomycete	ITS1_32	FP4	A4	bio4	BFO	bak1bkk1cerk1	tech4	endophytes	oomycetes	bak1bkk1cerk1_endophytes	bak1bkk1cerk1_BFO	endophytes_BFO	bak1bkk1cerk1_endophytes_BFO	no	A4_bio4	bak1bkk1cerk1_A4_bio4	bak1bkk1cerk1_bio4	low	FP4A44BFObak1bkk1cerk14endophytesoomycete
FP3A41BFObri3011endophytesoomycete	ITS1_5	FP3	A4	bio1	BFO	bri301	tech1	endophytes	oomycetes	bri301_endophytes	bri301_BFO	endophytes_BFO	bri301_endophytes_BFO	na	A4_bio1	bri301_A4_bio1	bri301_bio1	unknown	FP3A41BFObri3011endophytesoomycete
FP3A41BFObri3012endophytesoomycete	ITS1_6	FP3	A4	bio1	BFO	bri301	tech2	endophytes	oomycetes	bri301_endophytes	bri301_BFO	endophytes_BFO	bri301_endophytes_BFO	na	A4_bio1	bri301_A4_bio1	bri301_bio1	unknown	FP3A41BFObri3012endophytesoomycete
FP3A41BFObri3013endophytesoomycete	ITS1_7	FP3	A4	bio1	BFO	bri301	tech3	endophytes	oomycetes	bri301_endophytes	bri301_BFO	endophytes_BFO	bri301_endophytes_BFO	na	A4_bio1	bri301_A4_bio1	bri301_bio1	unknown	FP3A41BFObri3013endophytesoomycete
FP3A41BFObri3014endophytesoomycete	ITS1_8	FP3	A4	bio1	BFO	bri301	tech4	endophytes	oomycetes	bri301_endophytes	bri301_BFO	endophytes_BFO	bri301_endophytes_BFO	na	A4_bio1	bri301_A4_bio1	bri301_bio1	unknown	FP3A41BFObri3014endophytesoomycete
FP3A42BFObri3011endophytesoomycete	ITS1_51	FP3	A4	bio2	BFO	bri301	tech1	endophytes	oomycetes	bri301_endophytes	bri301_BFO	endophytes_BFO	bri301_endophytes_BFO	na	A4_bio2	bri301_A4_bio2	bri301_bio2	unknown	FP3A42BFObri3011endophytesoomycete
FP3A42BFObri3012endophytesoomycete	ITS1_52	FP3	A4	bio2	BFO	bri301	tech2	endophytes	oomycetes	bri301_endophytes	bri301_BFO	endophytes_BFO	bri301_endophytes_BFO	na	A4_bio2	bri301_A4_bio2	bri301_bio2	unknown	FP3A42BFObri3012endophytesoomycete
FP3A42BFObri3013endophytesoomycete	ITS1_53	FP3	A4	bio2	BFO	bri301	tech3	endophytes	oomycetes	bri301_endophytes	bri301_BFO	endophytes_BFO	bri301_endophytes_BFO	na	A4_bio2	bri301_A4_bio2	bri301_bio2	unknown	FP3A42BFObri3013endophytesoomycete
FP3A42BFObri3014endophytesoomycete	ITS1_54	FP3	A4	bio2	BFO	bri301	tech4	endophytes	oomycetes	bri301_endophytes	bri301_BFO	endophytes_BFO	bri301_endophytes_BFO	na	A4_bio2	bri301_A4_bio2	bri301_bio2	unknown	FP3A42BFObri3014endophytesoomycete
