project	biological	genotype	treatment	genotype_treatment	genotype_treatment_biological	technical	sample_code	compartment	qPCR_plate	Cq_ITS1	Cq_UBQ10	ITS1_UBQ_ref
G1	bio1	cyp79b2b3	FO	cyp79b2b3_FO	cyp79b2b3_FO_bio1	tech5	G1-1-70-FO	root	plate9	13.31		
G1	bio2	WT	BFO	WT_BFO	WT_BFO_bio2	tech1	G1-2-1-BFO	root	plate4	19.17	19.64	0.239254843
G1	bio2	WT	BFO	WT_BFO	WT_BFO_bio2	tech2	G1-2-2-BFO	root	plate4	18.31	19.23	0.32800264
G1	bio2	WT	BFO	WT_BFO	WT_BFO_bio2	tech3	G1-2-3-BFO	root	plate4	15.84	18.02	0.785498458
G1	bio2	WT	BFO	WT_BFO	WT_BFO_bio2	tech4	G1-2-4-BFO	root	plate4	14.85	17.64	1.197604653
G1	bio2	WT	BFO	WT_BFO	WT_BFO_bio2	tech5	G1-2-5-BFO	root	plate4	14.31	17.83	1.980649214
G1	bio2	WT	F	WT_F	WT_F_bio2	tech1	G1-2-11-F	root	plate7	14.18	19.63	6.232081265
G1	bio2	WT	F	WT_F	WT_F_bio2	tech2	G1-2-12-F	root	plate7			
G1	bio2	WT	F	WT_F	WT_F_bio2	tech3	G1-2-13-F	root	plate7	17.96	19.2	0.338497719
G1	bio2	WT	F	WT_F	WT_F_bio2	tech4	G1-2-14-F	root	plate7	11.6	18.87	22.04361212
G1	bio2	WT	F	WT_F	WT_F_bio2	tech5	G1-2-15-F	root	plate7	13.03	19.53	12.95209461
G1	bio2	WT	BF	WT_BF	WT_BF_bio2	tech1	G1-2-21-BF	root	plate2	16.48	18.91	0.999292062
G1	bio2	WT	BF	WT_BF	WT_BF_bio2	tech2	G1-2-22-BF	root	plate2	16.81	19.24	1.004375094
G1	bio2	WT	BF	WT_BF	WT_BF_bio2	tech3	G1-2-23-BF	root	plate2	14.82	18.53	2.437212869
G1	bio2	WT	BF	WT_BF	WT_BF_bio2	tech4	G1-2-24-BF	root	plate2	16.51	18.58	0.775977008
G1	bio2	WT	BF	WT_BF	WT_BF_bio2	tech5	G1-2-25-BF	root	plate2	17.01	18.46	0.50681868
G1	bio2	WT	FO	WT_FO	WT_FO_bio2	tech1	G1-2-31-FO	root	plate9	13.04	19.43	12.83132973
G1	bio2	WT	FO	WT_FO	WT_FO_bio2	tech2	G1-2-32-FO	root	plate10	13.31	18.91	
G1	bio2	WT	FO	WT_FO	WT_FO_bio2	tech3	G1-2-33-FO	root	plate10	13.02	19.1	14.03977106
G1	bio2	WT	FO	WT_FO	WT_FO_bio2	tech4	G1-2-34-FO	root	plate10	12.22	18	11.43480308
G1	bio2	WT	FO	WT_FO	WT_FO_bio2	tech5	G1-2-35-FO	root	plate10	12.46	18.36	12.41705951
G1	bio2	cyp79b2b3	BFO	cyp79b2b3_BFO	cyp79b2b3_BFO_bio2	tech1	G1-2-36-BFO	root	plate4	14.47	20.93	15.26039951
G1	bio2	cyp79b2b3	BFO	cyp79b2b3_BFO	cyp79b2b3_BFO_bio2	tech2	G1-2-37-BFO	root	plate4	16.86	20.72	2.532676375
G1	bio2	cyp79b2b3	BFO	cyp79b2b3_BFO	cyp79b2b3_BFO_bio2	tech3	G1-2-38-BFO	root	plate4	17.93	32.11	
G1	bio2	cyp79b2b3	BFO	cyp79b2b3_BFO	cyp79b2b3_BFO_bio2	tech4	G1-2-39-BFO	root	plate4	12.11	20.53	59.53479638
G1	bio2	cyp79b2b3	BFO	cyp79b2b3_BFO	cyp79b2b3_BFO_bio2	tech5	G1-2-40-BFO	root	plate4	12.37	19.11	18.60288854
G1	bio2	cyp79b2b3	F	cyp79b2b3_F	cyp79b2b3_F_bio2	tech1	G1-2-46-F	root	plate7	16.29		
G1	bio2	cyp79b2b3	F	cyp79b2b3_F	cyp79b2b3_F_bio2	tech2	G1-2-47-F	root	plate7			
G1	bio2	cyp79b2b3	F	cyp79b2b3_F	cyp79b2b3_F_bio2	tech3	G1-2-48-F	root	plate7	10.06		
G1	bio2	cyp79b2b3	F	cyp79b2b3_F	cyp79b2b3_F_bio2	tech4	G1-2-49-F	root	plate7	39.42		
G1	bio2	cyp79b2b3	F	cyp79b2b3_F	cyp79b2b3_F_bio2	tech5	G1-2-50-F	root	plate7			
G1	bio2	cyp79b2b3	BF	cyp79b2b3_BF	cyp79b2b3_BF_bio2	tech1	G1-2-56-BF	root	plate2	9.76	23.25	
G1	bio2	cyp79b2b3	BF	cyp79b2b3_BF	cyp79b2b3_BF_bio2	tech2	G1-2-57-BF	root	plate2	13.29	19.75	16.35915359
G1	bio2	cyp79b2b3	BF	cyp79b2b3_BF	cyp79b2b3_BF_bio2	tech3	G1-2-58-BF	root	plate2	15.1	18.73	2.294177965
G1	bio2	cyp79b2b3	BF	cyp79b2b3_BF	cyp79b2b3_BF_bio2	tech4	G1-2-59-BF	root	plate2	11.55	19.86	59.12844722
