project	biological	genotype	treatment	genotype_treatment	genotype_treatment_biological	technical	sample_code	compartment	qPCR_plate	Cq_16S	Cq_UBQ10	16S_UBQ_ref
G1	bio3	WT	BO	WT_BO	WT_BO_bio3	tech1	G1-3-26-BO	root	plate6	14.49	20.04	0.187028528
G1	bio3	WT	BO	WT_BO	WT_BO_bio3	tech2	G1-3-27-BO	root	plate6	14.13	19.28	0.141767238
G1	bio3	WT	BO	WT_BO	WT_BO_bio3	tech3	G1-3-28-BO	root	plate6	11.71	19.59	0.934494452
G1	bio3	WT	BO	WT_BO	WT_BO_bio3	tech4	G1-3-29-BO	root	plate6	13.44	19.24	0.222201786
G1	bio3	WT	BO	WT_BO	WT_BO_bio3	tech5	G1-3-30-BO	root	plate6	12.81	19.13	0.319943703
G1	bio3	cyp79b2b3	BFO	cyp79b2b3_BFO	cyp79b2b3_BFO_bio3	tech1	G1-3-36-BFO	root	plate5	13.69	20.1	0.510675907
G1	bio3	cyp79b2b3	BFO	cyp79b2b3_BFO	cyp79b2b3_BFO_bio3	tech2	G1-3-37-BFO	root	plate5	14.19	21.73	1.117408028
G1	bio3	cyp79b2b3	BFO	cyp79b2b3_BFO	cyp79b2b3_BFO_bio3	tech3	G1-3-38-BFO	root	plate5	14.25	20.52	0.463647195
G1	bio3	cyp79b2b3	BFO	cyp79b2b3_BFO	cyp79b2b3_BFO_bio3	tech4	G1-3-39-BFO	root	plate5	13.6	19.32	0.318391653
G1	bio3	cyp79b2b3	BFO	cyp79b2b3_BFO	cyp79b2b3_BFO_bio3	tech5	G1-3-40-BFO	root	plate5	13.51	18.56	0.1991465
G1	bio3	cyp79b2b3	B	cyp79b2b3_B	cyp79b2b3_B_bio3	tech1	G1-3-41-B	root	plate1	12.74	18.91	0.290753936
G1	bio3	cyp79b2b3	B	cyp79b2b3_B	cyp79b2b3_B_bio3	tech2	G1-3-42-B	root	plate1	14.28	19.48	0.149150681
G1	bio3	cyp79b2b3	B	cyp79b2b3_B	cyp79b2b3_B_bio3	tech3	G1-3-43-B	root	plate1	12.83	18.24	0.172872137
G1	bio3	cyp79b2b3	B	cyp79b2b3_B	cyp79b2b3_B_bio3	tech4	G1-3-44-B	root	plate1	9.83	18.74	1.946460757
G1	bio3	cyp79b2b3	B	cyp79b2b3_B	cyp79b2b3_B_bio3	tech5	G1-3-45-B	root	plate1	10.38	18.7	1.29485216
G1	bio3	cyp79b2b3	BF	cyp79b2b3_BF	cyp79b2b3_BF_bio3	tech1	G1-3-56-BF	root	plate3	13.96	20.07	0.300291839
G1	bio3	cyp79b2b3	BF	cyp79b2b3_BF	cyp79b2b3_BF_bio3	tech2	G1-3-57-BF	root	plate3	13.17	18.65	0.193982615
G1	bio3	cyp79b2b3	BF	cyp79b2b3_BF	cyp79b2b3_BF_bio3	tech3	G1-3-58-BF	root	plate3	14.32	19.35	0.141602532
G1	bio3	cyp79b2b3	BF	cyp79b2b3_BF	cyp79b2b3_BF_bio3	tech4	G1-3-59-BF	root	plate3	13.77	19.18	0.184276043
G1	bio3	cyp79b2b3	BF	cyp79b2b3_BF	cyp79b2b3_BF_bio3	tech5	G1-3-60-BF	root	plate3	14.31	19.31	0.138827004
G1	bio3	cyp79b2b3	BO	cyp79b2b3_BO	cyp79b2b3_BO_bio3	tech1	G1-3-61-BO	root	plate9	13.31	18.91	0.228684814
G1	bio3	cyp79b2b3	BO	cyp79b2b3_BO	cyp79b2b3_BO_bio3	tech2	G1-3-62-BO	root	plate9	13.02	19.1	0.316940166
G1	bio3	cyp79b2b3	BO	cyp79b2b3_BO	cyp79b2b3_BO_bio3	tech3	G1-3-63-BO	root	plate9	12.22	18	0.258134436
G1	bio3	cyp79b2b3	BO	cyp79b2b3_BO	cyp79b2b3_BO_bio3	tech4	G1-3-64-BO	root	plate9	12.46	18.36	0.280308338
G1	bio3	cyp79b2b3	BO	cyp79b2b3_BO	cyp79b2b3_BO_bio3	tech5	G1-3-65-BO	root	plate9	13.47	18.52	0.155558786
