project	biological	genotype	treatment	genotype_treatment	genotype_treatment_biological	technical	sample_code	compartment	qPCR_plate	Cq_oITS1	Cq_UBQ10	oITS1_UBQ_ref
G1	bio1	cyp79b2b3	FO	cyp79b2b3_FO	cyp79b2b3_FO_bio1	tech5	G1-1-70-FO	root	plate9	20.45		
G1	bio2	WT	BFO	WT_BFO	WT_BFO_bio2	tech1	G1-2-1-BFO	root	plate4	24.64	19.64	35.8035418
G1	bio2	WT	BFO	WT_BFO	WT_BFO_bio2	tech2	G1-2-2-BFO	root	plate4	26.25	19.23	8.864287158
G1	bio2	WT	BFO	WT_BFO	WT_BFO_bio2	tech3	G1-2-3-BFO	root	plate4	28.49	18.02	0.808484922
G1	bio2	WT	BFO	WT_BFO	WT_BFO_bio2	tech4	G1-2-4-BFO	root	plate4	17.34	17.64	1411.7769
G1	bio2	WT	BFO	WT_BFO	WT_BFO_bio2	tech5	G1-2-5-BFO	root	plate4	19.47	17.83	369.5048778
G1	bio2	WT	O	WT_O	WT_O_bio2	tech1	G1-2-16-O	root	plate8	14.62	18.17	4418.374328
G1	bio2	WT	O	WT_O	WT_O_bio2	tech2	G1-2-17-O	root	plate8	14.97	19.47	8600.589033
G1	bio2	WT	O	WT_O	WT_O_bio2	tech3	G1-2-18-O	root	plate8	14.27	19.19	11532.47698
G1	bio2	WT	O	WT_O	WT_O_bio2	tech4	G1-2-19-O	root	plate8			
G1	bio2	WT	O	WT_O	WT_O_bio2	tech5	G1-2-20-O	root	plate8			
G1	bio2	WT	BO	WT_BO	WT_BO_bio2	tech1	G1-2-26-BO	root	plate6	25.14	19.47	4.589951361
G1	bio2	WT	BO	WT_BO	WT_BO_bio2	tech2	G1-2-27-BO	root	plate6	28.41	18.91	0.321731264
G1	bio2	WT	BO	WT_BO	WT_BO_bio2	tech3	G1-2-28-BO	root	plate6	17.16		
G1	bio2	WT	BO	WT_BO	WT_BO_bio2	tech4	G1-2-29-BO	root	plate6	20.85	20.46	176.9369066
G1	bio2	WT	BO	WT_BO	WT_BO_bio2	tech5	G1-2-30-BO	root	plate6	18.94	19.27	293.0383405
G1	bio2	WT	FO	WT_FO	WT_FO_bio2	tech1	G1-2-31-FO	root	plate9	19.52	19.43	303.6314994
G1	bio2	WT	FO	WT_FO	WT_FO_bio2	tech2	G1-2-32-FO	root	plate10	30.24	18.91	
G1	bio2	WT	FO	WT_FO	WT_FO_bio2	tech3	G1-2-33-FO	root	plate10	31.46	19.1	3.05E-05
G1	bio2	WT	FO	WT_FO	WT_FO_bio2	tech4	G1-2-34-FO	root	plate10	25.93	18	0.000660396
G1	bio2	WT	FO	WT_FO	WT_FO_bio2	tech5	G1-2-35-FO	root	plate10	30.58	18.36	3.37E-05
G1	bio2	cyp79b2b3	BFO	cyp79b2b3_BFO	cyp79b2b3_BFO_bio2	tech1	G1-2-36-BFO	root	plate4	28.82	20.93	4.854348396
G1	bio2	cyp79b2b3	BFO	cyp79b2b3_BFO	cyp79b2b3_BFO_bio2	tech2	G1-2-37-BFO	root	plate4	27.23	20.72	12.63890989
G1	bio2	cyp79b2b3	BFO	cyp79b2b3_BFO	cyp79b2b3_BFO_bio2	tech3	G1-2-38-BFO	root	plate4	29.32	32.11	
G1	bio2	cyp79b2b3	BFO	cyp79b2b3_BFO	cyp79b2b3_BFO_bio2	tech4	G1-2-39-BFO	root	plate4	28.36	20.53	5.063080777
G1	bio2	cyp79b2b3	BFO	cyp79b2b3_BFO	cyp79b2b3_BFO_bio2	tech5	G1-2-40-BFO	root	plate4	24.52	19.11	27.08849388
G1	bio2	cyp79b2b3	O	cyp79b2b3_O	cyp79b2b3_O_bio2	tech1	G1-2-51-O	root	plate8	34.78		
G1	bio2	cyp79b2b3	O	cyp79b2b3_O	cyp79b2b3_O_bio2	tech2	G1-2-52-O	root	plate8	15.29		
G1	bio2	cyp79b2b3	O	cyp79b2b3_O	cyp79b2b3_O_bio2	tech3	G1-2-53-O	root	plate8	15.02	32.56	
G1	bio2	cyp79b2b3	O	cyp79b2b3_O	cyp79b2b3_O_bio2	tech4	G1-2-54-O	root	plate8	15.19		
G1	bio2	cyp79b2b3	O	cyp79b2b3_O	cyp79b2b3_O_bio2	tech5	G1-2-55-O	root	plate8	14.73		
G1	bio2	cyp79b2b3	BO	cyp79b2b3_BO	cyp79b2b3_BO_bio2	tech1	G1-2-61-BO	root	plate6	17.86	20.34	1295.730597
G1	bio2	cyp79b2b3	BO	cyp79b2b3_BO	cyp79b2b3_BO_bio2	tech2	G1-2-62-BO	root	plate6	16.41	19.74	2334.360887
G1	bio2	cyp79b2b3	BO	cyp79b2b3_BO	cyp79b2b3_BO_bio2	tech3	G1-2-63-BO	root	plate6	17.26	20.34	1975.977018
G1	bio2	cyp79b2b3	BO	cyp79b2b3_BO	cyp79b2b3_BO_bio2	tech4	G1-2-64-BO	root	plate6	15.1	19.64	5415.451718
G1	bio2	cyp79b2b3	BO	cyp79b2b3_BO	cyp79b2b3_BO_bio2	tech5	G1-2-65-BO	root	plate6	14.35	18.57	4339.110426
G1	bio2	cyp79b2b3	FO	cyp79b2b3_FO	cyp79b2b3_FO_bio2	tech1	G1-2-66-FO	root	plate10	27.08	18.52	
G1	bio2	cyp79b2b3	FO	cyp79b2b3_FO	cyp79b2b3_FO_bio2	tech2	G1-2-67-FO	root	plate10	37	18.77	
G1	bio2	cyp79b2b3	FO	cyp79b2b3_FO	cyp79b2b3_FO_bio2	tech3	G1-2-68-FO	root	plate10		18.98	
G1	bio2	cyp79b2b3	FO	cyp79b2b3_FO	cyp79b2b3_FO_bio2	tech4	G1-2-69-FO	root	plate10	37.13	20.05	
G1	bio2	cyp79b2b3	FO	cyp79b2b3_FO	cyp79b2b3_FO_bio2	tech5	G1-2-70-FO	root	plate10	22.02	19.13	
G1	bio3	WT	BFO	WT_BFO	WT_BFO_bio3	tech1	G1-3-1-BFO	root	plate5	16.56	19.33	3143.146627
G1	bio3	WT	BFO	WT_BFO	WT_BFO_bio3	tech2	G1-3-2-BFO	root	plate5	17.03	19.17	2036.841336
G1	bio3	WT	BFO	WT_BFO	WT_BFO_bio3	tech3	G1-3-3-BFO	root	plate5	16.74	18.36	1417.26831
G1	bio3	WT	BFO	WT_BFO	WT_BFO_bio3	tech4	G1-3-4-BFO	root	plate5	15.91	19.14	4316.071335
G1	bio3	WT	BFO	WT_BFO	WT_BFO_bio3	tech5	G1-3-5-BFO	root	plate5	19.94	17.84	107.9111734
