exp	biol1	gen	treat	FW_g	FP	No
NF1	biol1	cyp79	BF-new	0.0976	fp1	p1
NF1	biol1	cyp79	BF-new	0.0412	fp1	p2
NF1	biol1	cyp79	BF-new	0.0384	fp1	p3
NF1	biol1	cyp79	BF-new	0.0358	fp1	p4
NF1	biol1	cyp79	BF-new	0.0211	fp2	p1
NF1	biol1	cyp79	BF-new	0.0151	fp2	p2
NF1	biol1	cyp79	BF-new	0.0192	fp2	p3
NF1	biol1	cyp79	BF-new	0.0348	fp2	p4
NF1	biol1	cyp79	BF-new	0.0281	fp3	p1
NF1	biol1	cyp79	BF-new	0.0168	fp3	p2
NF1	biol1	cyp79	BF-new	0.0247	fp3	p3
NF1	biol1	cyp79	BF-new	0.0233	fp3	p4
NF1	biol1	cyp79	BF-new	0.0073	fp4	p1
NF1	biol1	cyp79	BF-new	0.0502	fp4	p2
NF1	biol1	cyp79	BF-new	0.0528	fp4	p3
NF1	biol1	cyp79	BF-new	0.0111	fp4	p4
NF1	biol1	cyp79	BF-new	0.0255	fp5	p1
NF1	biol1	cyp79	BF-new	0.005	fp5	p2
NF1	biol1	cyp79	BF-new	0	fp5	p3
NF1	biol1	cyp79	BF-new	0	fp5	p4
NF1	biol1	cyp79	BF-new	0.0604	fp6	p1
NF1	biol1	cyp79	BF-new	0.0408	fp6	p2
NF1	biol1	cyp79	BF-new	0.0328	fp6	p3
NF1	biol1	cyp79	BF-new	0.0306	fp6	p4
NF1	biol2	cyp79	BF-new	0.0708	fp1	pl1
NF1	biol2	cyp79	BF-new	0.012	fp1	pl2
NF1	biol2	cyp79	BF-new	0.0189	fp1	pl3
NF1	biol2	cyp79	BF-new	0.0255	fp1	pl4
NF1	biol2	cyp79	BF-new	0.0484	fp2	pl1
NF1	biol2	cyp79	BF-new	0.0125	fp2	pl2
NF1	biol2	cyp79	BF-new	0.0136	fp2	pl3
NF1	biol2	cyp79	BF-new	0.0182	fp2	pl4
NF1	biol2	cyp79	BF-new	0.0513	fp3	pl1
NF1	biol2	cyp79	BF-new	0.0258	fp3	pl2
NF1	biol2	cyp79	BF-new	0.0048	fp3	pl3
NF1	biol2	cyp79	BF-new	0.0425	fp3	pl4
NF1	biol2	cyp79	BF-new	0.0198	fp4	pl1
NF1	biol2	cyp79	BF-new	0.0156	fp4	pl2
NF1	biol2	cyp79	BF-new	0.0622	fp4	pl3
NF1	biol2	cyp79	BF-new	0.1196	fp4	pl4
NF1	biol2	cyp79	BF-new	0.0361	fp5	pl1
NF1	biol2	cyp79	BF-new	0.0317	fp5	pl2
NF1	biol2	cyp79	BF-new	0.0166	fp5	pl3
NF1	biol2	cyp79	BF-new	0.0226	fp5	pl4
NF1	biol2	cyp79	BF-new	0.0114	fp6	pl1
NF1	biol2	cyp79	BF-new	0.0244	fp6	pl2
NF1	biol2	cyp79	BF-new	0.0109	fp6	pl3
NF1	biol2	cyp79	BF-new	0	fp6	pl4
NF1	biol3	cyp79	BF-new	0.0308	fp1	pl1
NF1	biol3	cyp79	BF-new	0.0101	fp1	pl2
NF1	biol3	cyp79	BF-new	0.0054	fp1	pl3
NF1	biol3	cyp79	BF-new	0.0138	fp1	pl4
NF1	biol3	cyp79	BF-new	0.0107	fp2	pl1
NF1	biol3	cyp79	BF-new	0.0109	fp2	pl2
NF1	biol3	cyp79	BF-new	0.021	fp2	pl3
NF1	biol3	cyp79	BF-new	0.0099	fp2	pl4
NF1	biol3	cyp79	BF-new	0.0352	fp3	pl1
NF1	biol3	cyp79	BF-new	0.0785	fp3	pl2
NF1	biol3	cyp79	BF-new	0.0153	fp3	pl3
NF1	biol3	cyp79	BF-new	0.0218	fp3	pl4
NF1	biol3	cyp79	BF-new	0.0327	fp4	pl1
NF1	biol3	cyp79	BF-new	0.0109	fp4	pl2
NF1	biol3	cyp79	BF-new	0.0342	fp4	pl3
NF1	biol3	cyp79	BF-new	0.0509	fp4	pl4
NF1	biol3	cyp79	BF-new	0.0385	fp5	pl1
NF1	biol3	cyp79	BF-new	0.0525	fp5	pl2
NF1	biol3	cyp79	BF-new	0.0253	fp5	pl3
NF1	biol3	cyp79	BF-new	0.0517	fp5	pl4
NF1	biol3	cyp79	BF-new	0.0352	fp6	pl1
NF1	biol3	cyp79	BF-new	0.0626	fp6	pl2
NF1	biol3	cyp79	BF-new	0.0238	fp6	pl3
NF1	biol3	cyp79	BF-new	0.0122	fp6	pl4
NF1	biol2	cyp79	B-new	0.0269	fp1	pl1
NF1	biol2	cyp79	B-new	0.019	fp1	pl2
NF1	biol2	cyp79	B-new	0.062	fp1	pl3
NF1	biol2	cyp79	B-new	0.019	fp1	pl4
NF1	biol2	cyp79	B-new	0.0328	fp2	pl1
NF1	biol2	cyp79	B-new	0.0364	fp2	pl2
NF1	biol2	cyp79	B-new	0.0094	fp2	pl3
NF1	biol2	cyp79	B-new	0.0155	fp2	pl4
NF1	biol2	cyp79	B-new	0.0295	fp3	pl1
NF1	biol2	cyp79	B-new	0.0152	fp3	pl2
NF1	biol2	cyp79	B-new	0.0335	fp3	pl3
NF1	biol2	cyp79	B-new	0.0257	fp3	pl4
NF1	biol2	cyp79	B-new	0.0506	fp4	pl1
NF1	biol2	cyp79	B-new	0.0398	fp4	pl2
NF1	biol2	cyp79	B-new	0.0303	fp4	pl3
NF1	biol2	cyp79	B-new	0.0198	fp4	pl4
NF1	biol2	cyp79	B-new	0.041	fp5	pl1
NF1	biol2	cyp79	B-new	0.0099	fp5	pl2
NF1	biol2	cyp79	B-new	0.021	fp5	pl3
NF1	biol2	cyp79	B-new	0.03	fp5	pl4
NF1	biol2	cyp79	B-new	0.0142	fp6	pl1
NF1	biol2	cyp79	B-new	0.1269	fp6	pl2
NF1	biol2	cyp79	B-new	0.0546	fp6	pl3
NF1	biol2	cyp79	B-new	0.006	fp6	pl4
NF1	biol3	cyp79	B-new	0.0398	fp1	pl1
NF1	biol3	cyp79	B-new	0.0484	fp1	pl2
NF1	biol3	cyp79	B-new	0.0295	fp1	pl3
NF1	biol3	cyp79	B-new	0.0268	fp1	pl4
NF1	biol3	cyp79	B-new	0.022	fp2	pl1
NF1	biol3	cyp79	B-new	0.0279	fp2	pl2
NF1	biol3	cyp79	B-new	0.0468	fp2	pl3
NF1	biol3	cyp79	B-new	0.0197	fp2	pl4
NF1	biol3	cyp79	B-new	0.0339	fp3	pl1
NF1	biol3	cyp79	B-new	0.0336	fp3	pl2
NF1	biol3	cyp79	B-new	0.0393	fp3	pl3
NF1	biol3	cyp79	B-new	0.0157	fp3	pl4
NF1	biol3	cyp79	B-new	0.0313	fp4	pl1
NF1	biol3	cyp79	B-new	0.0356	fp4	pl2
NF1	biol3	cyp79	B-new	0.0297	fp4	pl3
NF1	biol3	cyp79	B-new	0.0042	fp4	pl4
NF1	biol3	cyp79	B-new	0.0254	fp5	pl1
NF1	biol3	cyp79	B-new	0.0128	fp5	pl2
NF1	biol3	cyp79	B-new	0.0252	fp5	pl3
NF1	biol3	cyp79	B-new	0.0266	fp5	pl4
NF1	biol3	cyp79	B-new	0.0205	fp6	pl1
NF1	biol3	cyp79	B-new	0.0244	fp6	pl2
NF1	biol3	cyp79	B-new	0.0178	fp6	pl3
NF1	biol3	cyp79	B-new	0.0187	fp6	pl4
NF1	biol1	cyp79	F-new	0	fp1	p1
NF1	biol1	cyp79	F-new	0	fp1	p2
NF1	biol1	cyp79	F-new	0	fp1	p3
NF1	biol1	cyp79	F-new	0	fp1	p4
NF1	biol1	cyp79	F-new	0	fp2	p1
NF1	biol1	cyp79	F-new	0	fp2	p2
NF1	biol1	cyp79	F-new	0	fp2	p3
NF1	biol1	cyp79	F-new	0	fp2	p4
NF1	biol1	cyp79	F-new	0.014	fp3	p1
NF1	biol1	cyp79	F-new	0	fp3	p2
NF1	biol1	cyp79	F-new	0	fp3	p3
NF1	biol1	cyp79	F-new	0	fp3	p4
NF1	biol1	cyp79	F-new	0	fp4	p1
NF1	biol1	cyp79	F-new	0	fp4	p2
NF1	biol1	cyp79	F-new	0	fp4	p3
NF1	biol1	cyp79	F-new	0	fp4	p4
NF1	biol1	cyp79	F-new	0.0276	fp5	p1
NF1	biol1	cyp79	F-new	0	fp5	p2
NF1	biol1	cyp79	F-new	0	fp5	p3
NF1	biol1	cyp79	F-new	0	fp5	p4
NF1	biol1	cyp79	F-new	0	fp6	p1
NF1	biol1	cyp79	F-new	0	fp6	p2
NF1	biol1	cyp79	F-new	0	fp6	p3
NF1	biol1	cyp79	F-new	0	fp6	p4
NF1	biol2	cyp79	F-new	0	fp1	pl1
NF1	biol2	cyp79	F-new	0	fp1	pl2
NF1	biol2	cyp79	F-new	0	fp1	pl3
NF1	biol2	cyp79	F-new	0	fp1	pl4
NF1	biol2	cyp79	F-new	0.0046	fp2	pl1
NF1	biol2	cyp79	F-new	0.0208	fp2	pl2
NF1	biol2	cyp79	F-new	0.0178	fp2	pl3
NF1	biol2	cyp79	F-new	0	fp2	pl4
NF1	biol2	cyp79	F-new	0	fp3	pl1
NF1	biol2	cyp79	F-new	0	fp3	pl2
NF1	biol2	cyp79	F-new	0	fp3	pl3
NF1	biol2	cyp79	F-new	0	fp3	pl4
NF1	biol2	cyp79	F-new	0.0441	fp4	pl1
NF1	biol2	cyp79	F-new	0.0072	fp4	pl2
NF1	biol2	cyp79	F-new	0.0043	fp4	pl3
NF1	biol2	cyp79	F-new	0	fp4	pl4
NF1	biol2	cyp79	F-new	0.0039	fp5	pl1
NF1	biol2	cyp79	F-new	0.0246	fp5	pl2
NF1	biol2	cyp79	F-new	0.0255	fp5	pl3
NF1	biol2	cyp79	F-new	0	fp5	pl4
NF1	biol2	cyp79	F-new	0.0045	fp6	pl1
NF1	biol2	cyp79	F-new	0.0097	fp6	pl2
NF1	biol2	cyp79	F-new	0	fp6	pl3
NF1	biol2	cyp79	F-new	0	fp6	pl4
NF1	biol3	cyp79	F-new	0.0088	fp1	pl1
NF1	biol3	cyp79	F-new	0.0132	fp1	pl2
NF1	biol3	cyp79	F-new	0.0119	fp1	pl3
NF1	biol3	cyp79	F-new	0	fp1	pl4
NF1	biol3	cyp79	F-new	0.0202	fp2	pl1
NF1	biol3	cyp79	F-new	0.0153	fp2	pl2
NF1	biol3	cyp79	F-new	0.0066	fp2	pl3
NF1	biol3	cyp79	F-new	0	fp2	pl4
NF1	biol3	cyp79	F-new	0.0105	fp3	pl1
NF1	biol3	cyp79	F-new	0.025	fp3	pl2
NF1	biol3	cyp79	F-new	0	fp3	pl3
NF1	biol3	cyp79	F-new	0	fp3	pl4
NF1	biol3	cyp79	F-new	0.02	fp4	pl1
NF1	biol3	cyp79	F-new	0	fp4	pl2
NF1	biol3	cyp79	F-new	0	fp4	pl3
NF1	biol3	cyp79	F-new	0.0164	fp4	pl4
NF1	biol3	cyp79	F-new	0.0396	fp5	pl1
NF1	biol3	cyp79	F-new	0.0909	fp5	pl2
NF1	biol3	cyp79	F-new	0	fp5	pl3
NF1	biol3	cyp79	F-new	0.005	fp5	pl4
NF1	biol3	cyp79	F-new	0.0037	fp6	pl1
NF1	biol3	cyp79	F-new	0.0043	fp6	pl2
NF1	biol3	cyp79	F-new	0	fp6	pl3
NF1	biol3	cyp79	F-new	0	fp6	pl4
NF1	biol1	cyp79	S-new	0.0334	fp1	p1
NF1	biol1	cyp79	S-new	0.0534	fp1	p2
NF1	biol1	cyp79	S-new	0.0288	fp1	p3
NF1	biol1	cyp79	S-new	0.0383	fp1	p4
NF1	biol1	cyp79	S-new	0.018	fp2	p1
NF1	biol1	cyp79	S-new	0.028	fp2	p2
NF1	biol1	cyp79	S-new	0.0182	fp2	p3
NF1	biol1	cyp79	S-new	0.0192	fp2	p4
NF1	biol1	cyp79	S-new	0.0165	fp3	p1
NF1	biol1	cyp79	S-new	0.0355	fp3	p2
