experiment	biological	genotype	treatment	flowpot_number	genotype_treatment	genotype_biological	treatment_biological	genotype_treatment_biological	seedling_number	seeds_planted	germination_percent	sowing_day_MDY	bolting_day_MDY	first_flower_day_MDY	siliques_day_MDY	days_to_bolting	days_to_flower	days_to_siliques	bolt_to_flower_days	bolt_to_silique_days	flower_to_silique_days	FW_rosette	FW_stem	DW_rosette	DW_stem	siliques_number	main_stem_cm	total_number_stems	rosette_water_content_percent	stem_water_content_percent	branching_points	average_stem_length	longest_stem	branching_per_stem
flower_flowpot	bio3	cyp79b2b3	B	5	cyp79b2b3_B	cyp79b2b3_bio3	B_bio3	cyp79b2b3_B_bio3	4	4	100	43810	43847	43854	43857	37	44	47	7	10	3	0.2734	0.4441	0.0616	0.0766	2	9	9	77.46891002	82.75163252	15	4.577777778	9.1	1.666666667
flower_flowpot	bio3	cyp79b2b3	F	1	cyp79b2b3_F	cyp79b2b3_bio3	F_bio3	cyp79b2b3_F_bio3	4	4	100	43810																						
flower_flowpot	bio3	cyp79b2b3	F	2	cyp79b2b3_F	cyp79b2b3_bio3	F_bio3	cyp79b2b3_F_bio3	3	4	75	43810																						
flower_flowpot	bio3	cyp79b2b3	F	3	cyp79b2b3_F	cyp79b2b3_bio3	F_bio3	cyp79b2b3_F_bio3	4	4	100	43810																						
flower_flowpot	bio3	cyp79b2b3	F	4	cyp79b2b3_F	cyp79b2b3_bio3	F_bio3	cyp79b2b3_F_bio3	5	4	125	43810																						
flower_flowpot	bio3	cyp79b2b3	F	5	cyp79b2b3_F	cyp79b2b3_bio3	F_bio3	cyp79b2b3_F_bio3	4	4	100	43810																						
flower_flowpot	bio3	cyp79b2b3	O	1	cyp79b2b3_O	cyp79b2b3_bio3	O_bio3	cyp79b2b3_O_bio3	3	4	75	43810																						
flower_flowpot	bio3	cyp79b2b3	O	2	cyp79b2b3_O	cyp79b2b3_bio3	O_bio3	cyp79b2b3_O_bio3	2	4	50	43810																						
flower_flowpot	bio3	cyp79b2b3	O	3	cyp79b2b3_O	cyp79b2b3_bio3	O_bio3	cyp79b2b3_O_bio3	2	4	50	43810																						
flower_flowpot	bio3	cyp79b2b3	O	4	cyp79b2b3_O	cyp79b2b3_bio3	O_bio3	cyp79b2b3_O_bio3	4	4	100	43810																						
flower_flowpot	bio3	cyp79b2b3	O	5	cyp79b2b3_O	cyp79b2b3_bio3	O_bio3	cyp79b2b3_O_bio3	4	4	100	43810																						
flower_flowpot	bio3	cyp79b2b3	BF	1	cyp79b2b3_BF	cyp79b2b3_bio3	BF_bio3	cyp79b2b3_BF_bio3	4	4	100	43810	43850	43857	43871	40	47	61	7	21	14	0.0808	0.2618	0.0287	0.0512	0	10	4	64.48019802	80.44308633	11	4.125	7.8	2.75
flower_flowpot	bio3	cyp79b2b3	BF	2	cyp79b2b3_BF	cyp79b2b3_bio3	BF_bio3	cyp79b2b3_BF_bio3	4	4	100	43810	43849	43853	43857	39	43	47	4	8	4	0.0611	0.4939	0.0192	0.0865	9	10.5	5	68.57610475	82.48633327	28	8.06	11.7	5.6
flower_flowpot	bio3	cyp79b2b3	BF	3	cyp79b2b3_BF	cyp79b2b3_bio3	BF_bio3	cyp79b2b3_BF_bio3	4	4	100	43810	43850	43854	43871	40	44	61	4	21	17	0.1049	0.4728	0.0287	0.0732	7	16	5	72.6406101	84.5177665	22	6.4	10.1	4.4
flower_flowpot	bio3	cyp79b2b3	BF	4	cyp79b2b3_BF	cyp79b2b3_bio3	BF_bio3	cyp79b2b3_BF_bio3	4	4	100	43810	43849	43854	43857	39	44	47	5	8	3	0.0544	0.3714	0.0229	0.0658	7	10.5	6	57.90441176	82.28325256	22	5.933333333	10.1	3.666666667
flower_flowpot	bio3	cyp79b2b3	BF	5	cyp79b2b3_BF	cyp79b2b3_bio3	BF_bio3	cyp79b2b3_BF_bio3	4	4	100	43810	43849	43853		39	43		4			0.1689	0.3297	0.0462	0.0622	0	8.5	8	72.64653641	81.13436457	11	4.4875	7.7	1.375
flower_flowpot	bio3	cyp79b2b3	BO	1	cyp79b2b3_BO	cyp79b2b3_bio3	BO_bio3	cyp79b2b3_BO_bio3	4	4	100	43810	43850	43854	43858	40	44	48	4	8	4	0.257	0.509	0.0507	0.0781	3	12	9	80.27237354	84.65618861	14	4.911111111	11.5	1.555555556
flower_flowpot	bio3	cyp79b2b3	BO	2	cyp79b2b3_BO	cyp79b2b3_bio3	BO_bio3	cyp79b2b3_BO_bio3	4	4	100	43810	43849	43852	43856	39	42	46	3	7	4	0.0936	0.2305	0.048	0.0792	17	11.5	5	48.71794872	65.63991323	16	6.58	10.9	3.2
flower_flowpot	bio3	cyp79b2b3	BO	3	cyp79b2b3_BO	cyp79b2b3_bio3	BO_bio3	cyp79b2b3_BO_bio3	4	4	100	43810	43848	43851	43855	38	41	45	3	7	4	0.1087	0.2047	0.0517	0.0731	3	12.5	6	52.43790248	64.28920371	11	4.816666667	11.4	1.833333333
flower_flowpot	bio3	cyp79b2b3	BO	4	cyp79b2b3_BO	cyp79b2b3_bio3	BO_bio3	cyp79b2b3_BO_bio3	4	4	100	43810	43850	43853	43857	40	43	47	3	7	4	0.1932	0.578	0.0541	0.0966	7	13	5	71.99792961	83.28719723	20	10.04	12.5	4
flower_flowpot	bio3	cyp79b2b3	BO	5	cyp79b2b3_BO	cyp79b2b3_bio3	BO_bio3	cyp79b2b3_BO_bio3	4	4	100	43810	43850	43854	43856	40	44	46	4	6	2	0.3041	0.5056	0.0537	0.0877	3	5	6	82.34133509	82.65427215	22	5.85	7.6	3.666666667
flower_flowpot	bio3	cyp79b2b3	FO	1	cyp79b2b3_FO	cyp79b2b3_bio3	FO_bio3	cyp79b2b3_FO_bio3	4	4	100	43810																						
flower_flowpot	bio3	cyp79b2b3	FO	2	cyp79b2b3_FO	cyp79b2b3_bio3	FO_bio3	cyp79b2b3_FO_bio3	2	4	50	43810																						
flower_flowpot	bio3	cyp79b2b3	FO	3	cyp79b2b3_FO	cyp79b2b3_bio3	FO_bio3	cyp79b2b3_FO_bio3	4	4	100	43810																						
flower_flowpot	bio3	cyp79b2b3	FO	4	cyp79b2b3_FO	cyp79b2b3_bio3	FO_bio3	cyp79b2b3_FO_bio3	3	4	75	43810																						
flower_flowpot	bio3	cyp79b2b3	FO	5	cyp79b2b3_FO	cyp79b2b3_bio3	FO_bio3	cyp79b2b3_FO_bio3	4	4	100	43810																						
flower_flowpot	bio3	cyp79b2b3	BFO	1	cyp79b2b3_BFO	cyp79b2b3_bio3	BFO_bio3	cyp79b2b3_BFO_bio3	4	4	100	43810	43849	43854	43857	39	44	47	5	8	3	0.0503	0.3007	0.0229	0.0736	8	9	4	54.47316103	75.52377785	17	7.275	8.8	4.25
flower_flowpot	bio3	cyp79b2b3	BFO	2	cyp79b2b3_BFO	cyp79b2b3_bio3	BFO_bio3	cyp79b2b3_BFO_bio3	4	4	100	43810	43848	43852		38	42		4			0.066	0.122	0.0365	0.0382	0	5	6	44.6969697	68.68852459	4	3.733333333	5.4	0.666666667
flower_flowpot	bio3	cyp79b2b3	BFO	3	cyp79b2b3_BFO	cyp79b2b3_bio3	BFO_bio3	cyp79b2b3_BFO_bio3	3	4	75	43810	43849	43854	43871	39	44	61	5	22	17	0.0484	0.3667	0.02	0.0674	3	6.5	6	58.67768595	81.61985274	18	5.75	9.6	3
flower_flowpot	bio3	cyp79b2b3	BFO	4	cyp79b2b3_BFO	cyp79b2b3_bio3	BFO_bio3	cyp79b2b3_BFO_bio3	4	4	100	43810	43850	43858		40	48		8			0.0549	0.2888	0.0163	0.0539	1	9.5	5	70.30965392	81.3365651	13	4.64	9.2	2.6
flower_flowpot	bio3	cyp79b2b3	BFO	5	cyp79b2b3_BFO	cyp79b2b3_bio3	BFO_bio3	cyp79b2b3_BFO_bio3	4	4	100	43810	43849	43853	43868	39	43	58	4	19	15	0.1223	0.2453	0.0487	0.0573	1	9	8	60.17988553	76.64084794	7	3.05	8	0.875
