FIT1_bacteria_bio2_cyp79b2b3_B_tech3	FIT1_bacteria_bio3_WT_B_tech1	FIT1_bacteria_bio1_WT_BF_tech1	FIT1_bacteria_bio1_WT_BF_tech4	FIT1_bacteria_bio1_cyp79b2b3_BO_tech5	FIT1_bacteria_bio3_cyp79b2b3_B_tech1	FIT1_bacteria_bio1_cyp79b2b3_BO_tech2	FIT1_bacteria_bio1_WT_B_tech2	FIT1_bacteria_bio3_cyp79b2b3_BF_tech4	FIT1_bacteria_bio3_cyp79b2b3_BF_tech3	FIT1_bacteria_bio3_WT_B_tech4	FIT1_bacteria_bio2_WT_BFO_tech1	FIT1_bacteria_bio3_soil_BFO_tech1	FIT1_bacteria_bio1_cyp79b2b3_BFO_tech2	FIT1_bacteria_bio3_WT_B_tech5	FIT1_bacteria_bio3_soil_B_tech2	FIT1_bacteria_bio2_soil_BF_tech2	FIT1_bacteria_bio1_soil_BO_tech1	FIT1_bacteria_bio1_cyp79b2b3_BFO_tech1	FIT1_bacteria_bio3_initial_initial_tech3	FIT1_bacteria_bio2_initial_initial_tech1	FIT1_bacteria_bio3_cyp79b2b3_B_tech5	FIT1_bacteria_bio1_WT_BF_tech3	FIT1_bacteria_bio2_cyp79b2b3_BF_tech3	FIT1_bacteria_bio2_WT_B_tech1	FIT1_bacteria_bio3_soil_BO_tech2	FIT1_bacteria_bio2_initial_initial_tech3	FIT1_bacteria_bio3_WT_BO_tech2	FIT1_bacteria_bio1_cyp79b2b3_BO_tech3	FIT1_bacteria_bio3_cyp79b2b3_BF_tech2	FIT1_bacteria_bio1_cyp79b2b3_B_tech4	FIT1_bacteria_bio3_WT_B_tech3	FIT1_bacteria_bio2_WT_B_tech5	FIT1_bacteria_bio3_WT_BF_tech1	FIT1_bacteria_bio2_cyp79b2b3_BF_tech2	FIT1_bacteria_bio3_cyp79b2b3_BO_tech5	FIT1_bacteria_bio3_cyp79b2b3_BFO_tech5	FIT1_bacteria_bio1_WT_BF_tech2	FIT1_bacteria_bio2_cyp79b2b3_BFO_tech5	FIT1_bacteria_bio2_WT_BFO_tech3	FIT1_bacteria_bio1_soil_BFO_tech2	FIT1_bacteria_bio2_soil_BFO_tech1	FIT1_bacteria_bio2_cyp79b2b3_BFO_tech1	FIT1_bacteria_bio3_WT_BO_tech3	FIT1_bacteria_bio2_WT_BO_tech5	FIT1_bacteria_bio2_WT_BO_tech3	FIT1_bacteria_bio1_WT_B_tech5	FIT1_bacteria_bio1_WT_BFO_tech1	FIT1_bacteria_bio3_soil_BF_tech2	FIT1_bacteria_bio3_cyp79b2b3_BO_tech2	FIT1_bacteria_bio3_soil_B_tech1	FIT1_bacteria_bio1_cyp79b2b3_BFO_tech3	FIT1_bacteria_bio1_initial_initial_tech3	FIT1_bacteria_bio2_cyp79b2b3_BFO_tech3	FIT1_bacteria_bio2_cyp79b2b3_BO_tech2	FIT1_bacteria_bio3_cyp79b2b3_BFO_tech3	FIT1_bacteria_bio3_WT_B_tech2	FIT1_bacteria_bio3_cyp79b2b3_BF_tech1	FIT1_bacteria_bio3_cyp79b2b3_BO_tech1	FIT1_bacteria_bio1_cyp79b2b3_BFO_tech5	FIT1_bacteria_bio3_WT_BF_tech2	FIT1_bacteria_bio3_soil_BF_tech1	FIT1_bacteria_bio3_initial_initial_tech1	FIT1_bacteria_bio1_initial_initial_tech1	FIT1_bacteria_bio2_cyp79b2b3_B_tech5	FIT1_bacteria_bio2_soil_B_tech2	FIT1_bacteria_bio2_cyp79b2b3_B_tech4	FIT1_bacteria_bio1_WT_B_tech1	FIT1_bacteria_bio1_cyp79b2b3_BF_tech1	FIT1_bacteria_bio2_soil_BO_tech1	FIT1_bacteria_bio1_WT_BF_tech5	FIT1_bacteria_bio3_cyp79b2b3_B_tech4	FIT1_bacteria_bio2_WT_BFO_tech2	FIT1_bacteria_bio3_cyp79b2b3_BO_tech3	FIT1_bacteria_bio1_soil_B_tech1	FIT1_bacteria_bio2_initial_initial_tech2	FIT1_bacteria_bio3_cyp79b2b3_BFO_tech2	FIT1_bacteria_bio2_cyp79b2b3_BF_tech1	FIT1_bacteria_bio3_WT_BO_tech4	FIT1_bacteria_bio2_cyp79b2b3_BFO_tech2	FIT1_bacteria_bio2_WT_B_tech2	FIT1_bacteria_bio1_WT_BFO_tech4	FIT1_bacteria_bio1_cyp79b2b3_BF_tech3	FIT1_bacteria_bio3_WT_BO_tech1	FIT1_bacteria_bio3_cyp79b2b3_BF_tech5	FIT1_bacteria_bio2_cyp79b2b3_BFO_tech4	FIT1_bacteria_bio2_cyp79b2b3_B_tech2	FIT1_bacteria_bio3_WT_BFO_tech1	FIT1_bacteria_bio3_soil_BFO_tech2	FIT1_bacteria_bio2_WT_BO_tech2	FIT1_bacteria_bio2_WT_BFO_tech4	FIT1_bacteria_bio2_soil_BO_tech2	FIT1_bacteria_bio2_WT_BF_tech2	FIT1_bacteria_bio2_WT_BF_tech3	FIT1_bacteria_bio3_WT_BFO_tech3	FIT1_bacteria_bio1_WT_B_tech3	FIT1_bacteria_bio1_WT_BO_tech3	FIT1_bacteria_bio3_cyp79b2b3_BFO_tech1	FIT1_bacteria_bio1_WT_BFO_tech3	FIT1_bacteria_bio2_WT_BFO_tech5	FIT1_bacteria_bio3_initial_initial_tech2	FIT1_bacteria_bio1_soil_B_tech2	FIT1_bacteria_bio1_WT_BFO_tech2	FIT1_bacteria_bio2_WT_BO_tech4	FIT1_bacteria_bio1_cyp79b2b3_B_tech2	FIT1_bacteria_bio2_WT_B_tech3	FIT1_bacteria_bio1_cyp79b2b3_BF_tech5	FIT1_bacteria_bio1_WT_BFO_tech5	FIT1_bacteria_bio2_cyp79b2b3_BO_tech3	FIT1_bacteria_bio2_WT_B_tech4	FIT1_bacteria_bio2_soil_BF_tech1	FIT1_bacteria_bio3_cyp79b2b3_B_tech2	FIT1_bacteria_bio3_cyp79b2b3_B_tech3	FIT1_bacteria_bio1_initial_initial_tech2	FIT1_bacteria_bio1_cyp79b2b3_BO_tech1	FIT1_bacteria_bio3_WT_BFO_tech5	FIT1_bacteria_bio3_WT_BF_tech4	FIT1_bacteria_bio1_cyp79b2b3_B_tech5	FIT1_bacteria_bio3_WT_BFO_tech2	FIT1_bacteria_bio1_WT_BO_tech5	FIT1_bacteria_bio2_cyp79b2b3_BO_tech5	FIT1_bacteria_bio2_cyp79b2b3_B_tech1	FIT1_bacteria_bio1_WT_BO_tech1	FIT1_bacteria_bio1_cyp79b2b3_BF_tech2	FIT1_bacteria_bio2_soil_BFO_tech2	FIT1_bacteria_bio2_cyp79b2b3_BO_tech1	FIT1_bacteria_bio1_cyp79b2b3_B_tech3	FIT1_bacteria_bio1_WT_BO_tech4	FIT1_bacteria_bio1_soil_BF_tech2	FIT1_bacteria_bio3_WT_BFO_tech4	FIT1_bacteria_bio1_WT_BO_tech2	FIT1_bacteria_bio3_WT_BF_tech5	FIT1_bacteria_bio1_soil_BO_tech2	FIT1_bacteria_bio3_cyp79b2b3_BFO_tech4	FIT1_bacteria_bio2_WT_BF_tech4	FIT1_bacteria_bio2_soil_B_tech1	FIT1_bacteria_bio1_soil_BF_tech1	FIT1_bacteria_bio2_cyp79b2b3_BF_tech5	FIT1_bacteria_bio2_WT_BO_tech1	FIT1_bacteria_bio3_WT_BO_tech5	FIT1_bacteria_bio2_cyp79b2b3_BO_tech4	FIT1_bacteria_bio1_cyp79b2b3_BF_tech4	FIT1_bacteria_bio1_cyp79b2b3_BO_tech4	FIT1_bacteria_bio1_cyp79b2b3_B_tech1	FIT1_bacteria_bio3_soil_BO_tech1	FIT1_bacteria_bio2_cyp79b2b3_BF_tech4	FIT1_bacteria_bio3_WT_BF_tech3	FIT1_bacteria_bio2_WT_BF_tech5	FIT1_bacteria_bio1_WT_B_tech4	FIT1_bacteria_bio1_soil_BFO_tech1	FIT1_bacteria_bio2_WT_BF_tech1	FIT1_bacteria_bio3_cyp79b2b3_BO_tech4	FIT1_bacteria_bio1_cyp79b2b3_BFO_tech4
OTU_954	8	24	9	1	3	10	3	5	7	13	15	6	3	3	28	2	1	1	8	189	117	68	4	12	15	0	290	18	5	28	5	25	7	25	4	1	7	4	2	5	5	0	14	55	1	4	1	16	2	15	2	1	430	1	1	4	43	39	64	3	7	4	274	382	3	2	9	1	14	0	7	10	3	7	3	179	2	3	29	15	1	4	7	29	7	7	27	9	1	7	21	0	2	15	8	7	2	7	2	6	286	3	9	2	2	4	8	3	5	9	2	7	9	323	5	9	3	3	10	6	8	12	8	1	0	6	5	1	3	22	4	60	5	7	5	3	5	2	8	17	2	3	5	0	3	6	5	8	2	5	0	23	0
OTU_61	6	6	3	4	2	6	3	3	7	5	11	7	16	2	8	20	12	2	0	22	46	3	5	6	12	7	29	12	4	10	2	4	0	7	5	9	6	3	9	3	1	16	2	1	9	3	2	1	14	15	11	2	24	11	6	10	4	7	4	5	5	27	52	21	11	14	12	2	2	13	0	11	10	5	3	30	10	12	4	6	0	7	3	9	1	3	6	7	14	2	0	13	4	1	8	3	3	20	3	5	71	1	0	1	6	2	6	2	4	3	17	2	12	20	5	3	9	6	4	2	2	10	1	3	12	3	5	2	3	7	6	2	5	7	2	14	3	7	2	12	0	4	0	4	1	7	14	7	4	0	0	4	0
OTU_76	40	44	0	1	31	17	2	2	66	58	50	69	122	0	111	119	23	0	0	58	56	16	0	62	67	77	52	140	4	64	0	45	10	66	47	30	91	0	49	13	1	77	7	24	60	11	0	0	121	57	111	3	0	35	38	104	11	56	19	0	103	132	46	0	68	36	40	0	72	73	1	39	48	74	0	39	63	76	25	28	11	16	10	35	46	29	33	55	100	49	7	97	46	15	46	21	4	107	0	36	69	0	0	16	2	53	0	0	42	128	37	47	37	0	4	55	110	0	35	7	37	38	2	0	74	46	1	4	0	16	4	25	1	68	34	27	0	49	38	89	44	0	4	5	51	72	104	38	0	0	1	21	0
OTU_11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	24	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	155	38	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0
OTU_77	8	10	2	2	8	4	2	5	11	3	20	8	31	0	7	17	9	7	11	10	9	2	4	7	10	7	7	15	2	6	3	4	4	15	9	9	5	1	8	1	7	17	1	0	2	3	1	3	24	10	18	2	0	9	3	20	1	7	4	12	3	33	17	0	10	12	15	1	1	17	6	9	5	8	18	7	17	12	8	5	1	7	4	6	5	0	7	11	29	5	5	18	2	6	10	5	2	19	1	4	13	11	5	5	4	3	7	6	3	5	19	6	6	0	0	4	14	3	5	3	5	15	4	0	11	3	3	4	7	4	4	0	5	10	4	11	9	2	3	15	3	0	3	4	6	12	9	6	12	10	0	6	0
OTU_764	4	4	0	0	3	4	2	0	12	9	10	6	75	0	6	26	20	7	0	40	51	2	0	10	5	4	57	10	2	7	0	7	0	2	6	4	7	1	4	13	0	3	1	2	2	2	2	0	21	6	16	2	56	22	2	7	9	2	2	0	5	35	50	53	4	39	13	5	0	20	0	2	2	5	4	54	11	0	5	0	1	0	2	2	1	0	1	3	62	4	5	11	4	1	1	3	3	9	0	4	61	0	0	2	3	4	0	1	2	3	42	1	6	54	0	1	5	2	3	2	2	6	2	0	3	2	2	1	0	2	4	0	9	3	4	34	0	3	1	4	2	1	0	5	7	9	10	3	6	2	0	2	0
OTU_401	45	61	6	11	2	22	7	8	52	28	125	15	106	2	36	45	44	0	1	37	19	20	27	19	23	16	22	28	2	20	14	66	12	19	20	48	13	12	23	35	13	5	19	20	24	4	20	15	30	53	21	8	16	51	11	16	47	13	24	0	13	41	24	18	46	38	54	18	2	27	4	33	26	21	2	23	33	24	48	17	6	29	8	38	8	11	23	13	89	12	20	21	27	10	19	14	2	35	29	19	23	0	4	13	43	19	4	87	4	18	51	24	80	13	26	9	24	9	8	5	8	36	3	13	6	5	6	3	4	15	2	9	0	18	11	24	6	14	25	32	16	0	3	12	12	33	15	15	28	34	2	29	0
OTU_480	13	14	82	72	89	4	68	32	76	65	17	32	157	88	13	68	50	37	69	24	4	4	122	43	28	4	9	18	58	35	42	13	6	42	66	31	31	95	39	2	74	64	21	7	9	6	114	101	96	19	48	65	11	48	6	70	4	27	7	98	31	125	29	10	25	19	29	123	3	24	141	2	34	9	180	6	29	69	8	24	11	84	109	24	40	9	7	32	118	11	9	35	26	6	54	68	88	42	107	31	28	123	126	17	64	6	81	96	3	19	70	12	21	7	96	17	63	17	9	61	7	24	67	63	64	5	37	24	141	31	77	6	89	56	84	17	142	20	19	13	3	41	81	81	10	23	121	29	62	105	0	12	3
OTU_170	12	8	15	2	5	81	7	4	23	16	40	9	55	3	15	45	24	29	8	80	123	10	6	18	16	32	110	13	5	18	6	20	2	14	20	14	19	2	14	10	26	28	4	16	4	5	6	71	50	74	38	7	85	18	4	24	23	14	16	24	26	64	88	69	13	36	33	14	2	39	7	67	11	35	41	117	25	18	14	13	1	14	5	16	5	33	11	8	53	8	8	19	12	5	19	15	8	26	10	8	81	20	8	9	9	7	12	23	5	10	36	15	37	77	4	11	45	9	9	4	7	12	5	1	27	6	4	3	22	10	3	9	30	12	12	27	31	8	5	25	8	4	2	7	21	18	26	8	10	42	1	8	0
OTU_614	1	1	0	0	0	2	0	0	5	4	0	8	4	0	5	3	2	0	0	5	2	1	0	3	0	14	1	4	0	0	1	2	0	5	2	4	5	0	0	1	0	0	1	1	0	0	1	0	8	10	2	0	1	0	3	2	2	2	0	1	2	3	3	4	1	1	3	0	0	0	0	14	1	4	0	0	1	11	0	0	0	0	0	2	2	2	1	0	9	0	1	3	0	2	1	0	0	0	0	1	2	0	0	2	0	1	0	1	0	1	2	0	2	3	0	4	1	0	2	2	1	2	0	2	0	2	2	1	0	5	1	3	1	2	0	1	1	2	2	4	0	0	0	0	10	0	10	1	1	0	0	5	0
OTU_565	5	4	2	0	0	12	0	2	4	5	9	8	11	1	6	22	4	9	8	31	28	2	2	3	3	8	45	6	2	2	1	5	0	4	4	3	3	2	3	4	8	11	2	1	0	0	0	10	15	6	14	0	28	8	2	7	7	2	3	6	7	19	41	24	5	5	8	3	1	10	1	8	1	7	13	45	8	1	2	1	0	3	3	5	1	8	1	3	20	1	3	1	3	0	4	2	0	3	4	4	38	7	3	4	2	2	3	11	3	2	10	2	3	20	1	4	18	0	1	1	1	7	1	0	2	0	2	4	2	4	1	0	8	0	3	3	1	2	2	4	1	0	3	4	3	1	11	1	2	11	0	3	0
OTU_761	1	2	1	0	2	2	0	0	2	2	5	3	23	1	2	11	3	5	0	37	55	0	0	3	2	3	34	4	0	1	2	1	0	1	4	1	2	0	3	5	0	9	0	2	1	0	2	0	10	1	10	0	46	6	1	2	2	2	0	4	5	8	32	43	2	13	2	1	0	4	1	0	1	0	1	44	2	1	0	2	0	0	0	0	0	3	3	2	16	2	1	6	4	0	0	2	1	3	1	1	61	1	0	0	3	1	0	0	0	2	3	0	4	50	1	2	3	1	0	1	0	2	1	0	9	0	1	0	0	0	2	0	4	1	0	6	1	0	0	2	2	0	1	3	1	1	2	0	4	0	0	0	0
OTU_22	0	2	1	2	4	5	3	1	2	1	3	2	16	2	0	8	8	10	7	66	33	0	0	2	2	0	35	0	2	3	2	1	1	0	5	2	4	2	1	6	6	8	0	0	1	2	4	14	11	4	13	4	32	5	7	3	4	1	0	10	4	4	70	37	7	2	9	4	0	1	2	0	1	1	18	23	4	5	0	3	3	1	2	1	0	2	2	3	4	0	1	8	5	1	0	2	0	2	1	1	76	8	1	0	2	5	0	2	0	1	5	2	1	30	1	4	5	0	0	1	0	3	0	0	4	0	0	3	6	1	1	0	22	3	2	13	6	1	3	4	1	2	0	6	0	2	4	0	0	2	0	0	0
OTU_491	42	40	74	3	6	69	9	13	18	24	54	12	36	12	34	15	14	1	16	185	156	132	24	22	24	9	174	31	12	37	9	34	24	33	20	26	94	11	33	94	91	7	12	63	35	22	4	142	27	88	9	12	127	8	23	27	71	16	53	3	32	26	236	122	46	15	37	7	75	3	33	62	40	27	12	128	25	16	87	18	32	14	24	46	16	53	59	14	38	36	57	21	22	39	71	17	3	45	20	34	200	7	47	25	9	54	23	20	27	21	21	14	56	168	20	25	38	18	29	8	18	31	10	1	3	14	12	2	34	51	4	89	1	20	12	10	32	9	12	39	14	7	25	12	15	12	31	14	5	110	0	36	1
OTU_65	11	7	163	109	81	29	111	87	13	8	14	5	3	105	20	1	9	10	32	37	41	1	189	18	9	0	36	11	110	39	42	13	2	30	15	1	7	117	36	4	64	10	6	1	2	2	26	38	4	1	2	90	16	2	1	3	4	15	15	51	4	5	39	13	8	6	5	36	91	2	83	17	8	1	68	35	3	15	2	6	2	107	125	1	10	3	7	6	8	8	7	6	26	7	10	154	57	35	72	12	45	31	152	6	78	3	131	97	11	0	13	1	4	16	89	0	5	170	12	51	16	6	99	69	5	26	66	15	57	7	51	2	28	12	3	8	69	15	7	7	4	85	86	49	1	10	1	9	57	62	0	3	0
OTU_690	56	133	0	0	0	247	0	0	58	108	136	73	109	0	80	20	29	0	0	15	13	40	0	153	121	0	18	70	0	234	0	83	42	60	131	84	145	0	99	13	0	2	84	23	32	159	0	0	88	168	22	0	0	21	59	115	210	208	41	0	97	108	11	0	69	18	129	0	0	31	0	65	33	159	0	11	132	119	60	63	20	0	0	14	53	388	167	6	64	85	7	18	72	71	169	0	0	173	0	43	7	0	0	71	0	28	0	0	89	29	63	46	174	0	0	26	88	0	51	0	75	40	0	0	1	105	0	0	0	34	0	17	1	105	61	15	0	56	49	111	136	0	0	0	39	97	93	85	0	0	3	174	0
OTU_411	46	44	48	14	40	21	24	22	52	46	47	37	40	22	48	60	34	5	9	14	27	9	48	41	49	72	32	42	37	41	18	42	25	56	29	39	41	24	34	9	7	32	20	21	23	16	17	9	38	50	40	32	58	36	25	65	28	43	15	35	44	44	28	42	57	53	63	28	12	27	26	21	32	35	23	18	48	63	25	15	19	34	16	33	14	15	23	29	47	27	15	50	33	25	23	23	11	58	24	24	29	6	27	24	43	32	14	30	14	29	42	23	39	50	19	20	57	19	22	25	21	41	22	31	25	34	21	13	11	20	23	23	30	31	23	38	18	32	20	51	22	20	20	27	24	35	39	31	35	5	0	24	0
OTU_70	8	29	32	6	9	0	87	4	9	8	8	8	7	10	37	11	6	4	20	59	55	259	39	40	0	0	42	23	19	6	5	16	6	20	5	6	14	17	2	18	67	2	6	135	7	4	4	74	10	5	3	4	19	1	4	3	3	8	53	12	7	10	40	33	29	3	8	9	4	5	22	2	14	4	26	30	10	8	60	8	4	17	17	10	1	4	8	17	4	2	83	3	4	7	9	7	25	5	9	18	42	12	17	2	17	10	7	24	4	9	12	6	7	31	13	53	3	4	8	4	6	7	6	9	7	4	9	1	46	11	23	292	16	7	7	7	37	4	3	37	2	9	14	3	6	10	5	5	10	44	0	0	0
OTU_562	22	32	2	6	3	9	3	4	21	12	59	17	57	0	18	20	19	1	0	12	7	12	26	13	13	14	16	20	1	19	4	38	11	7	13	21	12	8	8	12	16	4	7	8	10	5	16	15	20	31	11	5	5	24	3	18	20	11	9	0	6	16	21	6	18	11	27	6	4	24	3	15	16	20	4	11	17	17	23	10	3	25	4	25	4	4	15	2	38	5	10	6	13	9	10	9	1	13	20	16	6	1	2	6	24	12	2	57	0	8	26	22	53	4	13	4	13	3	12	7	4	20	2	4	2	4	3	2	0	10	0	1	0	3	7	7	3	10	10	20	9	3	2	2	11	19	11	13	10	18	1	15	0
OTU_670	5	18	4	5	6	10	4	4	11	9	14	11	8	2	12	18	2	3	0	9	3	11	6	9	6	6	5	16	5	11	0	19	2	9	2	5	5	3	9	10	4	11	5	16	8	5	2	1	10	17	11	1	4	3	9	10	6	9	7	7	22	9	10	4	6	4	9	3	2	4	3	13	4	14	8	1	14	10	17	5	3	2	6	8	6	4	13	7	6	4	14	1	2	10	16	4	2	4	4	5	6	2	6	5	3	6	6	3	2	7	6	4	12	4	1	14	15	1	17	5	10	13	4	3	5	2	1	2	2	5	1	10	10	2	5	3	0	8	1	12	3	1	2	10	2	13	11	8	4	0	0	12	0
OTU_935	11	42	30	32	132	57	45	30	49	21	47	4	29	48	35	19	6	133	1	159	240	44	52	9	15	43	258	47	37	39	4	41	9	33	10	12	208	32	20	55	9	5	30	24	21	9	57	6	19	28	28	18	305	3	54	22	23	47	52	21	16	52	171	186	33	8	25	178	15	9	25	46	24	35	44	248	15	20	25	19	75	100	44	22	10	44	73	19	47	7	32	8	6	12	92	60	90	23	93	15	147	14	69	5	192	26	48	145	125	7	23	17	201	257	22	14	25	13	15	57	22	26	17	14	21	8	61	65	10	9	78	11	154	12	1	16	9	8	3	43	50	27	17	147	5	4	17	4	95	18	0	15	0
OTU_137	14	9	9	37	36	2	43	16	38	22	23	14	87	42	8	79	94	49	41	32	36	2	51	49	11	2	21	15	25	18	9	12	4	15	70	13	15	56	38	5	46	78	14	17	4	8	45	70	92	10	44	25	16	38	15	25	3	29	2	86	24	152	43	28	32	32	35	58	3	52	48	12	15	9	49	31	18	153	12	29	0	22	66	2	11	8	10	24	101	7	29	53	16	27	29	31	38	33	31	38	67	28	28	15	24	2	29	21	23	9	85	15	16	17	82	7	19	10	25	18	42	35	23	27	76	7	8	16	43	19	30	3	110	51	47	37	54	36	11	16	4	20	27	39	6	70	43	24	45	44	0	3	0
OTU_154	2	7	0	0	0	2	0	0	3	5	10	11	5	0	5	3	0	0	0	3	3	0	0	4	8	0	4	6	0	5	0	5	2	19	1	3	3	0	0	1	0	4	3	1	2	2	0	0	3	3	5	0	0	1	0	1	3	5	2	0	7	6	10	0	2	4	4	0	0	2	0	2	3	2	0	6	2	3	7	1	1	0	0	11	6	0	3	6	2	3	6	3	2	5	11	0	0	6	0	4	12	0	0	1	0	6	0	0	2	9	3	1	5	0	0	5	7	0	8	0	0	1	0	0	1	1	0	0	0	7	0	4	0	2	4	2	0	1	2	14	2	0	0	0	3	0	4	7	0	0	0	1	0
OTU_127	0	5	0	2	0	0	2	1	4	9	7	1	2	1	1	1	1	0	12	210	210	2	2	3	3	0	180	2	0	7	0	6	1	1	0	7	1	2	0	0	0	0	1	0	0	0	1	6	0	26	2	1	197	1	2	2	1	3	9	3	6	2	252	170	3	0	0	0	0	6	3	1	1	4	2	143	5	1	11	4	7	0	1	5	0	1	0	6	2	1	0	3	0	1	1	0	1	1	4	3	298	0	8	2	0	6	2	5	0	2	0	1	2	156	6	8	0	0	0	4	3	1	2	1	0	0	2	0	0	0	1	3	5	1	0	1	2	3	1	2	0	0	3	0	0	1	3	0	1	2	0	1	0
OTU_224	0	5	4	10	3	3	7	3	13	17	9	6	14	4	7	11	9	11	10	6	2	0	7	13	3	9	0	18	7	8	1	6	2	7	14	5	12	4	4	2	6	7	3	5	2	1	10	0	17	12	12	3	7	2	6	14	4	16	4	29	14	19	2	5	5	4	12	2	1	4	5	3	6	2	7	1	16	20	2	5	0	5	0	11	7	6	2	15	8	2	4	6	6	3	11	5	2	23	6	2	4	1	2	2	2	6	2	7	2	1	11	10	8	4	4	6	14	1	3	4	6	5	2	0	7	3	4	2	0	4	4	1	37	8	3	4	2	8	5	12	4	7	3	4	5	22	9	2	3	4	1	4	0
OTU_700	1	2	0	0	0	4	0	0	7	1	8	5	16	0	5	7	5	0	0	1	3	1	0	3	5	4	0	6	0	1	0	2	2	5	6	3	0	0	5	1	0	6	0	1	2	3	1	0	8	8	3	0	0	5	0	6	2	2	5	0	4	22	5	0	7	3	5	0	0	5	0	6	2	6	1	2	4	5	4	4	0	0	1	1	0	2	1	1	11	0	3	3	2	2	2	0	0	6	0	0	0	0	0	6	0	2	2	0	0	3	3	1	3	0	0	1	1	0	1	0	1	1	0	0	4	1	0	0	0	1	0	1	0	5	1	3	0	2	1	4	0	0	0	0	3	6	5	4	1	0	0	1	0
OTU_322	10	10	0	3	8	131	3	5	10	13	15	12	38	3	4	25	33	6	0	174	99	1	3	14	12	2	92	11	3	15	3	5	4	10	23	8	13	3	24	7	0	16	6	5	6	12	4	1	38	17	21	1	91	22	16	25	18	17	0	13	15	48	185	111	16	33	14	4	6	20	2	94	11	20	3	71	23	22	4	5	1	3	0	8	6	11	6	9	44	11	12	25	10	3	8	8	4	41	5	12	226	0	3	10	3	6	4	1	10	12	28	8	13	90	4	9	22	7	12	6	4	12	4	6	26	3	1	1	0	6	6	8	15	17	11	22	1	15	8	10	3	1	1	5	11	17	23	7	7	0	0	5	0
OTU_79	10	5	9	1	14	8	5	7	10	5	9	9	18	1	14	2	4	0	0	10	3	5	2	2	6	32	2	12	6	8	6	10	5	10	7	1	10	2	8	14	2	1	2	6	2	6	1	0	10	28	1	5	10	0	5	8	2	1	3	0	7	13	13	16	9	2	21	2	3	1	3	12	5	14	3	4	8	11	18	6	6	6	10	9	2	7	8	2	4	10	7	6	5	2	9	11	3	11	8	2	12	0	7	1	2	6	14	2	2	10	2	5	11	17	31	12	15	13	3	5	4	5	7	2	1	3	3	5	0	4	3	4	2	4	5	2	7	11	1	6	3	6	13	3	44	14	11	1	4	5	0	5	0
OTU_766	2	0	6	3	3	1	3	3	4	2	2	1	3	2	3	1	2	1	0	19	12	0	8	2	3	0	15	2	5	2	3	1	0	2	5	4	1	0	1	1	0	2	0	1	0	2	5	0	2	5	0	7	0	1	0	1	2	2	0	1	2	8	21	0	5	1	4	4	4	0	1	1	2	0	2	8	3	2	2	1	1	5	6	1	1	0	0	1	3	0	0	1	3	1	1	6	3	3	5	1	21	3	13	3	2	2	5	7	3	2	3	2	6	0	3	1	1	2	0	3	0	1	2	5	2	1	13	3	3	1	3	0	0	2	0	0	4	2	0	2	1	1	1	10	2	2	1	1	4	1	0	3	0
OTU_736	2	6	0	3	5	1	1	2	0	1	15	1	8	1	11	60	0	3	0	39	49	1	10	1	0	2	31	7	3	0	1	6	0	2	1	8	2	10	0	1	1	6	0	2	1	0	37	0	1	11	49	0	44	5	2	1	4	0	3	1	0	11	40	45	1	3	3	35	0	18	1	2	1	7	3	36	0	2	2	0	1	23	0	2	0	0	2	0	5	0	1	16	2	0	0	5	10	0	36	0	60	0	0	0	8	1	0	23	0	3	2	5	5	25	0	0	3	0	2	0	3	1	0	3	4	4	3	3	0	0	10	0	10	2	1	3	0	0	2	4	2	0	0	9	7	0	2	0	15	2	0	2	0
OTU_179	6	7	0	0	0	10	0	0	10	20	19	23	2	0	16	5	2	0	0	23	5	6	0	10	13	13	2	22	0	18	0	9	0	17	4	7	22	0	4	2	0	2	4	11	4	1	0	0	3	24	3	0	0	0	4	22	7	16	7	0	20	6	31	0	7	1	3	0	0	3	0	2	5	8	0	5	14	12	3	0	6	0	0	15	13	6	0	10	3	7	1	2	4	4	6	0	0	21	0	2	25	0	0	1	0	4	0	0	0	19	0	3	25	0	0	5	25	0	5	0	1	3	0	0	1	4	0	0	0	5	0	3	0	11	16	2	0	10	1	17	1	0	0	0	1	9	15	18	0	0	0	4	0
