microbes	genotype	compartment	experiment_biological	_compartment_genotype_tech	fw
FP3A41BFOsoil6soilfungi	BFO	soil	soil	A4_bio1	A4_bio1_soil_BFO_tech6	NA
FP3A42BFOWTnew1endophytesfungi	BFO	WTnew	endophytes	A4_bio2	A4_bio2_WT_new_BFO_tech1	0.0223
FP3A42BFOWTnew2endophytesfungi	BFO	WTnew	endophytes	A4_bio2	A4_bio2_WT_new_BFO_tech2	0.021275
FP3A42BFOWTnew3endophytesfungi	BFO	WTnew	endophytes	A4_bio2	A4_bio2_WT_new_BFO_tech3	0.043325
FP3A42BFOWTnew4endophytesfungi	BFO	WTnew	endophytes	A4_bio2	A4_bio2_WT_new_BFO_tech4	0.019475
FP3A42BFObri3011endophytesfungi	BFO	bri301	endophytes	A4_bio2	A4_bio2_bri301_BFO_tech1	0.02205
FP3A42BFObri3012endophytesfungi	BFO	bri301	endophytes	A4_bio2	A4_bio2_bri301_BFO_tech2	0.02875
FP3A42BFObri3013endophytesfungi	BFO	bri301	endophytes	A4_bio2	A4_bio2_bri301_BFO_tech3	0.017975
FP3A42BFObri3014endophytesfungi	BFO	bri301	endophytes	A4_bio2	A4_bio2_bri301_BFO_tech4	0.0321
FP3A42BFOlyk51endophytesfungi	BFO	lyk5	endophytes	A4_bio2	A4_bio2_lyk5_BFO_tech1	0.1155
FP3A42BFOlyk52endophytesfungi	BFO	lyk5	endophytes	A4_bio2	A4_bio2_lyk5_BFO_tech2	0.0779
FP3A42BFOlyk53endophytesfungi	BFO	lyk5	endophytes	A4_bio2	A4_bio2_lyk5_BFO_tech3	0.0162
FP3A42BFOlyk54endophytesfungi	BFO	lyk5	endophytes	A4_bio2	A4_bio2_lyk5_BFO_tech4	0.0147
FP3A42BFOcyp79b2b3new1endophytesfungi	BFO	cyp79b2b3new	endophytes	A4_bio2	A4_bio2_cyp79b2b3_new_BFO_tech1	0.00456666666666667
FP3A42BFOcyp79b2b3new2endophytesfungi	BFO	cyp79b2b3new	endophytes	A4_bio2	A4_bio2_cyp79b2b3_new_BFO_tech2	0.008325
FP3A42BFOcyp79b2b3new3endophytesfungi	BFO	cyp79b2b3new	endophytes	A4_bio2	A4_bio2_cyp79b2b3_new_BFO_tech3	0.019075
FP3A42BFOcyp79b2b3new4endophytesfungi	BFO	cyp79b2b3new	endophytes	A4_bio2	A4_bio2_cyp79b2b3_new_BFO_tech4	0.0031
FP3A42BFOwrky331endophytesfungi	BFO	wrky33	endophytes	A4_bio2	A4_bio2_wrky33_BFO_tech1	0.033925
FP3A42BFOwrky332endophytesfungi	BFO	wrky33	endophytes	A4_bio2	A4_bio2_wrky33_BFO_tech2	0.03715
FP3A42BFOwrky333endophytesfungi	BFO	wrky33	endophytes	A4_bio2	A4_bio2_wrky33_BFO_tech3	0.02075
FP3A42BFOwrky334endophytesfungi	BFO	wrky33	endophytes	A4_bio2	A4_bio2_wrky33_BFO_tech4	0.029175
FP3A42BFOapex11endophytesfungi	BFO	apex1	endophytes	A4_bio2	A4_bio2_apex1_BFO_tech1	0.04115
FP3A42BFOapex12endophytesfungi	BFO	apex1	endophytes	A4_bio2	A4_bio2_apex1_BFO_tech2	0.0642
FP3A42BFOapex13endophytesfungi	BFO	apex1	endophytes	A4_bio2	A4_bio2_apex1_BFO_tech3	0.040375
FP3A42BFOapex14endophytesfungi	BFO	apex1	endophytes	A4_bio2	A4_bio2_apex1_BFO_tech4	0.025625
FP3A42BFOapex21endophytesfungi	BFO	apex2	endophytes	A4_bio2	A4_bio2_apex2_BFO_tech1	0.0229
FP3A42BFOapex22endophytesfungi	BFO	apex2	endophytes	A4_bio2	A4_bio2_apex2_BFO_tech2	0.0194
FP3A42BFOapex23endophytesfungi	BFO	apex2	endophytes	A4_bio2	A4_bio2_apex2_BFO_tech3	0.0137
FP3A42BFOapex24endophytesfungi	BFO	apex2	endophytes	A4_bio2	A4_bio2_apex2_BFO_tech4	0.030325
FP3A42BFOapex31endophytesfungi	BFO	apex3	endophytes	A4_bio2	A4_bio2_apex3_BFO_tech1	0.0153333333333333
FP3A42BFOapex32endophytesfungi	BFO	apex3	endophytes	A4_bio2	A4_bio2_apex3_BFO_tech2	0.039775
FP3A42BFOapex33endophytesfungi	BFO	apex3	endophytes	A4_bio2	A4_bio2_apex3_BFO_tech3	0.018925
FP3A42BFOapex34endophytesfungi	BFO	apex3	endophytes	A4_bio2	A4_bio2_apex3_BFO_tech4	0.045775
FP3A42BFObak1bkk1cerk11endophytesfungi	BFO	bak1bkk1cerk1	endophytes	A4_bio2	A4_bio2_bak1bkk1cerk1_BFO_tech1	0.017075
FP3A42BFObak1bkk1cerk12endophytesfungi	BFO	bak1bkk1cerk1	endophytes	A4_bio2	A4_bio2_bak1bkk1cerk1_BFO_tech2	0.0296
FP3A42BFObak1bkk1cerk13endophytesfungi	BFO	bak1bkk1cerk1	endophytes	A4_bio2	A4_bio2_bak1bkk1cerk1_BFO_tech3	0.017625
FP3A42BFObak1bkk1cerk14endophytesfungi	BFO	bak1bkk1cerk1	endophytes	A4_bio2	A4_bio2_bak1bkk1cerk1_BFO_tech4	0.030025
FP3A42BFO35SBRI1endophytesfungi	BFO	35SBRI	endophytes	A4_bio2	A4_bio2_35SBRI_BFO_tech1	0.01945
FP3A42BFO35SBRI2endophytesfungi	BFO	35SBRI	endophytes	A4_bio2	A4_bio2_35SBRI_BFO_tech2	0.060725
FP3A42BFO35SBRI3endophytesfungi	BFO	35SBRI	endophytes	A4_bio2	A4_bio2_35SBRI_BFO_tech3	0.03185
FP3A42BFO35SBRI4endophytesfungi	BFO	35SBRI	endophytes	A4_bio2	A4_bio2_35SBRI_BFO_tech4	0.02715
FP3A42BFOsoil1soilfungi	BFO	soil	soil	A4_bio2	A4_bio2_soil_BFO_tech1	NA
FP3A42BFOsoil2soilfungi	BFO	soil	soil	A4_bio2	A4_bio2_soil_BFO_tech2	NA
FP3A42BFOsoil3soilfungi	BFO	soil	soil	A4_bio2	A4_bio2_soil_BFO_tech3	NA
FP3A42BFOsoil4soilfungi	BFO	soil	soil	A4_bio2	A4_bio2_soil_BFO_tech4	NA
FP3A42BFOsoil5soilfungi	BFO	soil	soil	A4_bio2	A4_bio2_soil_BFO_tech5	NA
FP3A42BFOsoil6soilfungi	BFO	soil	soil	A4_bio2	A4_bio2_soil_BFO_tech6	NA
FP3A43BFOWTnew1endophytesfungi	BFO	WTnew	endophytes	A4_bio3	A4_bio3_WT_new_BFO_tech1	NA
FP3A43BFOWTnew2endophytesfungi	BFO	WTnew	endophytes	A4_bio3	A4_bio3_WT_new_BFO_tech2	NA
FP3A43BFOWTnew3endophytesfungi	BFO	WTnew	endophytes	A4_bio3	A4_bio3_WT_new_BFO_tech3	NA
FP3A43BFOWTnew4endophytesfungi	BFO	WTnew	endophytes	A4_bio3	A4_bio3_WT_new_BFO_tech4	NA
FP4A44BFObri3011endophytesfungi	BFO	bri301	endophytes	A4_bio4	A4_bio4_bri301_BFO_tech1	0.021975
FP4A44BFObri3012endophytesfungi	BFO	bri301	endophytes	A4_bio4	A4_bio4_bri301_BFO_tech2	0.034825
FP4A44BFObri3013endophytesfungi	BFO	bri301	endophytes	A4_bio4	A4_bio4_bri301_BFO_tech3	0.0279
FP4A44BFObri3014endophytesfungi	BFO	bri301	endophytes	A4_bio4	A4_bio4_bri301_BFO_tech4	0.033025
FP4A44BFOlyk51endophytesfungi	BFO	lyk5	endophytes	A4_bio4	A4_bio4_lyk5_BFO_tech1	0.046
FP4A44BFOlyk52endophytesfungi	BFO	lyk5	endophytes	A4_bio4	A4_bio4_lyk5_BFO_tech2	0.0443
FP4A44BFOlyk53endophytesfungi	BFO	lyk5	endophytes	A4_bio4	A4_bio4_lyk5_BFO_tech3	0.0333666666666667
FP4A44BFOlyk54endophytesfungi	BFO	lyk5	endophytes	A4_bio4	A4_bio4_lyk5_BFO_tech4	0.05195
FP4A44BFOcyp79b2b3new1endophytesfungi	BFO	cyp79b2b3new	endophytes	A4_bio4	A4_bio4_cyp79b2b3_new_BFO_tech1	0.031875
FP4A44BFOcyp79b2b3new2endophytesfungi	BFO	cyp79b2b3new	endophytes	A4_bio4	A4_bio4_cyp79b2b3_new_BFO_tech2	0.0103333333333333
FP4A44BFOcyp79b2b3new3endophytesfungi	BFO	cyp79b2b3new	endophytes	A4_bio4	A4_bio4_cyp79b2b3_new_BFO_tech3	0.0074
FP4A44BFOcyp79b2b3new4endophytesfungi	BFO	cyp79b2b3new	endophytes	A4_bio4	A4_bio4_cyp79b2b3_new_BFO_tech4	0.0113
FP4A44BFOwrky331endophytesfungi	BFO	wrky33	endophytes	A4_bio4	A4_bio4_wrky33_BFO_tech1	0.01845
FP4A44BFOwrky332endophytesfungi	BFO	wrky33	endophytes	A4_bio4	A4_bio4_wrky33_BFO_tech2	0.0304
FP4A44BFOwrky333endophytesfungi	BFO	wrky33	endophytes	A4_bio4	A4_bio4_wrky33_BFO_tech3	0.020375
FP4A44BFOwrky334endophytesfungi	BFO	wrky33	endophytes	A4_bio4	A4_bio4_wrky33_BFO_tech4	0.0234
FP4A44BFOapex11endophytesfungi	BFO	apex1	endophytes	A4_bio4	A4_bio4_apex1_BFO_tech1	0.031825
FP4A44BFOapex12endophytesfungi	BFO	apex1	endophytes	A4_bio4	A4_bio4_apex1_BFO_tech2	0.0345
FP4A44BFOapex13endophytesfungi	BFO	apex1	endophytes	A4_bio4	A4_bio4_apex1_BFO_tech3	0.0273333333333333
FP4A44BFOapex14endophytesfungi	BFO	apex1	endophytes	A4_bio4	A4_bio4_apex1_BFO_tech4	0.0366333333333333
FP4A44BFOapex21endophytesfungi	BFO	apex2	endophytes	A4_bio4	A4_bio4_apex2_BFO_tech1	0.0397666666666667
FP4A44BFOapex22endophytesfungi	BFO	apex2	endophytes	A4_bio4	A4_bio4_apex2_BFO_tech2	0.051275
FP4A44BFOapex23endophytesfungi	BFO	apex2	endophytes	A4_bio4	A4_bio4_apex2_BFO_tech3	0.0124
FP4A44BFOapex24endophytesfungi	BFO	apex2	endophytes	A4_bio4	A4_bio4_apex2_BFO_tech4	0.02435
FP4A44BFOapex31endophytesfungi	BFO	apex3	endophytes	A4_bio4	A4_bio4_apex3_BFO_tech1	0.0269
FP4A44BFOapex32endophytesfungi	BFO	apex3	endophytes	A4_bio4	A4_bio4_apex3_BFO_tech2	0.014475
FP4A44BFOapex33endophytesfungi	BFO	apex3	endophytes	A4_bio4	A4_bio4_apex3_BFO_tech3	0.028425
FP4A44BFOapex34endophytesfungi	BFO	apex3	endophytes	A4_bio4	A4_bio4_apex3_BFO_tech4	0.0266
FP4A44BFObak1bkk1cerk11endophytesfungi	BFO	bak1bkk1cerk1	endophytes	A4_bio4	A4_bio4_bak1bkk1cerk1_BFO_tech1	0.0124
FP4A44BFObak1bkk1cerk12endophytesfungi	BFO	bak1bkk1cerk1	endophytes	A4_bio4	A4_bio4_bak1bkk1cerk1_BFO_tech2	0.013925
FP4A44BFObak1bkk1cerk13endophytesfungi	BFO	bak1bkk1cerk1	endophytes	A4_bio4	A4_bio4_bak1bkk1cerk1_BFO_tech3	0.018125
FP4A44BFObak1bkk1cerk14endophytesfungi	BFO	bak1bkk1cerk1	endophytes	A4_bio4	A4_bio4_bak1bkk1cerk1_BFO_tech4	0.0225
FP4A44BFO35SBRI1endophytesfungi	BFO	35SBRI	endophytes	A4_bio4	A4_bio4_35SBRI_BFO_tech1	0.0556
FP4A44BFO35SBRI2endophytesfungi	BFO	35SBRI	endophytes	A4_bio4	A4_bio4_35SBRI_BFO_tech2	0.04585
FP4A44BFO35SBRI3endophytesfungi	BFO	35SBRI	endophytes	A4_bio4	A4_bio4_35SBRI_BFO_tech3	0.0206666666666667
FP4A44BFO35SBRI4endophytesfungi	BFO	35SBRI	endophytes	A4_bio4	A4_bio4_35SBRI_BFO_tech4	0.021625
FP4A44BFOsoil1soilfungi	BFO	soil	soil	A4_bio4	A4_bio4_soil_BFO_tech1	NA
FP4A44BFOsoil2soilfungi	BFO	soil	soil	A4_bio4	A4_bio4_soil_BFO_tech2	NA
FP4A44BFOsoil3soilfungi	BFO	soil	soil	A4_bio4	A4_bio4_soil_BFO_tech3	NA
FP4A44BFOsoil4soilfungi	BFO	soil	soil	A4_bio4	A4_bio4_soil_BFO_tech4	NA
FP4A55BFOsoil5soilfungi	BFO	soil	soil	A5_5	A5_5_soil_BFO_tech5	NA
FP4A66BFOsoil6soilfungi	BFO	soil	soil	A6_6	A6_6_soil_BFO_tech6	NA
FP4A41initialinitial1initialfungi	initial	initial	initial	A4_bio1	A4_bio1_initial_initial_tech1	NA
FP4A41initialinitial2initialfungi	initial	initial	initial	A4_bio1	A4_bio1_initial_initial_tech2	NA
FP4A41initialinitial3initialfungi	initial	initial	initial	A4_bio1	A4_bio1_initial_initial_tech3	NA
FP4A42initialinitial1initialfungi	initial	initial	initial	A4_bio2	A4_bio2_initial_initial_tech1	NA
FP4A42initialinitial2initialfungi	initial	initial	initial	A4_bio2	A4_bio2_initial_initial_tech2	NA
FP4A42initialinitial3initialfungi	initial	initial	initial	A4_bio2	A4_bio2_initial_initial_tech3	NA
FP4A44initialinitial1initialfungi	initial	initial	initial	A4_bio4	A4_bio4_initial_initial_tech1	NA
FP4A44initialinitial2initialfungi	initial	initial	initial	A4_bio4	A4_bio4_initial_initial_tech2	NA
FP4A44initialinitial3initialfungi	initial	initial	initial	A4_bio4	A4_bio4_initial_initial_tech3	NA
