	barcode_name	library	experiment	biological	microbes	genotype	technical	compartment	library_type	genotype_compartment	genotype_microbes	compartment_microbes	genotype_compartment_microbes	growth_promotion	experiment_biological	genotype_experiment_biological	genotype_biological	exp_bio_gen_microbes_tech	Description
FP3A42BFOapex12endophytesfungi	ITS1_68	FP3	A4	bio2	BFO	apex1	tech2	endophytes	fungi	apex1_endophytes	apex1_BFO	endophytes_BFO	apex1_endophytes_BFO	yes	A4_bio2	apex1_A4_bio2	apex1_bio2	A4_bio2_apex1_BFO_tech2	FP3A42BFOapex12endophytesfungi
FP3A42BFOapex13endophytesfungi	ITS1_69	FP3	A4	bio2	BFO	apex1	tech3	endophytes	fungi	apex1_endophytes	apex1_BFO	endophytes_BFO	apex1_endophytes_BFO	yes	A4_bio2	apex1_A4_bio2	apex1_bio2	A4_bio2_apex1_BFO_tech3	FP3A42BFOapex13endophytesfungi
FP3A42BFOapex14endophytesfungi	ITS1_70	FP3	A4	bio2	BFO	apex1	tech4	endophytes	fungi	apex1_endophytes	apex1_BFO	endophytes_BFO	apex1_endophytes_BFO	yes	A4_bio2	apex1_A4_bio2	apex1_bio2	A4_bio2_apex1_BFO_tech4	FP3A42BFOapex14endophytesfungi
FP4A44BFOapex11endophytesfungi	ITS1_17	FP4	A4	bio4	BFO	apex1	tech1	endophytes	fungi	apex1_endophytes	apex1_BFO	endophytes_BFO	apex1_endophytes_BFO	yes	A4_bio4	apex1_A4_bio4	apex1_bio4	A4_bio4_apex1_BFO_tech1	FP4A44BFOapex11endophytesfungi
FP4A44BFOapex12endophytesfungi	ITS1_18	FP4	A4	bio4	BFO	apex1	tech2	endophytes	fungi	apex1_endophytes	apex1_BFO	endophytes_BFO	apex1_endophytes_BFO	yes	A4_bio4	apex1_A4_bio4	apex1_bio4	A4_bio4_apex1_BFO_tech2	FP4A44BFOapex12endophytesfungi
FP4A44BFOapex13endophytesfungi	ITS1_19	FP4	A4	bio4	BFO	apex1	tech3	endophytes	fungi	apex1_endophytes	apex1_BFO	endophytes_BFO	apex1_endophytes_BFO	yes	A4_bio4	apex1_A4_bio4	apex1_bio4	A4_bio4_apex1_BFO_tech3	FP4A44BFOapex13endophytesfungi
FP4A44BFOapex14endophytesfungi	ITS1_20	FP4	A4	bio4	BFO	apex1	tech4	endophytes	fungi	apex1_endophytes	apex1_BFO	endophytes_BFO	apex1_endophytes_BFO	yes	A4_bio4	apex1_A4_bio4	apex1_bio4	A4_bio4_apex1_BFO_tech4	FP4A44BFOapex14endophytesfungi
FP3A41BFOapex21endophytesfungi	ITS1_25	FP3	A4	bio1	BFO	apex2	tech1	endophytes	fungi	apex2_endophytes	apex2_BFO	endophytes_BFO	apex2_endophytes_BFO	yes	A4_bio1	apex2_A4_bio1	apex2_bio1	A4_bio1_apex2_BFO_tech1	FP3A41BFOapex21endophytesfungi
FP3A41BFOapex22endophytesfungi	ITS1_26	FP3	A4	bio1	BFO	apex2	tech2	endophytes	fungi	apex2_endophytes	apex2_BFO	endophytes_BFO	apex2_endophytes_BFO	yes	A4_bio1	apex2_A4_bio1	apex2_bio1	A4_bio1_apex2_BFO_tech2	FP3A41BFOapex22endophytesfungi
FP3A41BFOapex23endophytesfungi	ITS1_27	FP3	A4	bio1	BFO	apex2	tech3	endophytes	fungi	apex2_endophytes	apex2_BFO	endophytes_BFO	apex2_endophytes_BFO	yes	A4_bio1	apex2_A4_bio1	apex2_bio1	A4_bio1_apex2_BFO_tech3	FP3A41BFOapex23endophytesfungi
FP3A41BFOapex24endophytesfungi	ITS1_28	FP3	A4	bio1	BFO	apex2	tech4	endophytes	fungi	apex2_endophytes	apex2_BFO	endophytes_BFO	apex2_endophytes_BFO	yes	A4_bio1	apex2_A4_bio1	apex2_bio1	A4_bio1_apex2_BFO_tech4	FP3A41BFOapex24endophytesfungi
FP3A42BFOapex21endophytesfungi	ITS1_71	FP3	A4	bio2	BFO	apex2	tech1	endophytes	fungi	apex2_endophytes	apex2_BFO	endophytes_BFO	apex2_endophytes_BFO	yes	A4_bio2	apex2_A4_bio2	apex2_bio2	A4_bio2_apex2_BFO_tech1	FP3A42BFOapex21endophytesfungi
FP3A42BFOapex22endophytesfungi	ITS1_72	FP3	A4	bio2	BFO	apex2	tech2	endophytes	fungi	apex2_endophytes	apex2_BFO	endophytes_BFO	apex2_endophytes_BFO	yes	A4_bio2	apex2_A4_bio2	apex2_bio2	A4_bio2_apex2_BFO_tech2	FP3A42BFOapex22endophytesfungi
FP3A42BFOapex23endophytesfungi	ITS1_73	FP3	A4	bio2	BFO	apex2	tech3	endophytes	fungi	apex2_endophytes	apex2_BFO	endophytes_BFO	apex2_endophytes_BFO	yes	A4_bio2	apex2_A4_bio2	apex2_bio2	A4_bio2_apex2_BFO_tech3	FP3A42BFOapex23endophytesfungi
FP3A42BFOapex24endophytesfungi	ITS1_74	FP3	A4	bio2	BFO	apex2	tech4	endophytes	fungi	apex2_endophytes	apex2_BFO	endophytes_BFO	apex2_endophytes_BFO	yes	A4_bio2	apex2_A4_bio2	apex2_bio2	A4_bio2_apex2_BFO_tech4	FP3A42BFOapex24endophytesfungi
FP4A44BFOapex21endophytesfungi	ITS1_21	FP4	A4	bio4	BFO	apex2	tech1	endophytes	fungi	apex2_endophytes	apex2_BFO	endophytes_BFO	apex2_endophytes_BFO	yes	A4_bio4	apex2_A4_bio4	apex2_bio4	A4_bio4_apex2_BFO_tech1	FP4A44BFOapex21endophytesfungi
FP4A44BFOapex22endophytesfungi	ITS1_22	FP4	A4	bio4	BFO	apex2	tech2	endophytes	fungi	apex2_endophytes	apex2_BFO	endophytes_BFO	apex2_endophytes_BFO	yes	A4_bio4	apex2_A4_bio4	apex2_bio4	A4_bio4_apex2_BFO_tech2	FP4A44BFOapex22endophytesfungi
FP4A44BFOapex23endophytesfungi	ITS1_23	FP4	A4	bio4	BFO	apex2	tech3	endophytes	fungi	apex2_endophytes	apex2_BFO	endophytes_BFO	apex2_endophytes_BFO	yes	A4_bio4	apex2_A4_bio4	apex2_bio4	A4_bio4_apex2_BFO_tech3	FP4A44BFOapex23endophytesfungi
FP4A44BFOapex24endophytesfungi	ITS1_24	FP4	A4	bio4	BFO	apex2	tech4	endophytes	fungi	apex2_endophytes	apex2_BFO	endophytes_BFO	apex2_endophytes_BFO	yes	A4_bio4	apex2_A4_bio4	apex2_bio4	A4_bio4_apex2_BFO_tech4	FP4A44BFOapex24endophytesfungi
FP3A41BFOapex31endophytesfungi	ITS1_29	FP3	A4	bio1	BFO	apex3	tech1	endophytes	fungi	apex3_endophytes	apex3_BFO	endophytes_BFO	apex3_endophytes_BFO	yes	A4_bio1	apex3_A4_bio1	apex3_bio1	A4_bio1_apex3_BFO_tech1	FP3A41BFOapex31endophytesfungi
FP3A41BFOapex32endophytesfungi	ITS1_30	FP3	A4	bio1	BFO	apex3	tech2	endophytes	fungi	apex3_endophytes	apex3_BFO	endophytes_BFO	apex3_endophytes_BFO	yes	A4_bio1	apex3_A4_bio1	apex3_bio1	A4_bio1_apex3_BFO_tech2	FP3A41BFOapex32endophytesfungi
FP3A41BFOapex33endophytesfungi	ITS1_31	FP3	A4	bio1	BFO	apex3	tech3	endophytes	fungi	apex3_endophytes	apex3_BFO	endophytes_BFO	apex3_endophytes_BFO	yes	A4_bio1	apex3_A4_bio1	apex3_bio1	A4_bio1_apex3_BFO_tech3	FP3A41BFOapex33endophytesfungi
FP3A41BFOapex34endophytesfungi	ITS1_32	FP3	A4	bio1	BFO	apex3	tech4	endophytes	fungi	apex3_endophytes	apex3_BFO	endophytes_BFO	apex3_endophytes_BFO	yes	A4_bio1	apex3_A4_bio1	apex3_bio1	A4_bio1_apex3_BFO_tech4	FP3A41BFOapex34endophytesfungi
FP3A42BFOapex31endophytesfungi	ITS1_75	FP3	A4	bio2	BFO	apex3	tech1	endophytes	fungi	apex3_endophytes	apex3_BFO	endophytes_BFO	apex3_endophytes_BFO	yes	A4_bio2	apex3_A4_bio2	apex3_bio2	A4_bio2_apex3_BFO_tech1	FP3A42BFOapex31endophytesfungi
FP3A42BFOapex32endophytesfungi	ITS1_76	FP3	A4	bio2	BFO	apex3	tech2	endophytes	fungi	apex3_endophytes	apex3_BFO	endophytes_BFO	apex3_endophytes_BFO	yes	A4_bio2	apex3_A4_bio2	apex3_bio2	A4_bio2_apex3_BFO_tech2	FP3A42BFOapex32endophytesfungi
FP3A42BFOapex33endophytesfungi	ITS1_77	FP3	A4	bio2	BFO	apex3	tech3	endophytes	fungi	apex3_endophytes	apex3_BFO	endophytes_BFO	apex3_endophytes_BFO	yes	A4_bio2	apex3_A4_bio2	apex3_bio2	A4_bio2_apex3_BFO_tech3	FP3A42BFOapex33endophytesfungi
FP3A42BFOapex34endophytesfungi	ITS1_78	FP3	A4	bio2	BFO	apex3	tech4	endophytes	fungi	apex3_endophytes	apex3_BFO	endophytes_BFO	apex3_endophytes_BFO	yes	A4_bio2	apex3_A4_bio2	apex3_bio2	A4_bio2_apex3_BFO_tech4	FP3A42BFOapex34endophytesfungi
FP4A44BFOapex31endophytesfungi	ITS1_25	FP4	A4	bio4	BFO	apex3	tech1	endophytes	fungi	apex3_endophytes	apex3_BFO	endophytes_BFO	apex3_endophytes_BFO	yes	A4_bio4	apex3_A4_bio4	apex3_bio4	A4_bio4_apex3_BFO_tech1	FP4A44BFOapex31endophytesfungi
