	barcode_name	library	experiment	biological	microbes	genotype	technical	compartment	library_type	genotype_compartment	genotype_microbes	compartment_microbes	genotype_compartment_microbes	growth_promotion	experiment_biological	genotype_experiment_biological	genotype_biological	exp_bio_gen_microbes_tech	Description
FP3A42BFObak1bkk1cerk14endophytesfungi	ITS1_82	FP3	A4	bio2	BFO	bak1bkk1cerk1	tech4	endophytes	fungi	bak1bkk1cerk1_endophytes	bak1bkk1cerk1_BFO	endophytes_BFO	bak1bkk1cerk1_endophytes_BFO	no	A4_bio2	bak1bkk1cerk1_A4_bio2	bak1bkk1cerk1_bio2	A4_bio2_bak1bkk1cerk1_BFO_tech4	FP3A42BFObak1bkk1cerk14endophytesfungi
FP4A44BFObak1bkk1cerk11endophytesfungi	ITS1_29	FP4	A4	bio4	BFO	bak1bkk1cerk1	tech1	endophytes	fungi	bak1bkk1cerk1_endophytes	bak1bkk1cerk1_BFO	endophytes_BFO	bak1bkk1cerk1_endophytes_BFO	no	A4_bio4	bak1bkk1cerk1_A4_bio4	bak1bkk1cerk1_bio4	A4_bio4_bak1bkk1cerk1_BFO_tech1	FP4A44BFObak1bkk1cerk11endophytesfungi
FP4A44BFObak1bkk1cerk12endophytesfungi	ITS1_30	FP4	A4	bio4	BFO	bak1bkk1cerk1	tech2	endophytes	fungi	bak1bkk1cerk1_endophytes	bak1bkk1cerk1_BFO	endophytes_BFO	bak1bkk1cerk1_endophytes_BFO	no	A4_bio4	bak1bkk1cerk1_A4_bio4	bak1bkk1cerk1_bio4	A4_bio4_bak1bkk1cerk1_BFO_tech2	FP4A44BFObak1bkk1cerk12endophytesfungi
FP4A44BFObak1bkk1cerk13endophytesfungi	ITS1_31	FP4	A4	bio4	BFO	bak1bkk1cerk1	tech3	endophytes	fungi	bak1bkk1cerk1_endophytes	bak1bkk1cerk1_BFO	endophytes_BFO	bak1bkk1cerk1_endophytes_BFO	no	A4_bio4	bak1bkk1cerk1_A4_bio4	bak1bkk1cerk1_bio4	A4_bio4_bak1bkk1cerk1_BFO_tech3	FP4A44BFObak1bkk1cerk13endophytesfungi
FP4A44BFObak1bkk1cerk14endophytesfungi	ITS1_32	FP4	A4	bio4	BFO	bak1bkk1cerk1	tech4	endophytes	fungi	bak1bkk1cerk1_endophytes	bak1bkk1cerk1_BFO	endophytes_BFO	bak1bkk1cerk1_endophytes_BFO	no	A4_bio4	bak1bkk1cerk1_A4_bio4	bak1bkk1cerk1_bio4	A4_bio4_bak1bkk1cerk1_BFO_tech4	FP4A44BFObak1bkk1cerk14endophytesfungi
FP3A41BFObri3011endophytesfungi	ITS1_5	FP3	A4	bio1	BFO	bri301	tech1	endophytes	fungi	bri301_endophytes	bri301_BFO	endophytes_BFO	bri301_endophytes_BFO	na	A4_bio1	bri301_A4_bio1	bri301_bio1	A4_bio1_bri301_BFO_tech1	FP3A41BFObri3011endophytesfungi
FP3A41BFObri3012endophytesfungi	ITS1_6	FP3	A4	bio1	BFO	bri301	tech2	endophytes	fungi	bri301_endophytes	bri301_BFO	endophytes_BFO	bri301_endophytes_BFO	na	A4_bio1	bri301_A4_bio1	bri301_bio1	A4_bio1_bri301_BFO_tech2	FP3A41BFObri3012endophytesfungi
FP3A41BFObri3013endophytesfungi	ITS1_7	FP3	A4	bio1	BFO	bri301	tech3	endophytes	fungi	bri301_endophytes	bri301_BFO	endophytes_BFO	bri301_endophytes_BFO	na	A4_bio1	bri301_A4_bio1	bri301_bio1	A4_bio1_bri301_BFO_tech3	FP3A41BFObri3013endophytesfungi
FP3A41BFObri3014endophytesfungi	ITS1_8	FP3	A4	bio1	BFO	bri301	tech4	endophytes	fungi	bri301_endophytes	bri301_BFO	endophytes_BFO	bri301_endophytes_BFO	na	A4_bio1	bri301_A4_bio1	bri301_bio1	A4_bio1_bri301_BFO_tech4	FP3A41BFObri3014endophytesfungi
FP3A42BFObri3011endophytesfungi	ITS1_51	FP3	A4	bio2	BFO	bri301	tech1	endophytes	fungi	bri301_endophytes	bri301_BFO	endophytes_BFO	bri301_endophytes_BFO	na	A4_bio2	bri301_A4_bio2	bri301_bio2	A4_bio2_bri301_BFO_tech1	FP3A42BFObri3011endophytesfungi
FP3A42BFObri3012endophytesfungi	ITS1_52	FP3	A4	bio2	BFO	bri301	tech2	endophytes	fungi	bri301_endophytes	bri301_BFO	endophytes_BFO	bri301_endophytes_BFO	na	A4_bio2	bri301_A4_bio2	bri301_bio2	A4_bio2_bri301_BFO_tech2	FP3A42BFObri3012endophytesfungi
FP3A42BFObri3013endophytesfungi	ITS1_53	FP3	A4	bio2	BFO	bri301	tech3	endophytes	fungi	bri301_endophytes	bri301_BFO	endophytes_BFO	bri301_endophytes_BFO	na	A4_bio2	bri301_A4_bio2	bri301_bio2	A4_bio2_bri301_BFO_tech3	FP3A42BFObri3013endophytesfungi
FP3A42BFObri3014endophytesfungi	ITS1_54	FP3	A4	bio2	BFO	bri301	tech4	endophytes	fungi	bri301_endophytes	bri301_BFO	endophytes_BFO	bri301_endophytes_BFO	na	A4_bio2	bri301_A4_bio2	bri301_bio2	A4_bio2_bri301_BFO_tech4	FP3A42BFObri3014endophytesfungi
FP4A44BFObri3011endophytesfungi	ITS1_1	FP4	A4	bio4	BFO	bri301	tech1	endophytes	fungi	bri301_endophytes	bri301_BFO	endophytes_BFO	bri301_endophytes_BFO	na	A4_bio4	bri301_A4_bio4	bri301_bio4	A4_bio4_bri301_BFO_tech1	FP4A44BFObri3011endophytesfungi
FP4A44BFObri3012endophytesfungi	ITS1_2	FP4	A4	bio4	BFO	bri301	tech2	endophytes	fungi	bri301_endophytes	bri301_BFO	endophytes_BFO	bri301_endophytes_BFO	na	A4_bio4	bri301_A4_bio4	bri301_bio4	A4_bio4_bri301_BFO_tech2	FP4A44BFObri3012endophytesfungi
FP4A44BFObri3013endophytesfungi	ITS1_3	FP4	A4	bio4	BFO	bri301	tech3	endophytes	fungi	bri301_endophytes	bri301_BFO	endophytes_BFO	bri301_endophytes_BFO	na	A4_bio4	bri301_A4_bio4	bri301_bio4	A4_bio4_bri301_BFO_tech3	FP4A44BFObri3013endophytesfungi
FP4A44BFObri3014endophytesfungi	ITS1_4	FP4	A4	bio4	BFO	bri301	tech4	endophytes	fungi	bri301_endophytes	bri301_BFO	endophytes_BFO	bri301_endophytes_BFO	na	A4_bio4	bri301_A4_bio4	bri301_bio4	A4_bio4_bri301_BFO_tech4	FP4A44BFObri3014endophytesfungi
FP1A1bio1BFOcyp79b2b3tech1endophytesfungi	ITS1_21	FP1	A1	bio1	BFO	cyp79b2b3	tech1	endophytes	fungi	cyp79b2b3_endophytes	cyp79b2b3_BFO	endophytes_BFO	cyp79b2b3_endophytes_BFO	no	A1_bio1	cyp79b2b3_A1_bio1	cyp79b2b3_bio1	A1_bio1_cyp79b2b3_BFO_tech1	FP1A1bio1BFOcyp79b2b3tech1endophytesfungi
FP1A1bio1BFOcyp79b2b3tech2endophytesfungi	ITS1_22	FP1	A1	bio1	BFO	cyp79b2b3	tech2	endophytes	fungi	cyp79b2b3_endophytes	cyp79b2b3_BFO	endophytes_BFO	cyp79b2b3_endophytes_BFO	no	A1_bio1	cyp79b2b3_A1_bio1	cyp79b2b3_bio1	A1_bio1_cyp79b2b3_BFO_tech2	FP1A1bio1BFOcyp79b2b3tech2endophytesfungi
FP1A1bio1BFOcyp79b2b3tech3endophytesfungi	ITS1_23	FP1	A1	bio1	BFO	cyp79b2b3	tech3	endophytes	fungi	cyp79b2b3_endophytes	cyp79b2b3_BFO	endophytes_BFO	cyp79b2b3_endophytes_BFO	no	A1_bio1	cyp79b2b3_A1_bio1	cyp79b2b3_bio1	A1_bio1_cyp79b2b3_BFO_tech3	FP1A1bio1BFOcyp79b2b3tech3endophytesfungi
FP1A1bio1BFOcyp79b2b3tech4endophytesfungi	ITS1_24	FP1	A1	bio1	BFO	cyp79b2b3	tech4	endophytes	fungi	cyp79b2b3_endophytes	cyp79b2b3_BFO	endophytes_BFO	cyp79b2b3_endophytes_BFO	no	A1_bio1	cyp79b2b3_A1_bio1	cyp79b2b3_bio1	A1_bio1_cyp79b2b3_BFO_tech4	FP1A1bio1BFOcyp79b2b3tech4endophytesfungi
FP1A1bio2BFOcyp79b2b3tech1endophytesfungi	ITS1_75	FP1	A1	bio2	BFO	cyp79b2b3	tech1	endophytes	fungi	cyp79b2b3_endophytes	cyp79b2b3_BFO	endophytes_BFO	cyp79b2b3_endophytes_BFO	no	A1_bio2	cyp79b2b3_A1_bio2	cyp79b2b3_bio2	A1_bio2_cyp79b2b3_BFO_tech1	FP1A1bio2BFOcyp79b2b3tech1endophytesfungi
FP1A1bio2BFOcyp79b2b3tech2endophytesfungi	ITS1_76	FP1	A1	bio2	BFO	cyp79b2b3	tech2	endophytes	fungi	cyp79b2b3_endophytes	cyp79b2b3_BFO	endophytes_BFO	cyp79b2b3_endophytes_BFO	no	A1_bio2	cyp79b2b3_A1_bio2	cyp79b2b3_bio2	A1_bio2_cyp79b2b3_BFO_tech2	FP1A1bio2BFOcyp79b2b3tech2endophytesfungi
FP1A1bio2BFOcyp79b2b3tech3endophytesfungi	ITS1_77	FP1	A1	bio2	BFO	cyp79b2b3	tech3	endophytes	fungi	cyp79b2b3_endophytes	cyp79b2b3_BFO	endophytes_BFO	cyp79b2b3_endophytes_BFO	no	A1_bio2	cyp79b2b3_A1_bio2	cyp79b2b3_bio2	A1_bio2_cyp79b2b3_BFO_tech3	FP1A1bio2BFOcyp79b2b3tech3endophytesfungi
FP1A1bio2BFOcyp79b2b3tech4endophytesfungi	ITS1_78	FP1	A1	bio2	BFO	cyp79b2b3	tech4	endophytes	fungi	cyp79b2b3_endophytes	cyp79b2b3_BFO	endophytes_BFO	cyp79b2b3_endophytes_BFO	no	A1_bio2	cyp79b2b3_A1_bio2	cyp79b2b3_bio2	A1_bio2_cyp79b2b3_BFO_tech4	FP1A1bio2BFOcyp79b2b3tech4endophytesfungi
FP2A1bio4BFOcyp79b2b3tech1endophytesfungi	ITS1_25	FP2	A1	bio4	BFO	cyp79b2b3	tech1	endophytes	fungi	cyp79b2b3_endophytes	cyp79b2b3_BFO	endophytes_BFO	cyp79b2b3_endophytes_BFO	no	A1_bio4	cyp79b2b3_A1_bio4	cyp79b2b3_bio4	A1_bio4_cyp79b2b3_BFO_tech1	FP2A1bio4BFOcyp79b2b3tech1endophytesfungi
FP2A1bio4BFOcyp79b2b3tech2endophytesfungi	ITS1_26	FP2	A1	bio4	BFO	cyp79b2b3	tech2	endophytes	fungi	cyp79b2b3_endophytes	cyp79b2b3_BFO	endophytes_BFO	cyp79b2b3_endophytes_BFO	no	A1_bio4	cyp79b2b3_A1_bio4	cyp79b2b3_bio4	A1_bio4_cyp79b2b3_BFO_tech2	FP2A1bio4BFOcyp79b2b3tech2endophytesfungi
FP2A1bio4BFOcyp79b2b3tech3endophytesfungi	ITS1_27	FP2	A1	bio4	BFO	cyp79b2b3	tech3	endophytes	fungi	cyp79b2b3_endophytes	cyp79b2b3_BFO	endophytes_BFO	cyp79b2b3_endophytes_BFO	no	A1_bio4	cyp79b2b3_A1_bio4	cyp79b2b3_bio4	A1_bio4_cyp79b2b3_BFO_tech3	FP2A1bio4BFOcyp79b2b3tech3endophytesfungi
FP3A41BFOcyp79b2b3new1endophytesfungi	ITS1_13	FP3	A4	bio1	BFO	cyp79b2b3_new	tech1	endophytes	fungi	cyp79b2b3_new_endophytes	cyp79b2b3_new_BFO	endophytes_BFO	cyp79b2b3_new_endophytes_BFO	no	A4_bio1	cyp79b2b3_new_A4_bio1	cyp79b2b3_new_bio1	A4_bio1_cyp79b2b3_new_BFO_tech1	FP3A41BFOcyp79b2b3_new1endophytesfungi
FP3A41BFOcyp79b2b3new2endophytesfungi	ITS1_14	FP3	A4	bio1	BFO	cyp79b2b3_new	tech2	endophytes	fungi	cyp79b2b3_new_endophytes	cyp79b2b3_new_BFO	endophytes_BFO	cyp79b2b3_new_endophytes_BFO	no	A4_bio1	cyp79b2b3_new_A4_bio1	cyp79b2b3_new_bio1	A4_bio1_cyp79b2b3_new_BFO_tech2	FP3A41BFOcyp79b2b3_new2endophytesfungi
FP3A41BFOcyp79b2b3new3endophytesfungi	ITS1_15	FP3	A4	bio1	BFO	cyp79b2b3_new	tech3	endophytes	fungi	cyp79b2b3_new_endophytes	cyp79b2b3_new_BFO	endophytes_BFO	cyp79b2b3_new_endophytes_BFO	no	A4_bio1	cyp79b2b3_new_A4_bio1	cyp79b2b3_new_bio1	A4_bio1_cyp79b2b3_new_BFO_tech3	FP3A41BFOcyp79b2b3_new3endophytesfungi
FP3A41BFOcyp79b2b3new4endophytesfungi	ITS1_16	FP3	A4	bio1	BFO	cyp79b2b3_new	tech4	endophytes	fungi	cyp79b2b3_new_endophytes	cyp79b2b3_new_BFO	endophytes_BFO	cyp79b2b3_new_endophytes_BFO	no	A4_bio1	cyp79b2b3_new_A4_bio1	cyp79b2b3_new_bio1	A4_bio1_cyp79b2b3_new_BFO_tech4	FP3A41BFOcyp79b2b3_new4endophytesfungi
FP3A42BFOcyp79b2b3new1endophytesfungi	ITS1_59	FP3	A4	bio2	BFO	cyp79b2b3_new	tech1	endophytes	fungi	cyp79b2b3_new_endophytes	cyp79b2b3_new_BFO	endophytes_BFO	cyp79b2b3_new_endophytes_BFO	no	A4_bio2	cyp79b2b3_new_A4_bio2	cyp79b2b3_new_bio2	A4_bio2_cyp79b2b3_new_BFO_tech1	FP3A42BFOcyp79b2b3_new1endophytesfungi
FP3A42BFOcyp79b2b3new2endophytesfungi	ITS1_60	FP3	A4	bio2	BFO	cyp79b2b3_new	tech2	endophytes	fungi	cyp79b2b3_new_endophytes	cyp79b2b3_new_BFO	endophytes_BFO	cyp79b2b3_new_endophytes_BFO	no	A4_bio2	cyp79b2b3_new_A4_bio2	cyp79b2b3_new_bio2	A4_bio2_cyp79b2b3_new_BFO_tech2	FP3A42BFOcyp79b2b3_new2endophytesfungi
FP3A42BFOcyp79b2b3new3endophytesfungi	ITS1_61	FP3	A4	bio2	BFO	cyp79b2b3_new	tech3	endophytes	fungi	cyp79b2b3_new_endophytes	cyp79b2b3_new_BFO	endophytes_BFO	cyp79b2b3_new_endophytes_BFO	no	A4_bio2	cyp79b2b3_new_A4_bio2	cyp79b2b3_new_bio2	A4_bio2_cyp79b2b3_new_BFO_tech3	FP3A42BFOcyp79b2b3_new3endophytesfungi
FP3A42BFOcyp79b2b3new4endophytesfungi	ITS1_62	FP3	A4	bio2	BFO	cyp79b2b3_new	tech4	endophytes	fungi	cyp79b2b3_new_endophytes	cyp79b2b3_new_BFO	endophytes_BFO	cyp79b2b3_new_endophytes_BFO	no	A4_bio2	cyp79b2b3_new_A4_bio2	cyp79b2b3_new_bio2	A4_bio2_cyp79b2b3_new_BFO_tech4	FP3A42BFOcyp79b2b3_new4endophytesfungi
FP4A44BFOcyp79b2b3new1endophytesfungi	ITS1_9	FP4	A4	bio4	BFO	cyp79b2b3_new	tech1	endophytes	fungi	cyp79b2b3_new_endophytes	cyp79b2b3_new_BFO	endophytes_BFO	cyp79b2b3_new_endophytes_BFO	no	A4_bio4	cyp79b2b3_new_A4_bio4	cyp79b2b3_new_bio4	A4_bio4_cyp79b2b3_new_BFO_tech1	FP4A44BFOcyp79b2b3_new1endophytesfungi
FP4A44BFOcyp79b2b3new2endophytesfungi	ITS1_10	FP4	A4	bio4	BFO	cyp79b2b3_new	tech2	endophytes	fungi	cyp79b2b3_new_endophytes	cyp79b2b3_new_BFO	endophytes_BFO	cyp79b2b3_new_endophytes_BFO	no	A4_bio4	cyp79b2b3_new_A4_bio4	cyp79b2b3_new_bio4	A4_bio4_cyp79b2b3_new_BFO_tech2	FP4A44BFOcyp79b2b3_new2endophytesfungi
FP4A44BFOcyp79b2b3new3endophytesfungi	ITS1_11	FP4	A4	bio4	BFO	cyp79b2b3_new	tech3	endophytes	fungi	cyp79b2b3_new_endophytes	cyp79b2b3_new_BFO	endophytes_BFO	cyp79b2b3_new_endophytes_BFO	no	A4_bio4	cyp79b2b3_new_A4_bio4	cyp79b2b3_new_bio4	A4_bio4_cyp79b2b3_new_BFO_tech3	FP4A44BFOcyp79b2b3_new3endophytesfungi
FP4A44BFOcyp79b2b3new4endophytesfungi	ITS1_12	FP4	A4	bio4	BFO	cyp79b2b3_new	tech4	endophytes	fungi	cyp79b2b3_new_endophytes	cyp79b2b3_new_BFO	endophytes_BFO	cyp79b2b3_new_endophytes_BFO	no	A4_bio4	cyp79b2b3_new_A4_bio4	cyp79b2b3_new_bio4	A4_bio4_cyp79b2b3_new_BFO_tech4	FP4A44BFOcyp79b2b3_new4endophytesfungi
FP1A1bio1BFOdepstech1endophytesfungi	ITS1_25	FP1	A1	bio1	BFO	deps	tech1	endophytes	fungi	deps_endophytes	deps_BFO	endophytes_BFO	deps_endophytes_BFO	yes	A1_bio1	deps_A1_bio1	deps_bio1	A1_bio1_deps_BFO_tech1	FP1A1bio1BFOdepstech1endophytesfungi
FP1A1bio1BFOdepstech2endophytesfungi	ITS1_26	FP1	A1	bio1	BFO	deps	tech2	endophytes	fungi	deps_endophytes	deps_BFO	endophytes_BFO	deps_endophytes_BFO	yes	A1_bio1	deps_A1_bio1	deps_bio1	A1_bio1_deps_BFO_tech2	FP1A1bio1BFOdepstech2endophytesfungi
FP1A1bio1BFOdepstech3endophytesfungi	ITS1_27	FP1	A1	bio1	BFO	deps	tech3	endophytes	fungi	deps_endophytes	deps_BFO	endophytes_BFO	deps_endophytes_BFO	yes	A1_bio1	deps_A1_bio1	deps_bio1	A1_bio1_deps_BFO_tech3	FP1A1bio1BFOdepstech3endophytesfungi
FP1A1bio1BFOdepstech4endophytesfungi	ITS1_28	FP1	A1	bio1	BFO	deps	tech4	endophytes	fungi	deps_endophytes	deps_BFO	endophytes_BFO	deps_endophytes_BFO	yes	A1_bio1	deps_A1_bio1	deps_bio1	A1_bio1_deps_BFO_tech4	FP1A1bio1BFOdepstech4endophytesfungi
FP1A1bio2BFOdepstech1endophytesfungi	ITS1_79	FP1	A1	bio2	BFO	deps	tech1	endophytes	fungi	deps_endophytes	deps_BFO	endophytes_BFO	deps_endophytes_BFO	yes	A1_bio2	deps_A1_bio2	deps_bio2	A1_bio2_deps_BFO_tech1	FP1A1bio2BFOdepstech1endophytesfungi
FP1A1bio2BFOdepstech2endophytesfungi	ITS1_80	FP1	A1	bio2	BFO	deps	tech2	endophytes	fungi	deps_endophytes	deps_BFO	endophytes_BFO	deps_endophytes_BFO	yes	A1_bio2	deps_A1_bio2	deps_bio2	A1_bio2_deps_BFO_tech2	FP1A1bio2BFOdepstech2endophytesfungi
FP1A1bio2BFOdepstech3endophytesfungi	ITS1_81	FP1	A1	bio2	BFO	deps	tech3	endophytes	fungi	deps_endophytes	deps_BFO	endophytes_BFO	deps_endophytes_BFO	yes	A1_bio2	deps_A1_bio2	deps_bio2	A1_bio2_deps_BFO_tech3	FP1A1bio2BFOdepstech3endophytesfungi
FP1A1bio2BFOdepstech4endophytesfungi	ITS1_82	FP1	A1	bio2	BFO	deps	tech4	endophytes	fungi	deps_endophytes	deps_BFO	endophytes_BFO	deps_endophytes_BFO	yes	A1_bio2	deps_A1_bio2	deps_bio2	A1_bio2_deps_BFO_tech4	FP1A1bio2BFOdepstech4endophytesfungi
FP2A1bio4BFOdepstech1endophytesfungi	ITS1_28	FP2	A1	bio4	BFO	deps	tech1	endophytes	fungi	deps_endophytes	deps_BFO	endophytes_BFO	deps_endophytes_BFO	yes	A1_bio4	deps_A1_bio4	deps_bio4	A1_bio4_deps_BFO_tech1	FP2A1bio4BFOdepstech1endophytesfungi
FP2A1bio4BFOdepstech2endophytesfungi	ITS1_29	FP2	A1	bio4	BFO	deps	tech2	endophytes	fungi	deps_endophytes	deps_BFO	endophytes_BFO	deps_endophytes_BFO	yes	A1_bio4	deps_A1_bio4	deps_bio4	A1_bio4_deps_BFO_tech2	FP2A1bio4BFOdepstech2endophytesfungi
FP2A1bio4BFOdepstech3endophytesfungi	ITS1_30	FP2	A1	bio4	BFO	deps	tech3	endophytes	fungi	deps_endophytes	deps_BFO	endophytes_BFO	deps_endophytes_BFO	yes	A1_bio4	deps_A1_bio4	deps_bio4	A1_bio4_deps_BFO_tech3	FP2A1bio4BFOdepstech3endophytesfungi
FP2A1bio4BFOdepstech4endophytesfungi	ITS1_31	FP2	A1	bio4	BFO	deps	tech4	endophytes	fungi	deps_endophytes	deps_BFO	endophytes_BFO	deps_endophytes_BFO	yes	A1_bio4	deps_A1_bio4	deps_bio4	A1_bio4_deps_BFO_tech4	FP2A1bio4BFOdepstech4endophytesfungi
FP1A1bio1BFOefrfls2cerk1tech1endophytesfungi	ITS1_13	FP1	A1	bio1	BFO	efrfls2cerk1	tech1	endophytes	fungi	efrfls2cerk1_endophytes	efrfls2cerk1_BFO	endophytes_BFO	efrfls2cerk1_endophytes_BFO	yes	A1_bio1	efrfls2cerk1_A1_bio1	efrfls2cerk1_bio1	A1_bio1_efrfls2cerk1_BFO_tech1	FP1A1bio1BFOefrfls2cerk1tech1endophytesfungi
FP1A1bio1BFOefrfls2cerk1tech2endophytesfungi	ITS1_14	FP1	A1	bio1	BFO	efrfls2cerk1	tech2	endophytes	fungi	efrfls2cerk1_endophytes	efrfls2cerk1_BFO	endophytes_BFO	efrfls2cerk1_endophytes_BFO	yes	A1_bio1	efrfls2cerk1_A1_bio1	efrfls2cerk1_bio1	A1_bio1_efrfls2cerk1_BFO_tech2	FP1A1bio1BFOefrfls2cerk1tech2endophytesfungi
FP1A1bio1BFOefrfls2cerk1tech3endophytesfungi	ITS1_15	FP1	A1	bio1	BFO	efrfls2cerk1	tech3	endophytes	fungi	efrfls2cerk1_endophytes	efrfls2cerk1_BFO	endophytes_BFO	efrfls2cerk1_endophytes_BFO	yes	A1_bio1	efrfls2cerk1_A1_bio1	efrfls2cerk1_bio1	A1_bio1_efrfls2cerk1_BFO_tech3	FP1A1bio1BFOefrfls2cerk1tech3endophytesfungi
FP1A1bio1BFOefrfls2cerk1tech4endophytesfungi	ITS1_16	FP1	A1	bio1	BFO	efrfls2cerk1	tech4	endophytes	fungi	efrfls2cerk1_endophytes	efrfls2cerk1_BFO	endophytes_BFO	efrfls2cerk1_endophytes_BFO	yes	A1_bio1	efrfls2cerk1_A1_bio1	efrfls2cerk1_bio1	A1_bio1_efrfls2cerk1_BFO_tech4	FP1A1bio1BFOefrfls2cerk1tech4endophytesfungi
FP1A1bio2BFOefrfls2cerk1tech1endophytesfungi	ITS1_67	FP1	A1	bio2	BFO	efrfls2cerk1	tech1	endophytes	fungi	efrfls2cerk1_endophytes	efrfls2cerk1_BFO	endophytes_BFO	efrfls2cerk1_endophytes_BFO	yes	A1_bio2	efrfls2cerk1_A1_bio2	efrfls2cerk1_bio2	A1_bio2_efrfls2cerk1_BFO_tech1	FP1A1bio2BFOefrfls2cerk1tech1endophytesfungi
FP1A1bio2BFOefrfls2cerk1tech2endophytesfungi	ITS1_68	FP1	A1	bio2	BFO	efrfls2cerk1	tech2	endophytes	fungi	efrfls2cerk1_endophytes	efrfls2cerk1_BFO	endophytes_BFO	efrfls2cerk1_endophytes_BFO	yes	A1_bio2	efrfls2cerk1_A1_bio2	efrfls2cerk1_bio2	A1_bio2_efrfls2cerk1_BFO_tech2	FP1A1bio2BFOefrfls2cerk1tech2endophytesfungi
FP1A1bio2BFOefrfls2cerk1tech3endophytesfungi	ITS1_69	FP1	A1	bio2	BFO	efrfls2cerk1	tech3	endophytes	fungi	efrfls2cerk1_endophytes	efrfls2cerk1_BFO	endophytes_BFO	efrfls2cerk1_endophytes_BFO	yes	A1_bio2	efrfls2cerk1_A1_bio2	efrfls2cerk1_bio2	A1_bio2_efrfls2cerk1_BFO_tech3	FP1A1bio2BFOefrfls2cerk1tech3endophytesfungi
FP1A1bio2BFOefrfls2cerk1tech4endophytesfungi	ITS1_70	FP1	A1	bio2	BFO	efrfls2cerk1	tech4	endophytes	fungi	efrfls2cerk1_endophytes	efrfls2cerk1_BFO	endophytes_BFO	efrfls2cerk1_endophytes_BFO	yes	A1_bio2	efrfls2cerk1_A1_bio2	efrfls2cerk1_bio2	A1_bio2_efrfls2cerk1_BFO_tech4	FP1A1bio2BFOefrfls2cerk1tech4endophytesfungi
FP2A1bio4BFOefrfls2cerk1tech1endophytesfungi	ITS1_17	FP2	A1	bio4	BFO	efrfls2cerk1	tech1	endophytes	fungi	efrfls2cerk1_endophytes	efrfls2cerk1_BFO	endophytes_BFO	efrfls2cerk1_endophytes_BFO	yes	A1_bio4	efrfls2cerk1_A1_bio4	efrfls2cerk1_bio4	A1_bio4_efrfls2cerk1_BFO_tech1	FP2A1bio4BFOefrfls2cerk1tech1endophytesfungi
FP2A1bio4BFOefrfls2cerk1tech2endophytesfungi	ITS1_18	FP2	A1	bio4	BFO	efrfls2cerk1	tech2	endophytes	fungi	efrfls2cerk1_endophytes	efrfls2cerk1_BFO	endophytes_BFO	efrfls2cerk1_endophytes_BFO	yes	A1_bio4	efrfls2cerk1_A1_bio4	efrfls2cerk1_bio4	A1_bio4_efrfls2cerk1_BFO_tech2	FP2A1bio4BFOefrfls2cerk1tech2endophytesfungi
FP2A1bio4BFOefrfls2cerk1tech3endophytesfungi	ITS1_19	FP2	A1	bio4	BFO	efrfls2cerk1	tech3	endophytes	fungi	efrfls2cerk1_endophytes	efrfls2cerk1_BFO	endophytes_BFO	efrfls2cerk1_endophytes_BFO	yes	A1_bio4	efrfls2cerk1_A1_bio4	efrfls2cerk1_bio4	A1_bio4_efrfls2cerk1_BFO_tech3	FP2A1bio4BFOefrfls2cerk1tech3endophytesfungi
FP2A1bio4BFOefrfls2cerk1tech4endophytesfungi	ITS1_20	FP2	A1	bio4	BFO	efrfls2cerk1	tech4	endophytes	fungi	efrfls2cerk1_endophytes	efrfls2cerk1_BFO	endophytes_BFO	efrfls2cerk1_endophytes_BFO	yes	A1_bio4	efrfls2cerk1_A1_bio4	efrfls2cerk1_bio4	A1_bio4_efrfls2cerk1_BFO_tech4	FP2A1bio4BFOefrfls2cerk1tech4endophytesfungi
FP2A1bio1initialinitialtech1initialfungi	ITS1_83	FP2	A1	bio1	initial	initial	tech1	initial	fungi	initial	initial	initial	initial	initial	A1_bio1	initial_A1_bio1	initial_bio1	A1_bio1_initial_initial_tech1	FP2A1bio1initialinitialtech1initialfungi
FP2A1bio1initialinitialtech2initialfungi	ITS1_84	FP2	A1	bio1	initial	initial	tech2	initial	fungi	initial	initial	initial	initial	initial	A1_bio1	initial_A1_bio1	initial_bio1	A1_bio1_initial_initial_tech2	FP2A1bio1initialinitialtech2initialfungi
FP2A1bio1initialinitialtech3initialfungi	ITS1_85	FP2	A1	bio1	initial	initial	tech3	initial	fungi	initial	initial	initial	initial	initial	A1_bio1	initial_A1_bio1	initial_bio1	A1_bio1_initial_initial_tech3	FP2A1bio1initialinitialtech3initialfungi
FP2A1bio2initialinitialtech1initialfungi	ITS1_86	FP2	A1	bio2	initial	initial	tech1	initial	fungi	initial	initial	initial	initial	initial	A1_bio2	initial_A1_bio2	initial_bio2	A1_bio2_initial_initial_tech1	FP2A1bio2initialinitialtech1initialfungi
FP2A1bio2initialinitialtech2initialfungi	ITS1_87	FP2	A1	bio2	initial	initial	tech2	initial	fungi	initial	initial	initial	initial	initial	A1_bio2	initial_A1_bio2	initial_bio2	A1_bio2_initial_initial_tech2	FP2A1bio2initialinitialtech2initialfungi
FP2A1bio2initialinitialtech3initialfungi	ITS1_88	FP2	A1	bio2	initial	initial	tech3	initial	fungi	initial	initial	initial	initial	initial	A1_bio2	initial_A1_bio2	initial_bio2	A1_bio2_initial_initial_tech3	FP2A1bio2initialinitialtech3initialfungi
