	observed_species
FP4A42initialinitial2initialfungi	19
FP4A44BFOwrky331endophytesfungi	12
FP4A44BFOsoil1soilfungi	15
FP4A44initialinitial3initialfungi	20
FP4A44BFObri3012endophytesfungi	15
FP4A44BFOcyp79b2b3new2endophytesfungi	12
FP4A44BFOapex14endophytesfungi	11
FP4A44BFOsoil4soilfungi	17
FP4A44BFObak1bkk1cerk13endophytesfungi	11
FP4A44initialinitial2initialfungi	19
FP4A44BFOapex12endophytesfungi	14
FP4A44BFOapex33endophytesfungi	12
FP4A44BFO35SBRI4endophytesfungi	14
FP4A44BFOwrky333endophytesfungi	12
FP4A44BFO35SBRI2endophytesfungi	10
FP4A42initialinitial3initialfungi	19
FP4A44BFOcyp79b2b3new1endophytesfungi	13
FP4A44initialinitial1initialfungi	20
FP4A44BFObri3013endophytesfungi	12
FP4A44BFOapex22endophytesfungi	14
FP4A44BFObri3011endophytesfungi	13
FP4A44BFOwrky332endophytesfungi	13
FP4A44BFOcyp79b2b3new4endophytesfungi	12
FP4A44BFOlyk53endophytesfungi	14
FP4A44BFObak1bkk1cerk14endophytesfungi	12
FP4A44BFOlyk54endophytesfungi	15
FP4A44BFOapex24endophytesfungi	12
FP4A66BFOsoil6soilfungi	13
FP4A44BFOapex23endophytesfungi	11
FP4A44BFO35SBRI1endophytesfungi	12
FP4A55BFOsoil5soilfungi	12
FP4A44BFOapex13endophytesfungi	15
FP4A44BFOapex34endophytesfungi	13
FP4A44BFOsoil3soilfungi	14
FP4A44BFOwrky334endophytesfungi	13
FP4A44BFObak1bkk1cerk12endophytesfungi	14
FP4A44BFObak1bkk1cerk11endophytesfungi	14
FP4A44BFOapex32endophytesfungi	13
FP4A44BFOcyp79b2b3new3endophytesfungi	10
