	chao1
FP2A1bio4BFOrar1tech3endophytesfungi	14.0
FP2A1bio4BFOsoiltech4soilfungi	14.5
FP2A1bio2BFOsoiltech1soilfungi	19.0
FP2A1bio2BFOrar1tech1endophytesfungi	13.25
FP2A1bio4BFOrar1tech4endophytesfungi	13.0
FP2A1bio1initialinitialtech2initialfungi	20.0
FP2A1bio4BFOpad4tech1endophytesfungi	16.0
FP2A1bio4BFOdepstech2endophytesfungi	14.0
FP2A1bio4initialinitialtech3initialfungi	13.0
FP2A1bio4BFOefrfls2cerk1tech4endophytesfungi	12.0
FP2A1bio4BFOdepstech1endophytesfungi	9.0
FP2A1bio4BFOWTtech2endophytesfungi	14.0
FP2A1bio2initialinitialtech1initialfungi	17.0
FP2A1bio1initialinitialtech3initialfungi	19.0
FP2A1bio2initialinitialtech2initialfungi	14.0
FP3A41BFObak1bkk1cerk13endophytesfungi	13.0
FP3A41BFOsoil3soilfungi	19.0
FP3A41BFOlyk51endophytesfungi	12.0
FP3A42BFOapex14endophytesfungi	10.5
FP3A41BFOlyk53endophytesfungi	12.0
FP3A43BFOWTnew1endophytesfungi	13.0
FP3A41BFOwrky331endophytesfungi	10.0
FP3A42BFOcyp79b2b3new3endophytesfungi	15.0
FP3A42BFOlyk52endophytesfungi	13.0
FP3A41BFOapex32endophytesfungi	13.333333333333334
FP3A42BFOapex11endophytesfungi	13.0
FP3A42BFOsoil3soilfungi	14.0
FP3A41BFObri3014endophytesfungi	16.0
FP3A41BFOwrky333endophytesfungi	14.0
FP3A42BFOapex24endophytesfungi	12.5
FP3A43BFOWTnew3endophytesfungi	11.0
FP3A41BFO35SBRI4endophytesfungi	9.0
FP3A41BFOapex24endophytesfungi	8.0
FP3A42BFOcyp79b2b3new2endophytesfungi	14.25
FP3A41BFOcyp79b2b3new4endophytesfungi	9.0
FP3A42BFOapex23endophytesfungi	15.0
FP3A41BFOapex14endophytesfungi	15.5
FP3A41BFOwrky334endophytesfungi	20.0
FP3A42BFOsoil5soilfungi	10.0
FP3A42BFOwrky331endophytesfungi	12.0
FP3A42BFOlyk53endophytesfungi	17.0
FP3A42BFO35SBRI3endophytesfungi	10.0
FP3A41BFObri3012endophytesfungi	14.0
FP3A42BFObri3014endophytesfungi	12.5
FP3A42BFObri3013endophytesfungi	14.0
FP3A42BFOcyp79b2b3new1endophytesfungi	16.0
FP3A41BFOcyp79b2b3new3endophytesfungi	15.0
FP3A41BFOlyk52endophytesfungi	15.5
FP3A41BFObak1bkk1cerk14endophytesfungi	17.0
FP3A42BFOwrky332endophytesfungi	12.0
FP3A41BFOcyp79b2b3new1endophytesfungi	11.0
FP3A41BFO35SBRI3endophytesfungi	8.0
FP3A42BFOapex31endophytesfungi	22.0
FP3A42BFOWTnew3endophytesfungi	11.0
FP3A42BFOlyk54endophytesfungi	14.333333333333334
FP3A41BFOapex12endophytesfungi	15.5
FP3A42BFOapex34endophytesfungi	12.0
FP3A42BFObri3011endophytesfungi	17.0
FP3A42BFOapex21endophytesfungi	15.333333333333334
FP3A41BFOapex23endophytesfungi	14.0
FP3A42BFOWTnew2endophytesfungi	13.0
FP3A42BFOapex22endophytesfungi	12.0
FP3A42BFOsoil4soilfungi	14.333333333333334
FP3A41BFOapex21endophytesfungi	15.0
FP3A42BFObak1bkk1cerk12endophytesfungi	14.5
FP3A42BFOapex32endophytesfungi	11.5
FP3A42BFO35SBRI2endophytesfungi	22.0
FP3A42BFOapex13endophytesfungi	13.333333333333334
FP3A42BFOapex33endophytesfungi	12.0
FP3A41BFOWTnew3endophytesfungi	21.0
FP3A41BFOapex22endophytesfungi	14.0
FP3A43BFOWTnew4endophytesfungi	13.0
FP3A42BFOWTnew4endophytesfungi	12.333333333333334
FP3A41BFO35SBRI1endophytesfungi	14.0
FP3A42BFOlyk51endophytesfungi	15.0
FP3A41BFOsoil6soilfungi	18.0
FP3A42BFOsoil2soilfungi	9.5
FP3A42BFO35SBRI4endophytesfungi	16.0
FP3A41BFObri3013endophytesfungi	17.5
FP3A41BFOWTnew4endophytesfungi	18.5
FP3A41BFOapex31endophytesfungi	12.0
FP3A42BFOsoil6soilfungi	8.0
FP3A41BFOwrky332endophytesfungi	13.5
FP3A41BFOWTnew1endophytesfungi	16.0
FP3A42BFOapex12endophytesfungi	16.0
FP3A41BFObak1bkk1cerk11endophytesfungi	15.5
FP3A41BFOsoil5soilfungi	7.0
FP3A42BFObak1bkk1cerk13endophytesfungi	18.0
FP3A41BFOapex13endophytesfungi	15.0
FP3A42BFO35SBRI1endophytesfungi	20.0
FP3A41BFOapex11endophytesfungi	11.5
FP3A41BFObri3011endophytesfungi	13.0
FP3A41BFOapex34endophytesfungi	13.0
FP3A42BFOwrky334endophytesfungi	13.5
FP3A41BFOapex33endophytesfungi	7.0
FP3A41BFOlyk54endophytesfungi	17.0
FP3A42BFOsoil1soilfungi	13.25
FP3A42BFOwrky333endophytesfungi	12.5
FP3A42BFObak1bkk1cerk11endophytesfungi	12.0
FP3A41BFO35SBRI2endophytesfungi	9.0
FP3A41BFObak1bkk1cerk12endophytesfungi	13.0
FP3A41BFOsoil4soilfungi	8.0
FP3A42BFObri3012endophytesfungi	12.0
FP3A43BFOWTnew2endophytesfungi	12.0
FP3A41BFOcyp79b2b3new2endophytesfungi	12.333333333333334
FP3A42BFObak1bkk1cerk14endophytesfungi	12.0
FP3A41BFOsoil1soilfungi	13.0
FP3A42BFOWTnew1endophytesfungi	17.0
FP3A42BFOcyp79b2b3new4endophytesfungi	7.0
FP3A41BFOsoil2soilfungi	14.5
FP3A41BFOWTnew2endophytesfungi	14.0
FP4A44BFO35SBRI3endophytesfungi	10.333333333333334
FP4A44BFOsoil2soilfungi	18.166666666666668
FP4A41initialinitial2initialfungi	17.0
FP4A41initialinitial1initialfungi	20.0
FP4A42initialinitial1initialfungi	18.0
FP4A44BFOapex21endophytesfungi	13.333333333333334
FP4A44BFOapex31endophytesfungi	14.5
FP4A41initialinitial3initialfungi	18.0
FP4A44BFOlyk52endophytesfungi	9.0
FP4A44BFOapex11endophytesfungi	13.0
FP4A44BFObri3014endophytesfungi	14.0
FP4A44BFOlyk51endophytesfungi	13.5
FP4A42initialinitial2initialfungi	19.0
FP4A44BFOwrky331endophytesfungi	13.5
FP4A44BFOsoil1soilfungi	20.0
FP4A44initialinitial3initialfungi	20.0
FP4A44BFObri3012endophytesfungi	15.0
FP4A44BFOcyp79b2b3new2endophytesfungi	12.0
FP4A44BFOapex14endophytesfungi	11.0
FP4A44BFOsoil4soilfungi	18.0
FP4A44BFObak1bkk1cerk13endophytesfungi	11.5
