figure	project	biological	genotype	treatment	technical	plant_no	genotype_treatment	genotype_treatment_biological	FW
R5sup1	D1	bio3	WT	FO	5	3	WT_FO	WT_FO_bio3	
R5sup1	D1	bio3	WT	FO	5	4	WT_FO	WT_FO_bio3	
R5sup1	D1	bio3	WT	FO	6	1	WT_FO	WT_FO_bio3	
R5sup1	D1	bio3	WT	FO	6	2	WT_FO	WT_FO_bio3	
R5sup1	D1	bio3	WT	FO	6	3	WT_FO	WT_FO_bio3	
R5sup1	D1	bio3	WT	FO	6	4	WT_FO	WT_FO_bio3	
R5sup1	D1	bio3	cyp79	BFO	1	1	cyp79_BFO	cyp79_BFO_bio3	0.0148
R5sup1	D1	bio3	cyp79	BFO	1	2	cyp79_BFO	cyp79_BFO_bio3	0.0102
R5sup1	D1	bio3	cyp79	BFO	1	3	cyp79_BFO	cyp79_BFO_bio3	0.0032
R5sup1	D1	bio3	cyp79	BFO	1	4	cyp79_BFO	cyp79_BFO_bio3	
R5sup1	D1	bio3	cyp79	BFO	2	1	cyp79_BFO	cyp79_BFO_bio3	0.0482
R5sup1	D1	bio3	cyp79	BFO	2	2	cyp79_BFO	cyp79_BFO_bio3	0.0129
R5sup1	D1	bio3	cyp79	BFO	2	3	cyp79_BFO	cyp79_BFO_bio3	0.0241
R5sup1	D1	bio3	cyp79	BFO	2	4	cyp79_BFO	cyp79_BFO_bio3	0.0305
R5sup1	D1	bio3	cyp79	BFO	3	1	cyp79_BFO	cyp79_BFO_bio3	0.0206
R5sup1	D1	bio3	cyp79	BFO	3	2	cyp79_BFO	cyp79_BFO_bio3	0.0238
R5sup1	D1	bio3	cyp79	BFO	3	3	cyp79_BFO	cyp79_BFO_bio3	0.0233
R5sup1	D1	bio3	cyp79	BFO	3	4	cyp79_BFO	cyp79_BFO_bio3	0.0305
R5sup1	D1	bio3	cyp79	BFO	4	1	cyp79_BFO	cyp79_BFO_bio3	0.0383
R5sup1	D1	bio3	cyp79	BFO	4	2	cyp79_BFO	cyp79_BFO_bio3	0.0378
R5sup1	D1	bio3	cyp79	BFO	4	3	cyp79_BFO	cyp79_BFO_bio3	0.0445
R5sup1	D1	bio3	cyp79	BFO	4	4	cyp79_BFO	cyp79_BFO_bio3	0.0312
R5sup1	D1	bio3	cyp79	BFO	5	1	cyp79_BFO	cyp79_BFO_bio3	0.0359
R5sup1	D1	bio3	cyp79	BFO	5	2	cyp79_BFO	cyp79_BFO_bio3	0.0094
R5sup1	D1	bio3	cyp79	BFO	5	3	cyp79_BFO	cyp79_BFO_bio3	
R5sup1	D1	bio3	cyp79	BFO	5	4	cyp79_BFO	cyp79_BFO_bio3	
R5sup1	D1	bio3	cyp79	BFO	6	1	cyp79_BFO	cyp79_BFO_bio3	0.0459
R5sup1	D1	bio3	cyp79	BFO	6	2	cyp79_BFO	cyp79_BFO_bio3	0.0072
R5sup1	D1	bio3	cyp79	BFO	6	3	cyp79_BFO	cyp79_BFO_bio3	0.0279
R5sup1	D1	bio3	cyp79	BFO	6	4	cyp79_BFO	cyp79_BFO_bio3	0.0147
R5sup1	D1	bio3	cyp79	B	1	1	cyp79_B	cyp79_B_bio3	0.04
R5sup1	D1	bio3	cyp79	B	1	2	cyp79_B	cyp79_B_bio3	0.0444
R5sup1	D1	bio3	cyp79	B	1	3	cyp79_B	cyp79_B_bio3	
R5sup1	D1	bio3	cyp79	B	1	4	cyp79_B	cyp79_B_bio3	
R5sup1	D1	bio3	cyp79	B	2	1	cyp79_B	cyp79_B_bio3	0.0472
R5sup1	D1	bio3	cyp79	B	2	2	cyp79_B	cyp79_B_bio3	0.039
R5sup1	D1	bio3	cyp79	B	2	3	cyp79_B	cyp79_B_bio3	0.0463
R5sup1	D1	bio3	cyp79	B	2	4	cyp79_B	cyp79_B_bio3	0.0445
R5sup1	D1	bio3	cyp79	B	3	1	cyp79_B	cyp79_B_bio3	0.0426
R5sup1	D1	bio3	cyp79	B	3	2	cyp79_B	cyp79_B_bio3	0.034
R5sup1	D1	bio3	cyp79	B	3	3	cyp79_B	cyp79_B_bio3	0.0405
R5sup1	D1	bio3	cyp79	B	3	4	cyp79_B	cyp79_B_bio3	0.037
R5sup1	D1	bio3	cyp79	B	4	1	cyp79_B	cyp79_B_bio3	0.0375
R5sup1	D1	bio3	cyp79	B	4	2	cyp79_B	cyp79_B_bio3	0.0324
R5sup1	D1	bio3	cyp79	B	4	3	cyp79_B	cyp79_B_bio3	0.0462
R5sup1	D1	bio3	cyp79	B	4	4	cyp79_B	cyp79_B_bio3	0.0177
R5sup1	D1	bio3	cyp79	B	5	1	cyp79_B	cyp79_B_bio3	0.0594
R5sup1	D1	bio3	cyp79	B	5	2	cyp79_B	cyp79_B_bio3	0.0616
R5sup1	D1	bio3	cyp79	B	5	3	cyp79_B	cyp79_B_bio3	0.0469
R5sup1	D1	bio3	cyp79	B	5	4	cyp79_B	cyp79_B_bio3	0.0369
R5sup1	D1	bio3	cyp79	B	6	1	cyp79_B	cyp79_B_bio3	0.1071
R5sup1	D1	bio3	cyp79	B	6	2	cyp79_B	cyp79_B_bio3	0.0262
R5sup1	D1	bio3	cyp79	B	6	3	cyp79_B	cyp79_B_bio3	0.0243
R5sup1	D1	bio3	cyp79	B	6	4	cyp79_B	cyp79_B_bio3	0.0154
R5sup1	D1	bio3	cyp79	F	1	1	cyp79_F	cyp79_F_bio3	
R5sup1	D1	bio3	cyp79	F	1	2	cyp79_F	cyp79_F_bio3	
R5sup1	D1	bio3	cyp79	F	1	3	cyp79_F	cyp79_F_bio3	
R5sup1	D1	bio3	cyp79	F	1	4	cyp79_F	cyp79_F_bio3	
R5sup1	D1	bio3	cyp79	F	2	1	cyp79_F	cyp79_F_bio3	
R5sup1	D1	bio3	cyp79	F	2	2	cyp79_F	cyp79_F_bio3	
R5sup1	D1	bio3	cyp79	F	2	3	cyp79_F	cyp79_F_bio3	
R5sup1	D1	bio3	cyp79	F	2	4	cyp79_F	cyp79_F_bio3	
R5sup1	D1	bio3	cyp79	F	3	1	cyp79_F	cyp79_F_bio3	
R5sup1	D1	bio3	cyp79	F	3	2	cyp79_F	cyp79_F_bio3	
R5sup1	D1	bio3	cyp79	F	3	3	cyp79_F	cyp79_F_bio3	
R5sup1	D1	bio3	cyp79	F	3	4	cyp79_F	cyp79_F_bio3	
R5sup1	D1	bio3	cyp79	F	4	1	cyp79_F	cyp79_F_bio3	
R5sup1	D1	bio3	cyp79	F	4	2	cyp79_F	cyp79_F_bio3	
R5sup1	D1	bio3	cyp79	F	4	3	cyp79_F	cyp79_F_bio3	
R5sup1	D1	bio3	cyp79	F	4	4	cyp79_F	cyp79_F_bio3	
R5sup1	D1	bio3	cyp79	F	5	1	cyp79_F	cyp79_F_bio3	
R5sup1	D1	bio3	cyp79	F	5	2	cyp79_F	cyp79_F_bio3	
R5sup1	D1	bio3	cyp79	F	5	3	cyp79_F	cyp79_F_bio3	
R5sup1	D1	bio3	cyp79	F	5	4	cyp79_F	cyp79_F_bio3	
R5sup1	D1	bio3	cyp79	F	6	1	cyp79_F	cyp79_F_bio3	
R5sup1	D1	bio3	cyp79	F	6	2	cyp79_F	cyp79_F_bio3	
R5sup1	D1	bio3	cyp79	F	6	3	cyp79_F	cyp79_F_bio3	
R5sup1	D1	bio3	cyp79	F	6	4	cyp79_F	cyp79_F_bio3	
R5sup1	D1	bio3	cyp79	O	1	1	cyp79_O	cyp79_O_bio3	
R5sup1	D1	bio3	cyp79	O	1	2	cyp79_O	cyp79_O_bio3	
R5sup1	D1	bio3	cyp79	O	1	3	cyp79_O	cyp79_O_bio3	
R5sup1	D1	bio3	cyp79	O	1	4	cyp79_O	cyp79_O_bio3	
R5sup1	D1	bio3	cyp79	O	2	1	cyp79_O	cyp79_O_bio3	
R5sup1	D1	bio3	cyp79	O	2	2	cyp79_O	cyp79_O_bio3	
R5sup1	D1	bio3	cyp79	O	2	3	cyp79_O	cyp79_O_bio3	
R5sup1	D1	bio3	cyp79	O	2	4	cyp79_O	cyp79_O_bio3	
R5sup1	D1	bio3	cyp79	O	3	1	cyp79_O	cyp79_O_bio3	
R5sup1	D1	bio3	cyp79	O	3	2	cyp79_O	cyp79_O_bio3	
R5sup1	D1	bio3	cyp79	O	3	3	cyp79_O	cyp79_O_bio3	
R5sup1	D1	bio3	cyp79	O	3	4	cyp79_O	cyp79_O_bio3	
R5sup1	D1	bio3	cyp79	O	4	1	cyp79_O	cyp79_O_bio3	
R5sup1	D1	bio3	cyp79	O	4	2	cyp79_O	cyp79_O_bio3	
R5sup1	D1	bio3	cyp79	O	4	3	cyp79_O	cyp79_O_bio3	
R5sup1	D1	bio3	cyp79	O	4	4	cyp79_O	cyp79_O_bio3	
R5sup1	D1	bio3	cyp79	O	5	1	cyp79_O	cyp79_O_bio3	
R5sup1	D1	bio3	cyp79	O	5	2	cyp79_O	cyp79_O_bio3	
R5sup1	D1	bio3	cyp79	O	5	3	cyp79_O	cyp79_O_bio3	
R5sup1	D1	bio3	cyp79	O	5	4	cyp79_O	cyp79_O_bio3	
R5sup1	D1	bio3	cyp79	O	6	1	cyp79_O	cyp79_O_bio3	
R5sup1	D1	bio3	cyp79	O	6	2	cyp79_O	cyp79_O_bio3	
R5sup1	D1	bio3	cyp79	O	6	3	cyp79_O	cyp79_O_bio3	
R5sup1	D1	bio3	cyp79	O	6	4	cyp79_O	cyp79_O_bio3	
R5sup1	D1	bio3	cyp79	BF	1	1	cyp79_BF	cyp79_BF_bio3	
R5sup1	D1	bio3	cyp79	BF	1	2	cyp79_BF	cyp79_BF_bio3	
R5sup1	D1	bio3	cyp79	BF	1	3	cyp79_BF	cyp79_BF_bio3	
R5sup1	D1	bio3	cyp79	BF	1	4	cyp79_BF	cyp79_BF_bio3	
R5sup1	D1	bio3	cyp79	BF	2	1	cyp79_BF	cyp79_BF_bio3	0.0663
R5sup1	D1	bio3	cyp79	BF	2	2	cyp79_BF	cyp79_BF_bio3	0.0336
R5sup1	D1	bio3	cyp79	BF	2	3	cyp79_BF	cyp79_BF_bio3	0.0131
R5sup1	D1	bio3	cyp79	BF	2	4	cyp79_BF	cyp79_BF_bio3	
R5sup1	D1	bio3	cyp79	BF	3	1	cyp79_BF	cyp79_BF_bio3	0.0971
R5sup1	D1	bio3	cyp79	BF	3	2	cyp79_BF	cyp79_BF_bio3	0.0035
R5sup1	D1	bio3	cyp79	BF	3	3	cyp79_BF	cyp79_BF_bio3	
R5sup1	D1	bio3	cyp79	BF	3	4	cyp79_BF	cyp79_BF_bio3	
R5sup1	D1	bio3	cyp79	BF	4	1	cyp79_BF	cyp79_BF_bio3	0.01
R5sup1	D1	bio3	cyp79	BF	4	2	cyp79_BF	cyp79_BF_bio3	0.0118
R5sup1	D1	bio3	cyp79	BF	4	3	cyp79_BF	cyp79_BF_bio3	
R5sup1	D1	bio3	cyp79	BF	4	4	cyp79_BF	cyp79_BF_bio3	
R5sup1	D1	bio3	cyp79	BF	5	1	cyp79_BF	cyp79_BF_bio3	0.0161
R5sup1	D1	bio3	cyp79	BF	5	2	cyp79_BF	cyp79_BF_bio3	0.0471
R5sup1	D1	bio3	cyp79	BF	5	3	cyp79_BF	cyp79_BF_bio3	0.0287
R5sup1	D1	bio3	cyp79	BF	5	4	cyp79_BF	cyp79_BF_bio3	0
R5sup1	D1	bio3	cyp79	BF	6	1	cyp79_BF	cyp79_BF_bio3	0.0203
R5sup1	D1	bio3	cyp79	BF	6	2	cyp79_BF	cyp79_BF_bio3	0.0087
R5sup1	D1	bio3	cyp79	BF	6	3	cyp79_BF	cyp79_BF_bio3	
R5sup1	D1	bio3	cyp79	BF	6	4	cyp79_BF	cyp79_BF_bio3	
R5sup1	D1	bio3	cyp79	BO	1	1	cyp79_BO	cyp79_BO_bio3	0.0204
R5sup1	D1	bio3	cyp79	BO	1	2	cyp79_BO	cyp79_BO_bio3	0.0153
R5sup1	D1	bio3	cyp79	BO	1	3	cyp79_BO	cyp79_BO_bio3	0.0239
R5sup1	D1	bio3	cyp79	BO	1	4	cyp79_BO	cyp79_BO_bio3	0.0465
R5sup1	D1	bio3	cyp79	BO	2	1	cyp79_BO	cyp79_BO_bio3	0.0319
R5sup1	D1	bio3	cyp79	BO	2	2	cyp79_BO	cyp79_BO_bio3	0.0146
R5sup1	D1	bio3	cyp79	BO	2	3	cyp79_BO	cyp79_BO_bio3	0.0238
R5sup1	D1	bio3	cyp79	BO	2	4	cyp79_BO	cyp79_BO_bio3	0.0126
R5sup1	D1	bio3	cyp79	BO	3	1	cyp79_BO	cyp79_BO_bio3	0.0807
R5sup1	D1	bio3	cyp79	BO	3	2	cyp79_BO	cyp79_BO_bio3	0.0421
R5sup1	D1	bio3	cyp79	BO	3	3	cyp79_BO	cyp79_BO_bio3	0.0368
R5sup1	D1	bio3	cyp79	BO	3	4	cyp79_BO	cyp79_BO_bio3	0.0518
R5sup1	D1	bio3	cyp79	BO	4	1	cyp79_BO	cyp79_BO_bio3	0.025
R5sup1	D1	bio3	cyp79	BO	4	2	cyp79_BO	cyp79_BO_bio3	0.0403
R5sup1	D1	bio3	cyp79	BO	4	3	cyp79_BO	cyp79_BO_bio3	0.0262
R5sup1	D1	bio3	cyp79	BO	4	4	cyp79_BO	cyp79_BO_bio3	0.0158
R5sup1	D1	bio3	cyp79	BO	5	1	cyp79_BO	cyp79_BO_bio3	0.129
R5sup1	D1	bio3	cyp79	BO	5	2	cyp79_BO	cyp79_BO_bio3	0.0264
R5sup1	D1	bio3	cyp79	BO	5	3	cyp79_BO	cyp79_BO_bio3	0.0536
R5sup1	D1	bio3	cyp79	BO	5	4	cyp79_BO	cyp79_BO_bio3	0.0439
R5sup1	D1	bio3	cyp79	BO	6	1	cyp79_BO	cyp79_BO_bio3	0.0144
R5sup1	D1	bio3	cyp79	BO	6	2	cyp79_BO	cyp79_BO_bio3	0.0669
R5sup1	D1	bio3	cyp79	BO	6	3	cyp79_BO	cyp79_BO_bio3	0.032
R5sup1	D1	bio3	cyp79	BO	6	4	cyp79_BO	cyp79_BO_bio3	0.0147
R5sup1	D1	bio3	cyp79	FO	1	1	cyp79_FO	cyp79_FO_bio3	
R5sup1	D1	bio3	cyp79	FO	1	2	cyp79_FO	cyp79_FO_bio3	
R5sup1	D1	bio3	cyp79	FO	1	3	cyp79_FO	cyp79_FO_bio3	
R5sup1	D1	bio3	cyp79	FO	1	4	cyp79_FO	cyp79_FO_bio3	
R5sup1	D1	bio3	cyp79	FO	2	1	cyp79_FO	cyp79_FO_bio3	
R5sup1	D1	bio3	cyp79	FO	2	2	cyp79_FO	cyp79_FO_bio3	
R5sup1	D1	bio3	cyp79	FO	2	3	cyp79_FO	cyp79_FO_bio3	
R5sup1	D1	bio3	cyp79	FO	2	4	cyp79_FO	cyp79_FO_bio3	
R5sup1	D1	bio3	cyp79	FO	3	1	cyp79_FO	cyp79_FO_bio3	
R5sup1	D1	bio3	cyp79	FO	3	2	cyp79_FO	cyp79_FO_bio3	
R5sup1	D1	bio3	cyp79	FO	3	3	cyp79_FO	cyp79_FO_bio3	
R5sup1	D1	bio3	cyp79	FO	3	4	cyp79_FO	cyp79_FO_bio3	
R5sup1	D1	bio3	cyp79	FO	4	1	cyp79_FO	cyp79_FO_bio3	
R5sup1	D1	bio3	cyp79	FO	4	2	cyp79_FO	cyp79_FO_bio3	
R5sup1	D1	bio3	cyp79	FO	4	3	cyp79_FO	cyp79_FO_bio3	
R5sup1	D1	bio3	cyp79	FO	4	4	cyp79_FO	cyp79_FO_bio3	
R5sup1	D1	bio3	cyp79	FO	5	1	cyp79_FO	cyp79_FO_bio3	
R5sup1	D1	bio3	cyp79	FO	5	2	cyp79_FO	cyp79_FO_bio3	
R5sup1	D1	bio3	cyp79	FO	5	3	cyp79_FO	cyp79_FO_bio3	
R5sup1	D1	bio3	cyp79	FO	5	4	cyp79_FO	cyp79_FO_bio3	
R5sup1	D1	bio3	cyp79	FO	6	1	cyp79_FO	cyp79_FO_bio3	
R5sup1	D1	bio3	cyp79	FO	6	2	cyp79_FO	cyp79_FO_bio3	
R5sup1	D1	bio3	cyp79	FO	6	3	cyp79_FO	cyp79_FO_bio3	
R5sup1	D1	bio3	cyp79	FO	6	4	cyp79_FO	cyp79_FO_bio3	
R5sup1	A6	bio1	WT	B	1	1	WT_B	WT_bio1	0.0179
R5sup1	A6	bio1	WT	B	1	2	WT_B	WT_bio1	0.0382
R5sup1	A6	bio1	WT	B	1	3	WT_B	WT_bio1	0.0112
R5sup1	A6	bio1	WT	B	1	4	WT_B	WT_bio1	
R5sup1	A6	bio1	WT	B	2	1	WT_B	WT_bio1	0.0138
R5sup1	A6	bio1	WT	B	2	2	WT_B	WT_bio1	0.0086
R5sup1	A6	bio1	WT	B	2	3	WT_B	WT_bio1	0.0164
R5sup1	A6	bio1	WT	B	2	4	WT_B	WT_bio1	0.0283
R5sup1	A6	bio1	WT	B	3	1	WT_B	WT_bio1	0.0294
R5sup1	A6	bio1	WT	B	3	2	WT_B	WT_bio1	0.0816
R5sup1	A6	bio1	WT	B	3	3	WT_B	WT_bio1	0.0242
R5sup1	A6	bio1	WT	B	3	4	WT_B	WT_bio1	0.0439
R5sup1	A6	bio1	WT	B	4	1	WT_B	WT_bio1	0.065
R5sup1	A6	bio1	WT	B	4	2	WT_B	WT_bio1	0.0183
R5sup1	A6	bio1	WT	B	4	3	WT_B	WT_bio1	0.0239
R5sup1	A6	bio1	WT	B	4	4	WT_B	WT_bio1	0.0091
R5sup1	A6	bio1	WT	B	5	1	WT_B	WT_bio1	0.0065
R5sup1	A6	bio1	WT	B	5	2	WT_B	WT_bio1	
R5sup1	A6	bio1	WT	B	5	3	WT_B	WT_bio1	
R5sup1	A6	bio1	WT	B	5	4	WT_B	WT_bio1	
R5sup1	A6	bio1	WT	B	6	1	WT_B	WT_bio1	0.017
R5sup1	A6	bio1	WT	B	6	2	WT_B	WT_bio1	0.0609
R5sup1	A6	bio1	WT	B	6	3	WT_B	WT_bio1	0.0384
R5sup1	A6	bio1	WT	B	6	4	WT_B	WT_bio1	
R5sup1	A6	bio1	WT	BF	1	1	WT_BF	WT_bio1	0.0016
R5sup1	A6	bio1	WT	BF	1	2	WT_BF	WT_bio1	0.04
R5sup1	A6	bio1	WT	BF	1	3	WT_BF	WT_bio1	0.0078
R5sup1	A6	bio1	WT	BF	1	4	WT_BF	WT_bio1	
R5sup1	A6	bio1	WT	BF	2	1	WT_BF	WT_bio1	0.0275
R5sup1	A6	bio1	WT	BF	2	2	WT_BF	WT_bio1	0.0769
R5sup1	A6	bio1	WT	BF	2	3	WT_BF	WT_bio1	0.012
R5sup1	A6	bio1	WT	BF	2	4	WT_BF	WT_bio1	0.0053
R5sup1	A6	bio1	WT	BF	3	1	WT_BF	WT_bio1	0.0171
R5sup1	A6	bio1	WT	BF	3	2	WT_BF	WT_bio1	0.0225
R5sup1	A6	bio1	WT	BF	3	3	WT_BF	WT_bio1	0.0038
R5sup1	A6	bio1	WT	BF	3	4	WT_BF	WT_bio1	0.0095
R5sup1	A6	bio1	WT	BF	4	1	WT_BF	WT_bio1	0.0075
R5sup1	A6	bio1	WT	BF	4	2	WT_BF	WT_bio1	0.0613
R5sup1	A6	bio1	WT	BF	4	3	WT_BF	WT_bio1	0.0113
R5sup1	A6	bio1	WT	BF	4	4	WT_BF	WT_bio1	0.0343
R5sup1	A6	bio1	WT	BF	5	1	WT_BF	WT_bio1	0.0184
R5sup1	A6	bio1	WT	BF	5	2	WT_BF	WT_bio1	0.0437
R5sup1	A6	bio1	WT	BF	5	3	WT_BF	WT_bio1	0.0173
R5sup1	A6	bio1	WT	BF	5	4	WT_BF	WT_bio1	0.0151
R5sup1	A6	bio1	WT	BF	6	1	WT_BF	WT_bio1	0.0621
R5sup1	A6	bio1	WT	BF	6	2	WT_BF	WT_bio1	
R5sup1	A6	bio1	WT	BF	6	3	WT_BF	WT_bio1	
R5sup1	A6	bio1	WT	BF	6	4	WT_BF	WT_bio1	
R5sup1	A6	bio1	WT	BFO	1	1	WT_BFO	WT_bio1	0.0157
R5sup1	A6	bio1	WT	BFO	1	2	WT_BFO	WT_bio1	0.0454
R5sup1	A6	bio1	WT	BFO	1	3	WT_BFO	WT_bio1	0.0184
R5sup1	A6	bio1	WT	BFO	1	4	WT_BFO	WT_bio1	0.0248
R5sup1	A6	bio1	WT	BFO	2	1	WT_BFO	WT_bio1	0.0063
R5sup1	A6	bio1	WT	BFO	2	2	WT_BFO	WT_bio1	0.0309
R5sup1	A6	bio1	WT	BFO	2	3	WT_BFO	WT_bio1	0.0067
R5sup1	A6	bio1	WT	BFO	2	4	WT_BFO	WT_bio1	0.0042
R5sup1	A6	bio1	WT	BFO	3	1	WT_BFO	WT_bio1	0.0047
R5sup1	A6	bio1	WT	BFO	3	2	WT_BFO	WT_bio1	
R5sup1	A6	bio1	WT	BFO	3	3	WT_BFO	WT_bio1	
R5sup1	A6	bio1	WT	BFO	3	4	WT_BFO	WT_bio1	
R5sup1	A6	bio1	WT	BFO	4	1	WT_BFO	WT_bio1	0.006
R5sup1	A6	bio1	WT	BFO	4	2	WT_BFO	WT_bio1	0.0158
R5sup1	A6	bio1	WT	BFO	4	3	WT_BFO	WT_bio1	0.0585
R5sup1	A6	bio1	WT	BFO	4	4	WT_BFO	WT_bio1	0.0086
R5sup1	A6	bio1	WT	BFO	5	1	WT_BFO	WT_bio1	0.0066
R5sup1	A6	bio1	WT	BFO	5	2	WT_BFO	WT_bio1	0.0755
R5sup1	A6	bio1	WT	BFO	5	3	WT_BFO	WT_bio1	0.0259
R5sup1	A6	bio1	WT	BFO	5	4	WT_BFO	WT_bio1	0.0367
R5sup1	A6	bio1	WT	BFO	6	1	WT_BFO	WT_bio1	0.0285
R5sup1	A6	bio1	WT	BFO	6	2	WT_BFO	WT_bio1	0.0222
R5sup1	A6	bio1	WT	BFO	6	3	WT_BFO	WT_bio1	0.0236
R5sup1	A6	bio1	WT	BFO	6	4	WT_BFO	WT_bio1	0.0316
R5sup1	A6	bio1	WT	BO	1	1	WT_BO	WT_bio1	0.0038
R5sup1	A6	bio1	WT	BO	1	2	WT_BO	WT_bio1	
R5sup1	A6	bio1	WT	BO	1	3	WT_BO	WT_bio1	
R5sup1	A6	bio1	WT	BO	1	4	WT_BO	WT_bio1	
R5sup1	A6	bio1	WT	BO	2	1	WT_BO	WT_bio1	0.0052
R5sup1	A6	bio1	WT	BO	2	2	WT_BO	WT_bio1	0.0414
R5sup1	A6	bio1	WT	BO	2	3	WT_BO	WT_bio1	0.0211
R5sup1	A6	bio1	WT	BO	2	4	WT_BO	WT_bio1	
R5sup1	A6	bio1	WT	BO	3	1	WT_BO	WT_bio1	0.0326
R5sup1	A6	bio1	WT	BO	3	2	WT_BO	WT_bio1	0.0566
R5sup1	A6	bio1	WT	BO	3	3	WT_BO	WT_bio1	0.0555
R5sup1	A6	bio1	WT	BO	3	4	WT_BO	WT_bio1	0.031
R5sup1	A6	bio1	WT	BO	4	1	WT_BO	WT_bio1	0.0565
R5sup1	A6	bio1	WT	BO	4	2	WT_BO	WT_bio1	0.0093
R5sup1	A6	bio1	WT	BO	4	3	WT_BO	WT_bio1	
R5sup1	A6	bio1	WT	BO	4	4	WT_BO	WT_bio1	
R5sup1	A6	bio1	WT	BO	5	1	WT_BO	WT_bio1	0.0011
R5sup1	A6	bio1	WT	BO	5	2	WT_BO	WT_bio1	
R5sup1	A6	bio1	WT	BO	5	3	WT_BO	WT_bio1	
R5sup1	A6	bio1	WT	BO	5	4	WT_BO	WT_bio1	
R5sup1	A6	bio1	WT	BO	6	1	WT_BO	WT_bio1	0.0034
R5sup1	A6	bio1	WT	BO	6	2	WT_BO	WT_bio1	0.0961
R5sup1	A6	bio1	WT	BO	6	3	WT_BO	WT_bio1	0.0296
R5sup1	A6	bio1	WT	BO	6	4	WT_BO	WT_bio1	0.0319
R5sup1	A6	bio2	WT	B	1	1	WT_B	WT_bio2	0.0494
R5sup1	A6	bio2	WT	B	1	2	WT_B	WT_bio2	0.0263
R5sup1	A6	bio2	WT	B	1	3	WT_B	WT_bio2	0.0426
R5sup1	A6	bio2	WT	B	1	4	WT_B	WT_bio2	0.0383
R5sup1	A6	bio2	WT	B	2	1	WT_B	WT_bio2	0.0343
R5sup1	A6	bio2	WT	B	2	2	WT_B	WT_bio2	0.0258
R5sup1	A6	bio2	WT	B	2	3	WT_B	WT_bio2	0.0105
R5sup1	A6	bio2	WT	B	2	4	WT_B	WT_bio2	
R5sup1	A6	bio2	WT	B	3	1	WT_B	WT_bio2	0.0269
R5sup1	A6	bio2	WT	B	3	2	WT_B	WT_bio2	0.0268
R5sup1	A6	bio2	WT	B	3	3	WT_B	WT_bio2	0.0105
R5sup1	A6	bio2	WT	B	3	4	WT_B	WT_bio2	
R5sup1	A6	bio2	WT	B	4	1	WT_B	WT_bio2	0.0066
R5sup1	A6	bio2	WT	B	4	2	WT_B	WT_bio2	0.0252
R5sup1	A6	bio2	WT	B	4	3	WT_B	WT_bio2	0.0047
R5sup1	A6	bio2	WT	B	4	4	WT_B	WT_bio2	0.0155
R5sup1	A6	bio2	WT	B	5	1	WT_B	WT_bio2	0.0125
R5sup1	A6	bio2	WT	B	5	2	WT_B	WT_bio2	0.0048
R5sup1	A6	bio2	WT	B	5	3	WT_B	WT_bio2	0.1374
R5sup1	A6	bio2	WT	B	5	4	WT_B	WT_bio2	0.0382
R5sup1	A6	bio2	WT	B	6	1	WT_B	WT_bio2	0.0028
R5sup1	A6	bio2	WT	B	6	2	WT_B	WT_bio2	0.0117
R5sup1	A6	bio2	WT	B	6	3	WT_B	WT_bio2	0.0854
R5sup1	A6	bio2	WT	B	6	4	WT_B	WT_bio2	0.0128
R5sup1	A6	bio2	WT	BF	1	1	WT_BF	WT_bio2	0.0231
R5sup1	A6	bio2	WT	BF	1	2	WT_BF	WT_bio2	0.108
R5sup1	A6	bio2	WT	BF	1	3	WT_BF	WT_bio2	0.0366
R5sup1	A6	bio2	WT	BF	1	4	WT_BF	WT_bio2	
R5sup1	A6	bio2	WT	BF	2	1	WT_BF	WT_bio2	0.0098
R5sup1	A6	bio2	WT	BF	2	2	WT_BF	WT_bio2	0.0103
R5sup1	A6	bio2	WT	BF	2	3	WT_BF	WT_bio2	0.0097
R5sup1	A6	bio2	WT	BF	2	4	WT_BF	WT_bio2	0.0262
R5sup1	A6	bio2	WT	BF	3	1	WT_BF	WT_bio2	0.0395
R5sup1	A6	bio2	WT	BF	3	2	WT_BF	WT_bio2	0.0103
R5sup1	A6	bio2	WT	BF	3	3	WT_BF	WT_bio2	0.0218
R5sup1	A6	bio2	WT	BF	3	4	WT_BF	WT_bio2	0.0062
R5sup1	A6	bio2	WT	BF	4	1	WT_BF	WT_bio2	0.0138
R5sup1	A6	bio2	WT	BF	4	2	WT_BF	WT_bio2	0.0212
R5sup1	A6	bio2	WT	BF	4	3	WT_BF	WT_bio2	0.0458
R5sup1	A6	bio2	WT	BF	4	4	WT_BF	WT_bio2	0.0221
R5sup1	A6	bio2	WT	BF	5	1	WT_BF	WT_bio2	0.1035
R5sup1	A6	bio2	WT	BF	5	2	WT_BF	WT_bio2	0.0653
R5sup1	A6	bio2	WT	BF	5	3	WT_BF	WT_bio2	0.0054
R5sup1	A6	bio2	WT	BF	5	4	WT_BF	WT_bio2	0.0223
R5sup1	A6	bio2	WT	BF	6	1	WT_BF	WT_bio2	0.0226
R5sup1	A6	bio2	WT	BF	6	2	WT_BF	WT_bio2	0.0181
R5sup1	A6	bio2	WT	BF	6	3	WT_BF	WT_bio2	0.0366
R5sup1	A6	bio2	WT	BF	6	4	WT_BF	WT_bio2	0.01
R5sup1	A6	bio2	WT	BFO	1	1	WT_BFO	WT_bio2	0.0061
