	shannon
FIT1_fungi_bio1_cyp79b2b3_F_tech4	1.0326575522297632
FIT1_fungi_bio3_cyp79b2b3_BF_tech4	1.178442904597363
FIT1_fungi_bio3_WT_BFO_tech5	1.3523319683629875
FIT1_fungi_bio2_WT_BFO_tech1	0.9231649346709181
FIT1_fungi_bio1_WT_BFO_tech2	1.0640213151612645
FIT1_fungi_bio2_WT_F_tech4	1.09528004905663
FIT1_fungi_bio1_WT_BF_tech5	1.4116930479554037
FIT1_fungi_bio3_WT_FO_tech2	1.0200668162018303
FIT1_fungi_bio1_WT_FO_tech4	1.1393344698191838
FIT1_fungi_bio3_cyp79b2b3_BF_tech1	0.6074106048269138
FIT1_fungi_bio2_WT_BF_tech3	0.9301064241408853
FIT1_fungi_bio1_cyp79b2b3_BFO_tech2	0.37698756086576624
FIT1_fungi_bio2_WT_FO_tech1	1.3657959006178881
FIT1_fungi_bio2_WT_BF_tech5	1.3780941571667125
FIT1_fungi_bio2_cyp79b2b3_BF_tech5	1.139767688792128
FIT1_fungi_bio2_soil_FO_tech2	1.591653562033479
FIT1_fungi_bio1_WT_FO_tech3	0.9027291523432612
FIT1_fungi_bio3_cyp79b2b3_BF_tech5	1.5073917976161566
FIT1_fungi_bio1_WT_BF_tech1	1.4261362468065755
FIT1_fungi_bio1_soil_F_tech1	1.232361509062085
FIT1_fungi_bio3_soil_FO_tech2	1.1199012153634533
FIT1_fungi_bio1_cyp79b2b3_FO_tech5	0.9718267747034199
FIT1_fungi_bio2_WT_BFO_tech5	1.5210300274611652
FIT1_fungi_bio3_cyp79b2b3_F_tech4	1.2478443046030168
FIT1_fungi_bio3_soil_BF_tech1	1.3778468355707514
FIT1_fungi_bio3_soil_BFO_tech2	1.4349300717936022
FIT1_fungi_bio3_WT_FO_tech3	1.0112934218767642
FIT1_fungi_bio3_WT_F_tech5	1.0916799050307602
FIT1_fungi_bio1_WT_BF_tech2	1.1644620279885491
FIT1_fungi_bio1_WT_BF_tech3	1.0950305912994114
FIT1_fungi_bio2_WT_BFO_tech2	1.4749919981365087
FIT1_fungi_bio3_cyp79b2b3_F_tech3	1.0928957355569981
FIT1_fungi_bio2_initial_initial_tech3	2.4101200062205885
FIT1_fungi_bio3_initial_initial_tech1	2.377664377982365
FIT1_fungi_bio1_initial_initial_tech3	2.105992459356096
FIT1_fungi_bio2_WT_F_tech3	0.7711898713702378
FIT1_fungi_bio3_soil_FO_tech1	1.13455095604745
FIT1_fungi_bio2_WT_BF_tech2	1.3962560393775478
FIT1_fungi_bio1_WT_F_tech2	1.2349681140826174
FIT1_fungi_bio3_cyp79b2b3_F_tech1	1.2574970708224447
FIT1_fungi_bio3_WT_BF_tech3	0.9096783891720169
FIT1_fungi_bio3_initial_initial_tech2	2.3241685059530433
FIT1_fungi_bio1_cyp79b2b3_F_tech2	1.1491643284071384
FIT1_fungi_bio2_WT_F_tech1	1.1819409449629983
FIT1_fungi_bio2_WT_F_tech5	1.306255868973322
FIT1_fungi_bio1_soil_BF_tech2	1.3590433111613422
FIT1_fungi_bio2_initial_initial_tech2	2.3912132848686016
FIT1_fungi_bio1_WT_BFO_tech4	1.2556744680697374
FIT1_fungi_bio2_initial_initial_tech1	2.398049491697855
FIT1_fungi_bio2_cyp79b2b3_BF_tech1	1.4763176988274231
FIT1_fungi_bio3_cyp79b2b3_FO_tech4	1.0792856978024474
FIT1_fungi_bio1_cyp79b2b3_FO_tech4	1.0459660885145505
FIT1_fungi_bio1_soil_BF_tech1	1.355191209653738
FIT1_fungi_bio3_cyp79b2b3_F_tech2	1.1055376882058843
FIT1_fungi_bio3_WT_F_tech2	1.120124612602285
FIT1_fungi_bio1_cyp79b2b3_BF_tech3	1.5769523363982267
FIT1_fungi_bio1_WT_F_tech5	0.9689875531544175
FIT1_fungi_bio3_cyp79b2b3_FO_tech2	1.059713325064869
FIT1_fungi_bio1_cyp79b2b3_BFO_tech1	1.305731675995094
FIT1_fungi_bio1_WT_BFO_tech1	1.280721879807057
FIT1_fungi_bio1_initial_initial_tech2	2.0508557792659174
