SampleID	barcode_name	library	qPCR_name	experiment	biological	microbes	genotype	genotype2	technical	compartment	qPCR_plate	genotype_combined	genotype_combined2	ITS_UBQ	X16S_UBQ_ref
FP3A42BFOWTnew1endophytesbacteria	ITS_47	FP3	FP3_ITS_47	A4	bio2	BFO	2aWT_new	2aWT_new	tech1	endophytes	plate5	2aWT	2aWT	4.59549318	1.065006034
FP3A42BFOWTnew2endophytesbacteria	ITS_48	FP3	FP3_ITS_48	A4	bio2	BFO	2aWT_new	2aWT_new	tech2	endophytes	plate5	2aWT	2aWT	10.54501815	2.443809079
FP3A42BFOWTnew3endophytesbacteria	ITS_49	FP3	FP3_ITS_49	A4	bio2	BFO	2aWT_new	2aWT_new	tech3	endophytes	plate5	2aWT	2aWT	10.22708834	2.370128812
FP3A42BFOWTnew4endophytesbacteria	ITS_50	FP3	FP3_ITS_50	A4	bio2	BFO	2aWT_new	2aWT_new	tech4	endophytes	plate5	2aWT	2aWT	4.837527205	1.121097445
FP3A42BFObri3011endophytesbacteria	ITS_51	FP3	FP3_ITS_51	A4	bio2	BFO	bri301	bri301	tech1	endophytes	plate5	bri301	bri301	10.73003691	2.486687197
FP3A42BFObri3012endophytesbacteria	ITS_52	FP3	FP3_ITS_52	A4	bio2	BFO	bri301	bri301	tech2	endophytes	plate5	bri301	bri301	4.767202119	1.104799599
FP3A42BFObri3013endophytesbacteria	ITS_53	FP3	FP3_ITS_53	A4	bio2	BFO	bri301	bri301	tech3	endophytes	plate5	bri301	bri301	4.473798328	1.036803239
FP3A42BFObri3014endophytesbacteria	ITS_54	FP3	FP3_ITS_54	A4	bio2	BFO	bri301	bri301	tech4	endophytes	plate5	bri301	bri301	5.116597488	1.185772013
FP3A42BFOlyk51endophytesbacteria	ITS_55	FP3	FP3_ITS_55	A4	bio2	BFO	lyk5	lyk5	tech1	endophytes	plate5	lyk5	lyk5	2.485307113	0.575970188
FP3A42BFOlyk52endophytesbacteria	ITS_56	FP3	FP3_ITS_56	A4	bio2	BFO	lyk5	lyk5	tech2	endophytes	plate5	lyk5	lyk5	3.288930103	0.762209902
FP3A42BFOlyk53endophytesbacteria	ITS_57	FP3	FP3_ITS_57	A4	bio2	BFO	lyk5	lyk5	tech3	endophytes	plate5	lyk5	lyk5	3.435472268	0.796171064
FP3A42BFOlyk54endophytesbacteria	ITS_58	FP3	FP3_ITS_58	A4	bio2	BFO	lyk5	lyk5	tech4	endophytes	plate5	lyk5	lyk5	3.177851679	0.736467465
FP3A42BFOcyp79b2b3new1endophytesbacteria	ITS_59	FP3	FP3_ITS_59	A4	bio2	BFO	cyp79b2b3_new	cyp79b2b3_new	tech1	endophytes	plate5	cyp79b2b3	cyp79b2b3	7.851001773	1.819470497
FP3A42BFOcyp79b2b3new2endophytesbacteria	ITS_60	FP3	FP3_ITS_60	A4	bio2	BFO	cyp79b2b3_new	cyp79b2b3_new	tech2	endophytes	plate5	cyp79b2b3	cyp79b2b3	15.11848741	3.503711069
FP3A42BFOcyp79b2b3new3endophytesbacteria	ITS_61	FP3	FP3_ITS_61	A4	bio2	BFO	cyp79b2b3_new	cyp79b2b3_new	tech3	endophytes	plate5	cyp79b2b3	cyp79b2b3	5.903943328	1.368239495
FP3A42BFOcyp79b2b3new4endophytesbacteria	ITS_62	FP3	FP3_ITS_62	A4	bio2	BFO	cyp79b2b3_new	cyp79b2b3_new	tech4	endophytes	plate5	cyp79b2b3	cyp79b2b3	11.80677646	2.736221702
FP3A42BFOwrky331endophytesbacteria	ITS_63	FP3	FP3_ITS_63	A4	bio2	BFO	wrky33	wrky33	tech1	endophytes	plate5	wrky33	wrky33	9.660251964	2.238764422
FP3A42BFOwrky332endophytesbacteria	ITS_64	FP3	FP3_ITS_64	A4	bio2	BFO	wrky33	wrky33	tech2	endophytes	plate5	wrky33	wrky33	8.482565501	1.965835458
FP3A42BFOwrky333endophytesbacteria	ITS_65	FP3	FP3_ITS_65	A4	bio2	BFO	wrky33	wrky33	tech3	endophytes	plate5	wrky33	wrky33	9.672552428	2.241615056
FP3A42BFOwrky334endophytesbacteria	ITS_66	FP3	FP3_ITS_66	A4	bio2	BFO	wrky33	wrky33	tech4	endophytes	plate5	wrky33	wrky33	4.476452345	1.037418308
FP3A42BFOapex11endophytesbacteria	ITS_67	FP3	FP3_ITS_67	A4	bio2	BFO	apex1	apex1	tech1	endophytes	plate5	apex1	apex1	4.612689026	1.068991173
FP3A42BFOapex12endophytesbacteria	ITS_68	FP3	FP3_ITS_68	A4	bio2	BFO	apex1	apex1	tech2	endophytes	plate5	apex1	apex1	7.327210931	1.698081914
FP3A42BFOapex13endophytesbacteria	ITS_69	FP3	FP3_ITS_69	A4	bio2	BFO	apex1	apex1	tech3	endophytes	plate5	apex1	apex1	5.132136367	1.18937315
FP3A42BFOapex14endophytesbacteria	ITS_70	FP3	FP3_ITS_70	A4	bio2	BFO	apex1	apex1	tech4	endophytes	plate5	apex1	apex1	4.081342786	0.945851625
FP3A42BFOapex21endophytesbacteria	ITS_71	FP3	FP3_ITS_71	A4	bio2	BFO	apex2	apex2	tech1	endophytes	plate5	apex2	apex2	5.09508691	1.180786934
FP3A42BFOapex22endophytesbacteria	ITS_72	FP3	FP3_ITS_72	A4	bio2	BFO	apex2	apex2	tech2	endophytes	plate5	apex2	apex2	1.596837761	0.370067321
FP3A42BFOapex23endophytesbacteria	ITS_73	FP3	FP3_ITS_73	A4	bio2	BFO	apex2	apex2	tech3	endophytes	plate5	apex2	apex2	4.355956848	1.009493464
FP3A42BFOapex24endophytesbacteria	ITS_74	FP3	FP3_ITS_74	A4	bio2	BFO	apex2	apex2	tech4	endophytes	plate5	apex2	apex2	5.280986422	1.223869166
FP3A42BFOapex31endophytesbacteria	ITS_75	FP3	FP3_ITS_75	A4	bio2	BFO	apex3	apex3	tech1	endophytes	plate5	apex3	apex3	3.316062982	0.768497949
FP3A42BFOapex32endophytesbacteria	ITS_76	FP3	FP3_ITS_76	A4	bio2	BFO	apex3	apex3	tech2	endophytes	plate5	apex3	apex3	4.798790198	1.11212014
FP3A42BFOapex33endophytesbacteria	ITS_77	FP3	FP3_ITS_77	A4	bio2	BFO	apex3	apex3	tech3	endophytes	plate5	apex3	apex3	4.849469485	1.12386507
FP3A42BFOapex34endophytesbacteria	ITS_78	FP3	FP3_ITS_78	A4	bio2	BFO	apex3	apex3	tech4	endophytes	plate5	apex3	apex3	6.835872669	1.584214219
FP3A42BFObak1bkk1cerk11endophytesbacteria	ITS_79	FP3	FP3_ITS_79	A4	bio2	BFO	bak1bkk1cerk1	bak1bkk1cerk1	tech1	endophytes	plate6	bak1bkk1cerk1	bak1bkk1cerk1	9.82124702	2.369198274
FP3A42BFObak1bkk1cerk12endophytesbacteria	ITS_80	FP3	FP3_ITS_80	A4	bio2	BFO	bak1bkk1cerk1	bak1bkk1cerk1	tech2	endophytes	plate6	bak1bkk1cerk1	bak1bkk1cerk1	8.629870301	2.081800181
FP3A42BFObak1bkk1cerk13endophytesbacteria	ITS_81	FP3	FP3_ITS_81	A4	bio2	BFO	bak1bkk1cerk1	bak1bkk1cerk1	tech3	endophytes	plate6	bak1bkk1cerk1	bak1bkk1cerk1	7.463387644	1.80040733
FP3A42BFObak1bkk1cerk14endophytesbacteria	ITS_82	FP3	FP3_ITS_82	A4	bio2	BFO	bak1bkk1cerk1	bak1bkk1cerk1	tech4	endophytes	plate6	bak1bkk1cerk1	bak1bkk1cerk1	9.102263291	2.195756449
FP3A42BFO35SBRI1endophytesbacteria	ITS_83	FP3	FP3_ITS_83	A4	bio2	BFO	35SBRI	35SBRI	tech1	endophytes	plate6	35SBRI	35SBRI	4.380490362	1.0567141
FP3A42BFO35SBRI2endophytesbacteria	ITS_84	FP3	FP3_ITS_84	A4	bio2	BFO	35SBRI	35SBRI	tech2	endophytes	plate6	35SBRI	35SBRI	4.676314747	1.128076384
FP3A42BFO35SBRI3endophytesbacteria	ITS_85	FP3	FP3_ITS_85	A4	bio2	BFO	35SBRI	35SBRI	tech3	endophytes	plate6	35SBRI	35SBRI	6.724365987	1.622131717
FP3A42BFO35SBRI4endophytesbacteria	ITS_86	FP3	FP3_ITS_86	A4	bio2	BFO	35SBRI	35SBRI	tech4	endophytes	plate6	35SBRI	35SBRI	6.809300585	1.642620653
FP3A43BFOWTnew1endophytesbacteria	ITS_93	FP3	FP3_ITS_93	A4	bio4	BFO	2aWT_new	2aWT_new	tech1	endophytes	plate6	2aWT	2aWT	4.566408128	1.101563399
FP3A43BFOWTnew2endophytesbacteria	ITS_94	FP3	FP3_ITS_94	A4	bio4	BFO	2aWT_new	2aWT_new	tech2	endophytes	plate6	2aWT	2aWT	2.688034414	0.648439702
FP3A43BFOWTnew3endophytesbacteria	ITS_95	FP3	FP3_ITS_95	A4	bio4	BFO	2aWT_new	2aWT_new	tech3	endophytes	plate6	2aWT	2aWT	1.200337893	0.289559814
FP3A43BFOWTnew4endophytesbacteria	ITS_96	FP3	FP3_ITS_96	A4	bio4	BFO	2aWT_new	2aWT_new	tech4	endophytes	plate6	2aWT	2aWT	1.843804944	0.444784606
FP4A44BFObri3011endophytesbacteria	ITS_01	FP4	FP4_ITS_01	A4	bio4	BFO	bri301	bri301	tech1	endophytes	plate6	bri301	bri301	1.585913387	0.382572931
FP4A44BFObri3012endophytesbacteria	ITS_02	FP4	FP4_ITS_02	A4	bio4	BFO	bri301	bri301	tech2	endophytes	plate6	bri301	bri301	2.581437923	0.622725226
FP4A44BFObri3013endophytesbacteria	ITS_03	FP4	FP4_ITS_03	A4	bio4	BFO	bri301	bri301	tech3	endophytes	plate6	bri301	bri301	1.978588588	0.477298724
FP4A44BFObri3014endophytesbacteria	ITS_04	FP4	FP4_ITS_04	A4	bio4	BFO	bri301	bri301	tech4	endophytes	plate6	bri301	bri301	2.141047236	0.516488935
FP4A44BFOlyk51endophytesbacteria	ITS_05	FP4	FP4_ITS_05	A4	bio4	BFO	lyk5	lyk5	tech1	endophytes	plate6	lyk5	lyk5	4.327617926	1.043959581
FP4A44BFOlyk52endophytesbacteria	ITS_06	FP4	FP4_ITS_06	A4	bio4	BFO	lyk5	lyk5	tech2	endophytes	plate6	lyk5	lyk5	0.724387172	0.174745308
FP4A44BFOlyk53endophytesbacteria	ITS_07	FP4	FP4_ITS_07	A4	bio4	BFO	lyk5	lyk5	tech3	endophytes	plate6	lyk5	lyk5	1.453103303	0.3505349
FP4A44BFOlyk54endophytesbacteria	ITS_08	FP4	FP4_ITS_08	A4	bio4	BFO	lyk5	lyk5	tech4	endophytes	plate6	lyk5	lyk5	2.716212238	0.655237093
FP4A44BFOcyp79b2b3new1endophytesbacteria	ITS_09	FP4	FP4_ITS_09	A4	bio4	BFO	cyp79b2b3_new	cyp79b2b3_new	tech1	endophytes	plate6	cyp79b2b3	cyp79b2b3	8.455357197	2.039702049
FP4A44BFOcyp79b2b3new2endophytesbacteria	ITS_10	FP4	FP4_ITS_10	A4	bio4	BFO	cyp79b2b3_new	cyp79b2b3_new	tech2	endophytes	plate6	cyp79b2b3	cyp79b2b3	6.603237087	1.59291156
FP4A44BFOcyp79b2b3new3endophytesbacteria	ITS_11	FP4	FP4_ITS_11	A4	bio4	BFO	cyp79b2b3_new	cyp79b2b3_new	tech3	endophytes	plate6	cyp79b2b3	cyp79b2b3	4.348499028	1.048996769
FP4A44BFOcyp79b2b3new4endophytesbacteria	ITS_12	FP4	FP4_ITS_12	A4	bio4	BFO	cyp79b2b3_new	cyp79b2b3_new	tech4	endophytes	plate6	cyp79b2b3	cyp79b2b3	9.921969665	2.393495791
FP4A44BFOwrky331endophytesbacteria	ITS_13	FP4	FP4_ITS_13	A4	bio4	BFO	wrky33	wrky33	tech1	endophytes	plate6	wrky33	wrky33	5.069842627	1.22300787
FP4A44BFOwrky332endophytesbacteria	ITS_14	FP4	FP4_ITS_14	A4	bio4	BFO	wrky33	wrky33	tech2	endophytes	plate6	wrky33	wrky33	2.654587279	0.640371186
FP4A44BFOwrky333endophytesbacteria	ITS_15	FP4	FP4_ITS_15	A4	bio4	BFO	wrky33	wrky33	tech3	endophytes	plate6	wrky33	wrky33	2.177672874	0.525324208
FP4A44BFOwrky334endophytesbacteria	ITS_16	FP4	FP4_ITS_16	A4	bio4	BFO	wrky33	wrky33	tech4	endophytes	plate6	wrky33	wrky33	3.276219928	0.790328823
FP4A44BFOapex11endophytesbacteria	ITS_17	FP4	FP4_ITS_17	A4	bio4	BFO	apex1	apex1	tech1	endophytes	plate6	apex1	apex1	3.775221993	0.910704049
FP4A44BFOapex12endophytesbacteria	ITS_18	FP4	FP4_ITS_18	A4	bio4	BFO	apex1	apex1	tech2	endophytes	plate6	apex1	apex1	4.892041133	1.180116474
FP4A44BFOapex13endophytesbacteria	ITS_19	FP4	FP4_ITS_19	A4	bio4	BFO	apex1	apex1	tech3	endophytes	plate6	apex1	apex1	1.620479069	0.390911277
FP4A44BFOapex14endophytesbacteria	ITS_20	FP4	FP4_ITS_20	A4	bio4	BFO	apex1	apex1	tech4	endophytes	plate6	apex1	apex1	2.941679151	0.709626909
FP4A44BFOapex21endophytesbacteria	ITS_21	FP4	FP4_ITS_21	A4	bio4	BFO	apex2	apex2	tech1	endophytes	plate6	apex2	apex2	2.462503786	0.594034516
FP4A44BFOapex22endophytesbacteria	ITS_22	FP4	FP4_ITS_22	A4	bio4	BFO	apex2	apex2	tech2	endophytes	plate6	apex2	apex2	2.059360458	0.496783477
FP4A44BFOapex23endophytesbacteria	ITS_23	FP4	FP4_ITS_23	A4	bio4	BFO	apex2	apex2	tech3	endophytes	plate6	apex2	apex2	2.195693606	0.529671384
FP4A44BFOapex24endophytesbacteria	ITS_24	FP4	FP4_ITS_24	A4	bio4	BFO	apex2	apex2	tech4	endophytes	plate6	apex2	apex2	2.539569393	0.6126252
FP4A44BFOapex31endophytesbacteria	ITS_25	FP4	FP4_ITS_25	A4	bio4	BFO	apex3	apex3	tech1	endophytes	plate6	apex3	apex3	3.396297289	0.819295315
FP4A44BFOapex33endophytesbacteria	ITS_27	FP4	FP4_ITS_27	A4	bio4	BFO	apex3	apex3	tech3	endophytes	plate6	apex3	apex3	3.945069222	0.951676622
FP4A44BFOapex34endophytesbacteria	ITS_28	FP4	FP4_ITS_28	A4	bio4	BFO	apex3	apex3	tech4	endophytes	plate7	apex3	apex3	5.064917781	0.946693732
FP4A44BFObak1bkk1cerk11endophytesbacteria	ITS_29	FP4	FP4_ITS_29	A4	bio4	BFO	bak1bkk1cerk1	bak1bkk1cerk1	tech1	endophytes	plate7	bak1bkk1cerk1	bak1bkk1cerk1	4.514122342	0.843743475
FP4A44BFObak1bkk1cerk12endophytesbacteria	ITS_30	FP4	FP4_ITS_30	A4	bio4	BFO	bak1bkk1cerk1	bak1bkk1cerk1	tech2	endophytes	plate7	bak1bkk1cerk1	bak1bkk1cerk1	2.961490632	0.553538032
FP4A44BFObak1bkk1cerk13endophytesbacteria	ITS_31	FP4	FP4_ITS_31	A4	bio4	BFO	bak1bkk1cerk1	bak1bkk1cerk1	tech3	endophytes	plate7	bak1bkk1cerk1	bak1bkk1cerk1	3.680477699	0.687925317
FP4A44BFObak1bkk1cerk14endophytesbacteria	ITS_32	FP4	FP4_ITS_32	A4	bio4	BFO	bak1bkk1cerk1	bak1bkk1cerk1	tech4	endophytes	plate7	bak1bkk1cerk1	bak1bkk1cerk1	3.853005221	0.720172775
FP4A44BFO35SBRI1endophytesbacteria	ITS_33	FP4	FP4_ITS_33	A4	bio4	BFO	35SBRI	35SBRI	tech1	endophytes	plate7	35SBRI	35SBRI	3.261832882	0.609675592
FP4A44BFO35SBRI2endophytesbacteria	ITS_34	FP4	FP4_ITS_34	A4	bio4	BFO	35SBRI	35SBRI	tech2	endophytes	plate7	35SBRI	35SBRI	2.746877553	0.51342428
FP4A44BFO35SBRI3endophytesbacteria	ITS_35	FP4	FP4_ITS_35	A4	bio4	BFO	35SBRI	35SBRI	tech3	endophytes	plate7	35SBRI	35SBRI	1.931156459	0.360956247
FP4A44BFO35SBRI4endophytesbacteria	ITS_36	FP4	FP4_ITS_36	A4	bio4	BFO	35SBRI	35SBRI	tech4	endophytes	plate7	35SBRI	35SBRI	2.247946214	0.420168043
