SampleID	barcode_name	library	qPCR_name	experiment	biological	microbes	genotype	genotype2	technical	compartment	qPCR_plate	genotype_combined	genotype_combined2	ITS_UBQ	X16S_UBQ_ref
FP1A1bio1BFOpad4tech2endophytesbacteria	ITS_34	FP1	FP1_ITS_34	A1	bio1	BFO	pad4	pad4	tech2	endophytes	plate1	pad4	pad4	4.460498737	1.178535366
FP1A1bio1BFOpad4tech3endophytesbacteria	ITS_35	FP1	FP1_ITS_35	A1	bio1	BFO	pad4	pad4	tech3	endophytes	plate1	pad4	pad4	6.67167056	1.762762455
FP1A1bio1BFOpad4tech4endophytesbacteria	ITS_36	FP1	FP1_ITS_36	A1	bio1	BFO	pad4	pad4	tech4	endophytes	plate1	pad4	pad4	4.439491977	1.172985043
FP1A1bio1BFOrar1tech1endophytesbacteria	ITS_37	FP1	FP1_ITS_37	A1	bio1	BFO	rar1	rar1	tech1	endophytes	plate1	rar1	rar1	5.329141254	1.408044662
FP1A1bio1BFOrar1tech2endophytesbacteria	ITS_38	FP1	FP1_ITS_38	A1	bio1	BFO	rar1	rar1	tech2	endophytes	plate1	rar1	rar1	6.48E-05	1.71E-05
FP1A1bio1BFOrar1tech3endophytesbacteria	ITS_39	FP1	FP1_ITS_39	A1	bio1	BFO	rar1	rar1	tech3	endophytes	plate1	rar1	rar1	3.329154154	0.879615967
FP1A1bio1BFOrar1tech4endophytesbacteria	ITS_40	FP1	FP1_ITS_40	A1	bio1	BFO	rar1	rar1	tech4	endophytes	plate1	rar1	rar1	7.343683196	1.94031898
FP1A1bio1noWTtech1endophytesbacteria	ITS_45	FP1	FP1_ITS_45	A1	bio1	no	2aWT	2aWT	tech1	endophytes	plate1	2aWT	2aWT	0.002483193	0.000656099
FP1A1bio1nowrky3340tech2endophytesbacteria	ITS_47	FP1	FP1_ITS_47	A1	bio1	no	wrky3340	wrky3340	tech2	endophytes	plate2	wrky3340	wrky3340	0.00166805	0.000443263
FP1A1bio1noefrfls2cerk1tech1endophytesbacteria	ITS_48	FP1	FP1_ITS_48	A1	bio1	no	efrfls2cerk1	efrfls2cerk1	tech1	endophytes	plate2	efrfls2cerk1	efrfls2cerk1	0.000591925	0.000157297
FP1A1bio1nobak1bkk1tech3endophytesbacteria	ITS_49	FP1	FP1_ITS_49	A1	bio1	no	bak1bkk1	bak1bkk1	tech3	endophytes	plate2	bak1bkk1	bak1bkk1	0.002172314	0.000577265
FP1A1bio1nocyp79b2b3tech2endophytesbacteria	ITS_50	FP1	FP1_ITS_50	A1	bio1	no	cyp79b2b3	cyp79b2b3	tech2	endophytes	plate2	cyp79b2b3	cyp79b2b3	0.004352146	0.001156529
FP1A1bio1nodepstech1endophytesbacteria	ITS_51	FP1	FP1_ITS_51	A1	bio1	no	deps	deps	tech1	endophytes	plate2	deps	deps	0.001700149	0.000451793
FP1A1bio1norar1tech2endophytesbacteria	ITS_53	FP1	FP1_ITS_53	A1	bio1	no	rar1	rar1	tech2	endophytes	plate2	rar1	rar1	0.001102735	0.000293038
FP1A1bio2BFOWTtech1endophytesbacteria	ITS_55	FP1	FP1_ITS_55	A1	bio2	BFO	2aWT	2aWT	tech1	endophytes	plate2	2aWT	2aWT	5.165420922	1.372646066
FP1A1bio2BFOWTtech2endophytesbacteria	ITS_56	FP1	FP1_ITS_56	A1	bio2	BFO	2aWT	2aWT	tech2	endophytes	plate2	2aWT	2aWT	7.453623042	1.980707187
FP1A1bio2BFOWTtech3endophytesbacteria	ITS_57	FP1	FP1_ITS_57	A1	bio2	BFO	2aWT	2aWT	tech3	endophytes	plate2	2aWT	2aWT	3.501919174	0.930591262
FP1A1bio2BFOWTtech4endophytesbacteria	ITS_58	FP1	FP1_ITS_58	A1	bio2	BFO	2aWT	2aWT	tech4	endophytes	plate2	2aWT	2aWT	2.146803657	0.570486247
FP1A1bio2BFOwrky3340tech1endophytesbacteria	ITS_63	FP1	FP1_ITS_63	A1	bio2	BFO	wrky3340	wrky3340	tech1	endophytes	plate2	wrky3340	wrky3340	2.974561176	0.790452464
FP1A1bio2BFOwrky3340tech3endophytesbacteria	ITS_65	FP1	FP1_ITS_65	A1	bio2	BFO	wrky3340	wrky3340	tech3	endophytes	plate2	wrky3340	wrky3340	8.902918958	2.365839467
FP1A1bio2BFOwrky3340tech4endophytesbacteria	ITS_66	FP1	FP1_ITS_66	A1	bio2	BFO	wrky3340	wrky3340	tech4	endophytes	plate2	wrky3340	wrky3340	7.652812715	2.033639354
FP1A1bio2BFOefrfls2cerk1tech1endophytesbacteria	ITS_67	FP1	FP1_ITS_67	A1	bio2	BFO	efrfls2cerk1	efrfls2cerk1	tech1	endophytes	plate2	efrfls2cerk1	efrfls2cerk1	7.836885966	2.08255452
FP1A1bio2BFOefrfls2cerk1tech2endophytesbacteria	ITS_68	FP1	FP1_ITS_68	A1	bio2	BFO	efrfls2cerk1	efrfls2cerk1	tech2	endophytes	plate2	efrfls2cerk1	efrfls2cerk1	10.11514935	2.687974546
FP1A1bio2BFOefrfls2cerk1tech3endophytesbacteria	ITS_69	FP1	FP1_ITS_69	A1	bio2	BFO	efrfls2cerk1	efrfls2cerk1	tech3	endophytes	plate2	efrfls2cerk1	efrfls2cerk1	16.38660784	4.354536275
FP1A1bio2BFOefrfls2cerk1tech4endophytesbacteria	ITS_70	FP1	FP1_ITS_70	A1	bio2	BFO	efrfls2cerk1	efrfls2cerk1	tech4	endophytes	plate2	efrfls2cerk1	efrfls2cerk1	22.6788738	6.02662733
FP1A1bio2BFObak1bkk1tech1endophytesbacteria	ITS_71	FP1	FP1_ITS_71	A1	bio2	BFO	bak1bkk1	bak1bkk1	tech1	endophytes	plate2	bak1bkk1	bak1bkk1	4.296261101	1.141677704
FP1A1bio2BFObak1bkk1tech3endophytesbacteria	ITS_73	FP1	FP1_ITS_73	A1	bio2	BFO	bak1bkk1	bak1bkk1	tech3	endophytes	plate2	bak1bkk1	bak1bkk1	3.994018827	1.061360596
FP1A1bio2BFObak1bkk1tech4endophytesbacteria	ITS_74	FP1	FP1_ITS_74	A1	bio2	BFO	bak1bkk1	bak1bkk1	tech4	endophytes	plate2	bak1bkk1	bak1bkk1	5.300147033	1.408447846
FP1A1bio2BFOcyp79b2b3tech1endophytesbacteria	ITS_75	FP1	FP1_ITS_75	A1	bio2	BFO	cyp79b2b3	cyp79b2b3	tech1	endophytes	plate2	cyp79b2b3	cyp79b2b3	9.118217869	2.423052463
