SampleID	barcode_name	library	qPCR_name	experiment	biological	microbes	genotype	genotype2	technical	compartment	qPCR_plate	Cq_16S	Cq_UBQ10	X16S_UBQ	X16S_UBQ_ref
FP1A1bio1BFOpad4tech2endophytesbacteria	ITS_34	FP1	FP1_ITS_34	A1	bio1	BFO	pad4	pad4	tech2	endophytes	plate26	11.91130314	19.2528147	162.186683	1.020738513
FP1A1bio1BFOpad4tech3endophytesbacteria	ITS_35	FP1	FP1_ITS_35	A1	bio1	BFO	pad4	pad4	tech3	endophytes	plate26	12.2226867	18.92393091	104.05801	0.654899752
FP1A1bio1BFOpad4tech4endophytesbacteria	ITS_36	FP1	FP1_ITS_36	A1	bio1	BFO	pad4	pad4	tech4	endophytes	plate26	10.09839238	18.81238992	419.9278149	2.642858744
FP1A1bio1BFOrar1tech1endophytesbacteria	ITS_37	FP1	FP1_ITS_37	A1	bio1	BFO	rar1	rar1	tech1	endophytes	plate26	10.99485361	19.09990184	275.3357678	1.732853875
FP1A1bio1BFOrar1tech3endophytesbacteria	ITS_39	FP1	FP1_ITS_39	A1	bio1	BFO	rar1	rar1	tech3	endophytes	plate26	10.40094977	19.36286979	498.6625418	3.138383818
FP1A1bio1BFOrar1tech4endophytesbacteria	ITS_40	FP1	FP1_ITS_40	A1	bio1	BFO	rar1	rar1	tech4	endophytes	plate26	11.44027033	19.59244776	284.4788196	1.790396609
FP1A1bio1noWTtech1endophytesbacteria	ITS_45	FP1	FP1_ITS_45	A1	bio1	no	2aWT	2aWT	tech1	endophytes	plate26	16.59210918	18.43009828	3.575113647	0.022500344
FP1A1bio1nowrky3340tech2endophytesbacteria	ITS_47	FP1	FP1_ITS_47	A1	bio1	no	wrky3340	wrky3340	tech2	endophytes	plate26	17.29745605	18.08005571	1.720227835	0.011300293
FP1A1bio1noefrfls2cerk1tech1endophytesbacteria	ITS_48	FP1	FP1_ITS_48	A1	bio1	no	efrfls2cerk1	efrfls2cerk1	tech1	endophytes	plate26	18.84151439	17.92264903	0.528924844	0.003474543
FP1A1bio1nobak1bkk1tech3endophytesbacteria	ITS_49	FP1	FP1_ITS_49	A1	bio1	no	bak1bkk1	bak1bkk1	tech3	endophytes	plate26	26.13038902	18.21722436	0.004148586	2.73E-05
FP1A1bio1nocyp79b2b3tech2endophytesbacteria	ITS_50	FP1	FP1_ITS_50	A1	bio1	no	cyp79b2b3	cyp79b2b3	tech2	endophytes	plate26	20.36184882	17.86400086	0.177040586	0.001162992
FP1A1bio1nodepstech1endophytesbacteria	ITS_51	FP1	FP1_ITS_51	A1	bio1	no	deps	deps	tech1	endophytes	plate26	23.60209818	16.82959109	0.009146864	6.01E-05
FP1A1bio1norar1tech2endophytesbacteria	ITS_53	FP1	FP1_ITS_53	A1	bio1	no	rar1	rar1	tech2	endophytes	plate26	19.33267254	18.17876793	0.449407276	0.002952187
FP1A1bio2BFOWTtech1endophytesbacteria	ITS_55	FP1	FP1_ITS_55	A1	bio2	BFO	2aWT	2aWT	tech1	endophytes	plate26	12.01563821	20.11061764	273.4208457	1.796120028
FP1A1bio2BFOWTtech2endophytesbacteria	ITS_56	FP1	FP1_ITS_56	A1	bio2	BFO	2aWT	2aWT	tech2	endophytes	plate26	12.4036315	20.22714126	226.5223758	1.488040807
FP1A1bio2BFOWTtech3endophytesbacteria	ITS_57	FP1	FP1_ITS_57	A1	bio2	BFO	2aWT	2aWT	tech3	endophytes	plate26	11.14592668	19.81310854	406.5198123	2.670456141
FP1A1bio2BFOWTtech4endophytesbacteria	ITS_58	FP1	FP1_ITS_58	A1	bio2	BFO	2aWT	2aWT	tech4	endophytes	plate26	12.09845518	19.12629086	130.4936397	0.857221545
FP1A1bio2BFOwrky3340tech1endophytesbacteria	ITS_63	FP1	FP1_ITS_63	A1	bio2	BFO	wrky3340	wrky3340	tech1	endophytes	plate27	11.22743715	18.54362113	159.3642247	1.04687437
FP1A1bio2BFOwrky3340tech3endophytesbacteria	ITS_65	FP1	FP1_ITS_65	A1	bio2	BFO	wrky3340	wrky3340	tech3	endophytes	plate27	12.25499727	18.37753035	69.67325605	0.457688331
FP1A1bio2BFOwrky3340tech4endophytesbacteria	ITS_66	FP1	FP1_ITS_66	A1	bio2	BFO	wrky3340	wrky3340	tech4	endophytes	plate27	11.00780637	19.08366614	269.8211754	1.77247355
FP1A1bio2BFOefrfls2cerk1tech1endophytesbacteria	ITS_67	FP1	FP1_ITS_67	A1	bio2	BFO	efrfls2cerk1	efrfls2cerk1	tech1	endophytes	plate27	10.87558169	18.67498395	222.7686271	1.463382178
FP1A1bio2BFOefrfls2cerk1tech2endophytesbacteria	ITS_68	FP1	FP1_ITS_68	A1	bio2	BFO	efrfls2cerk1	efrfls2cerk1	tech2	endophytes	plate27	10.89388762	18.56490295	203.8007191	1.338780708
FP1A1bio2BFOefrfls2cerk1tech3endophytesbacteria	ITS_69	FP1	FP1_ITS_69	A1	bio2	BFO	efrfls2cerk1	efrfls2cerk1	tech3	endophytes	plate27	10.70428694	18.5881404	236.1980848	1.551601194
FP1A1bio2BFOefrfls2cerk1tech4endophytesbacteria	ITS_70	FP1	FP1_ITS_70	A1	bio2	BFO	efrfls2cerk1	efrfls2cerk1	tech4	endophytes	plate27	12.00386623	19.57758109	190.5089364	1.251466088
FP1A1bio2BFObak1bkk1tech1endophytesbacteria	ITS_71	FP1	FP1_ITS_71	A1	bio2	BFO	bak1bkk1	bak1bkk1	tech1	endophytes	plate27	7.930335462	19.11792089	2332.377228	15.32154376
FP1A1bio2BFObak1bkk1tech3endophytesbacteria	ITS_73	FP1	FP1_ITS_73	A1	bio2	BFO	bak1bkk1	bak1bkk1	tech3	endophytes	plate27	10.38706728	17.63999858	152.5281066	1.001967448
FP1A1bio2BFObak1bkk1tech4endophytesbacteria	ITS_74	FP1	FP1_ITS_74	A1	bio2	BFO	bak1bkk1	bak1bkk1	tech4	endophytes	plate27	11.05209072	18.02359552	125.496629	0.824395844
FP1A1bio2BFOcyp79b2b3tech1endophytesbacteria	ITS_75	FP1	FP1_ITS_75	A1	bio2	BFO	cyp79b2b3	cyp79b2b3	tech1	endophytes	plate27	10.53187768	18.30007439	218.0018719	1.432069041
FP1A1bio2BFOdepstech1endophytesbacteria	ITS_79	FP1	FP1_ITS_79	A1	bio2	BFO	deps	deps	tech1	endophytes	plate27	11.41854987	18.46828005	132.4891296	0.870330053
FP1A1bio2BFOdepstech3endophytesbacteria	ITS_81	FP1	FP1_ITS_81	A1	bio2	BFO	deps	deps	tech3	endophytes	plate27	11.50221578	18.63070273	139.9227709	0.919162145
FP1A1bio2BFOpad4tech1endophytesbacteria	ITS_87	FP1	FP1_ITS_87	A1	bio2	BFO	pad4	pad4	tech1	endophytes	plate27	10.74827191	19.69858447	494.6665577	3.249498074
FP1A1bio2BFOpad4tech2endophytesbacteria	ITS_88	FP1	FP1_ITS_88	A1	bio2	BFO	pad4	pad4	tech2	endophytes	plate28	11.44056429	20.11865201	409.6044928	2.690719616
FP1A1bio2BFOpad4tech3endophytesbacteria	ITS_89	FP1	FP1_ITS_89	A1	bio2	BFO	pad4	pad4	tech3	endophytes	plate28	14.12022694	20.31807504	73.40712015	0.482216337
FP1A1bio2BFOpad4tech4endophytesbacteria	ITS_90	FP1	FP1_ITS_90	A1	bio2	BFO	pad4	pad4	tech4	endophytes	plate28	25.48994278	21.97425469	0.087432406	0.000574349
FP1A1bio2BFOrar1tech3endophytesbacteria	ITS_92	FP1	FP1_ITS_92	A1	bio2	BFO	rar1	rar1	tech3	endophytes	plate28	13.00154667	19.82201033	113.0223016	0.693799724
FP1A1bio2noefrfls2cerk1tech1endophytesbacteria	ITS_96	FP1	FP1_ITS_96	A1	bio2	no	efrfls2cerk1	efrfls2cerk1	tech1	endophytes	plate28	24.71891741	18.25647092	0.011339914	6.96E-05
