SampleID	barcode_name	library	qPCR_name	experiment	biological	microbes	genotype	genotype2	technical	compartment	qPCR_plate	Cq_oITS	Cq_UBQ10	oITS_UBQ10	X16S_UBQ_ref
FP1A1bio1BFOpad4tech3endophytesbacteria	ITS_35	FP1	FP1_ITS_35	A1	bio1	BFO	pad4	pad4	tech3	endophytes	plate26	25.195525	18.92393091	0.012943808	3.177424325
FP1A1bio1BFOpad4tech4endophytesbacteria	ITS_36	FP1	FP1_ITS_36	A1	bio1	BFO	pad4	pad4	tech4	endophytes	plate26	22.41089234	18.81238992	0.082554896	20.26543779
FP1A1bio1BFOrar1tech1endophytesbacteria	ITS_37	FP1	FP1_ITS_37	A1	bio1	BFO	rar1	rar1	tech1	endophytes	plate26	21.54357365	19.09990184	0.183815228	45.12265475
FP1A1bio1BFOrar1tech3endophytesbacteria	ITS_39	FP1	FP1_ITS_39	A1	bio1	BFO	rar1	rar1	tech3	endophytes	plate26	23.17536564	19.36286979	0.071174494	17.47179588
FP1A1bio1BFOrar1tech4endophytesbacteria	ITS_40	FP1	FP1_ITS_40	A1	bio1	BFO	rar1	rar1	tech4	endophytes	plate26	25.31747637	19.59244776	0.018905783	4.640959936
FP1A1bio1noWTtech1endophytesbacteria	ITS_45	FP1	FP1_ITS_45	A1	bio1	no	2aWT	2aWT	tech1	endophytes	plate26	24.30090718	18.43009828	0.017088755	4.194919021
FP1A1bio1nowrky3340tech2endophytesbacteria	ITS_47	FP1	FP1_ITS_47	A1	bio1	no	wrky3340	wrky3340	tech2	endophytes	plate26	25.27409733	18.08005571	0.006829323	0.48815083
FP1A1bio1noefrfls2cerk1tech1endophytesbacteria	ITS_48	FP1	FP1_ITS_48	A1	bio1	no	efrfls2cerk1	efrfls2cerk1	tech1	endophytes	plate26	26.6825101	17.92264903	0.002306848	0.164890416
FP1A1bio1nobak1bkk1tech3endophytesbacteria	ITS_49	FP1	FP1_ITS_49	A1	bio1	no	bak1bkk1	bak1bkk1	tech3	endophytes	plate26	23.28092008	18.21722436	0.029900311	2.137233882
FP1A1bio1nocyp79b2b3tech2endophytesbacteria	ITS_50	FP1	FP1_ITS_50	A1	bio1	no	cyp79b2b3	cyp79b2b3	tech2	endophytes	plate26	25.09606327	17.86400086	0.006651694	0.475454139
FP1A1bio1nodepstech1endophytesbacteria	ITS_51	FP1	FP1_ITS_51	A1	bio1	no	deps	deps	tech1	endophytes	plate26	23.0571744	16.82959109	0.013344756	0.95386513
FP1A1bio1norar1tech2endophytesbacteria	ITS_53	FP1	FP1_ITS_53	A1	bio1	no	rar1	rar1	tech2	endophytes	plate26	26.8910601	18.17876793	0.002384178	0.170417848
FP1A1bio2BFOWTtech1endophytesbacteria	ITS_55	FP1	FP1_ITS_55	A1	bio2	BFO	2aWT	2aWT	tech1	endophytes	plate26	24.10020023	20.11061764	0.062952933	4.49979076
FP1A1bio2BFOWTtech2endophytesbacteria	ITS_56	FP1	FP1_ITS_56	A1	bio2	BFO	2aWT	2aWT	tech2	endophytes	plate26	24.81934381	20.22714126	0.041458089	2.963368324
FP1A1bio2BFOWTtech3endophytesbacteria	ITS_57	FP1	FP1_ITS_57	A1	bio2	BFO	2aWT	2aWT	tech3	endophytes	plate26	25.06586967	19.81310854	0.026227768	1.874725514
FP1A1bio2BFOWTtech4endophytesbacteria	ITS_58	FP1	FP1_ITS_58	A1	bio2	BFO	2aWT	2aWT	tech4	endophytes	plate26	25.97976906	19.12629086	0.008647638	0.61812148
FP1A1bio2BFOwrky3340tech1endophytesbacteria	ITS_63	FP1	FP1_ITS_63	A1	bio2	BFO	wrky3340	wrky3340	tech1	endophytes	plate27	24.76652212	18.54362113	0.013388137	0.956965964
