barcode_name	library	experiment	biological	time_point	genotype	compartment	technical	library_type	genotype_compartment	genotype_time_point	compartment_time_point	genotype_compartment_time_point	experiment_biological	Description
Gr1B1bio1tp2WTendophytestech2	ITS1o_40	GR1	B1	bio1	tp2	WT	endophytes	tech2	oomycetes	WT_endophytes	WT_tp2	endophytes_tp2	WT_endophytes_tp2	B1_bio1	Gr1B1bio1tp2WTendophytestech2
Gr1B1bio1tp2WTendophytestech3	ITS1o_41	GR1	B1	bio1	tp2	WT	endophytes	tech3	oomycetes	WT_endophytes	WT_tp2	endophytes_tp2	WT_endophytes_tp2	B1_bio1	Gr1B1bio1tp2WTendophytestech3
Gr1B1bio1tp2WTendophytestech4	ITS1o_42	GR1	B1	bio1	tp2	WT	endophytes	tech4	oomycetes	WT_endophytes	WT_tp2	endophytes_tp2	WT_endophytes_tp2	B1_bio1	Gr1B1bio1tp2WTendophytestech4
Gr1B1bio1tp2wrkyendophytestech1	ITS1o_47	GR1	B1	bio1	tp2	wrky3340	endophytes	tech1	oomycetes	wrky3340_endophytes	wrky3340_tp2	endophytes_tp2	wrky3340_endophytes_tp2	B1_bio1	Gr1B1bio1tp2wrkyendophytestech1
Gr1B1bio1tp2wrkyendophytestech2	ITS1o_48	GR1	B1	bio1	tp2	wrky3340	endophytes	tech2	oomycetes	wrky3340_endophytes	wrky3340_tp2	endophytes_tp2	wrky3340_endophytes_tp2	B1_bio1	Gr1B1bio1tp2wrkyendophytestech2
Gr1B1bio1tp2wrkyendophytestech3	ITS1o_49	GR1	B1	bio1	tp2	wrky3340	endophytes	tech3	oomycetes	wrky3340_endophytes	wrky3340_tp2	endophytes_tp2	wrky3340_endophytes_tp2	B1_bio1	Gr1B1bio1tp2wrkyendophytestech3
Gr1B1bio1tp2wrkyendophytestech4	ITS1o_50	GR1	B1	bio1	tp2	wrky3340	endophytes	tech4	oomycetes	wrky3340_endophytes	wrky3340_tp2	endophytes_tp2	wrky3340_endophytes_tp2	B1_bio1	Gr1B1bio1tp2wrkyendophytestech4
Gr1B1bio1tp2efcendophytestech1	ITS1o_51	GR1	B1	bio1	tp2	efc	endophytes	tech1	oomycetes	efc_endophytes	efc_tp2	endophytes_tp2	efc_endophytes_tp2	B1_bio1	Gr1B1bio1tp2efcendophytestech1
Gr1B1bio1tp2efcendophytestech2	ITS1o_52	GR1	B1	bio1	tp2	efc	endophytes	tech2	oomycetes	efc_endophytes	efc_tp2	endophytes_tp2	efc_endophytes_tp2	B1_bio1	Gr1B1bio1tp2efcendophytestech2
Gr1B1bio1tp2efcendophytestech3	ITS1o_53	GR1	B1	bio1	tp2	efc	endophytes	tech3	oomycetes	efc_endophytes	efc_tp2	endophytes_tp2	efc_endophytes_tp2	B1_bio1	Gr1B1bio1tp2efcendophytestech3
Gr1B1bio1tp2efcendophytestech4	ITS1o_54	GR1	B1	bio1	tp2	efc	endophytes	tech4	oomycetes	efc_endophytes	efc_tp2	endophytes_tp2	efc_endophytes_tp2	B1_bio1	Gr1B1bio1tp2efcendophytestech4
Gr1B1bio1tp2bbendophytestech1	ITS1o_55	GR1	B1	bio1	tp2	bb	endophytes	tech1	oomycetes	bb_endophytes	bb_tp2	endophytes_tp2	bb_endophytes_tp2	B1_bio1	Gr1B1bio1tp2bbendophytestech1
Gr1B1bio1tp2bbendophytestech2	ITS1o_56	GR1	B1	bio1	tp2	bb	endophytes	tech2	oomycetes	bb_endophytes	bb_tp2	endophytes_tp2	bb_endophytes_tp2	B1_bio1	Gr1B1bio1tp2bbendophytestech2
Gr1B1bio1tp2bbendophytestech3	ITS1o_57	GR1	B1	bio1	tp2	bb	endophytes	tech3	oomycetes	bb_endophytes	bb_tp2	endophytes_tp2	bb_endophytes_tp2	B1_bio1	Gr1B1bio1tp2bbendophytestech3
Gr1B1bio1tp2bbendophytestech4	ITS1o_58	GR1	B1	bio1	tp2	bb	endophytes	tech4	oomycetes	bb_endophytes	bb_tp2	endophytes_tp2	bb_endophytes_tp2	B1_bio1	Gr1B1bio1tp2bbendophytestech4
Gr1B1bio1tp2cyp79endophytestech1	ITS1o_59	GR1	B1	bio1	tp2	cyp79	endophytes	tech1	oomycetes	cyp79_endophytes	cyp79_tp2	endophytes_tp2	cyp79_endophytes_tp2	B1_bio1	Gr1B1bio1tp2cyp79endophytestech1
Gr1B1bio1tp2cyp79endophytestech2	ITS1o_60	GR1	B1	bio1	tp2	cyp79	endophytes	tech2	oomycetes	cyp79_endophytes	cyp79_tp2	endophytes_tp2	cyp79_endophytes_tp2	B1_bio1	Gr1B1bio1tp2cyp79endophytestech2
