barcode_name	library	experiment	biological	time_point	genotype	compartment	technical	library_type	genotype_compartment	genotype_time_point	compartment_time_point	genotype_compartment_time_point	experiment_biological	Description
Gr1B1bio1tp1pad4endophytestech3	ITS1_33	GR1	B1	bio1	tp1	pad4	endophytes	tech3	fungi	pad4_endophytes	pad4_tp1	endophytes_tp1	pad4_endophytes_tp1	B1_bio1	Gr1B1bio1tp1pad4endophytestech3
Gr1B1bio1tp1pad4endophytestech4	ITS1_34	GR1	B1	bio1	tp1	pad4	endophytes	tech4	fungi	pad4_endophytes	pad4_tp1	endophytes_tp1	pad4_endophytes_tp1	B1_bio1	Gr1B1bio1tp1pad4endophytestech4
Gr1B1bio1tp1rar1endophytestech1	ITS1_35	GR1	B1	bio1	tp1	rar1	endophytes	tech1	fungi	rar1_endophytes	rar1_tp1	endophytes_tp1	rar1_endophytes_tp1	B1_bio1	Gr1B1bio1tp1rar1endophytestech1
Gr1B1bio1tp1rar1endophytestech2	ITS1_36	GR1	B1	bio1	tp1	rar1	endophytes	tech2	fungi	rar1_endophytes	rar1_tp1	endophytes_tp1	rar1_endophytes_tp1	B1_bio1	Gr1B1bio1tp1rar1endophytestech2
Gr1B1bio1tp1rar1endophytestech3	ITS1_37	GR1	B1	bio1	tp1	rar1	endophytes	tech3	fungi	rar1_endophytes	rar1_tp1	endophytes_tp1	rar1_endophytes_tp1	B1_bio1	Gr1B1bio1tp1rar1endophytestech3
Gr1B1bio1tp1rar1endophytestech4	ITS1_38	GR1	B1	bio1	tp1	rar1	endophytes	tech4	fungi	rar1_endophytes	rar1_tp1	endophytes_tp1	rar1_endophytes_tp1	B1_bio1	Gr1B1bio1tp1rar1endophytestech4
Gr1B1bio1tp2WTendophytestech1	ITS1_39	GR1	B1	bio1	tp2	WT	endophytes	tech1	fungi	WT_endophytes	WT_tp2	endophytes_tp2	WT_endophytes_tp2	B1_bio1	Gr1B1bio1tp2WTendophytestech1
Gr1B1bio1tp2WTendophytestech2	ITS1_40	GR1	B1	bio1	tp2	WT	endophytes	tech2	fungi	WT_endophytes	WT_tp2	endophytes_tp2	WT_endophytes_tp2	B1_bio1	Gr1B1bio1tp2WTendophytestech2
Gr1B1bio1tp2WTendophytestech3	ITS1_41	GR1	B1	bio1	tp2	WT	endophytes	tech3	fungi	WT_endophytes	WT_tp2	endophytes_tp2	WT_endophytes_tp2	B1_bio1	Gr1B1bio1tp2WTendophytestech3
Gr1B1bio1tp2WTendophytestech4	ITS1_42	GR1	B1	bio1	tp2	WT	endophytes	tech4	fungi	WT_endophytes	WT_tp2	endophytes_tp2	WT_endophytes_tp2	B1_bio1	Gr1B1bio1tp2WTendophytestech4
Gr1B1bio1tp2wrkyendophytestech1	ITS1_47	GR1	B1	bio1	tp2	wrky3340	endophytes	tech1	fungi	wrky3340_endophytes	wrky3340_tp2	endophytes_tp2	wrky3340_endophytes_tp2	B1_bio1	Gr1B1bio1tp2wrkyendophytestech1
Gr1B1bio1tp2wrkyendophytestech2	ITS1_48	GR1	B1	bio1	tp2	wrky3340	endophytes	tech2	fungi	wrky3340_endophytes	wrky3340_tp2	endophytes_tp2	wrky3340_endophytes_tp2	B1_bio1	Gr1B1bio1tp2wrkyendophytestech2
