barcode_name	library	experiment	biological	time_point	genotype	compartment	technical	library_type	genotype_compartment	genotype_time_point	compartment_time_point	genotype_compartment_time_point	experiment_biological	Description
Gr2B1bio2tp2bbendophytestech3	ITS1_48	GR2	B1	bio2	tp2	bb	endophytes	tech3	fungi	bb_endophytes	bb_tp2	endophytes_tp2	bb_endophytes_tp2	B1_bio2	Gr2B1bio2tp2bbendophytestech3
Gr2B1bio2tp2bbendophytestech4	ITS1_49	GR2	B1	bio2	tp2	bb	endophytes	tech4	fungi	bb_endophytes	bb_tp2	endophytes_tp2	bb_endophytes_tp2	B1_bio2	Gr2B1bio2tp2bbendophytestech4
Gr2B1bio2tp2cyp79endophytestech1	ITS1_50	GR2	B1	bio2	tp2	cyp79	endophytes	tech1	fungi	cyp79_endophytes	cyp79_tp2	endophytes_tp2	cyp79_endophytes_tp2	B1_bio2	Gr2B1bio2tp2cyp79endophytestech1
Gr2B1bio2tp2cyp79endophytestech2	ITS1_51	GR2	B1	bio2	tp2	cyp79	endophytes	tech2	fungi	cyp79_endophytes	cyp79_tp2	endophytes_tp2	cyp79_endophytes_tp2	B1_bio2	Gr2B1bio2tp2cyp79endophytestech2
Gr2B1bio2tp2cyp79endophytestech3	ITS1_52	GR2	B1	bio2	tp2	cyp79	endophytes	tech3	fungi	cyp79_endophytes	cyp79_tp2	endophytes_tp2	cyp79_endophytes_tp2	B1_bio2	Gr2B1bio2tp2cyp79endophytestech3
Gr2B1bio2tp2cyp79endophytestech4	ITS1_53	GR2	B1	bio2	tp2	cyp79	endophytes	tech4	fungi	cyp79_endophytes	cyp79_tp2	endophytes_tp2	cyp79_endophytes_tp2	B1_bio2	Gr2B1bio2tp2cyp79endophytestech4
Gr2B1bio2tp2pad4endophytestech1	ITS1_58	GR2	B1	bio2	tp2	pad4	endophytes	tech1	fungi	pad4_endophytes	pad4_tp2	endophytes_tp2	pad4_endophytes_tp2	B1_bio2	Gr2B1bio2tp2pad4endophytestech1
Gr2B1bio2tp2pad4endophytestech2	ITS1_59	GR2	B1	bio2	tp2	pad4	endophytes	tech2	fungi	pad4_endophytes	pad4_tp2	endophytes_tp2	pad4_endophytes_tp2	B1_bio2	Gr2B1bio2tp2pad4endophytestech2
Gr2B1bio2tp2pad4endophytestech3	ITS1_60	GR2	B1	bio2	tp2	pad4	endophytes	tech3	fungi	pad4_endophytes	pad4_tp2	endophytes_tp2	pad4_endophytes_tp2	B1_bio2	Gr2B1bio2tp2pad4endophytestech3
Gr2B1bio2tp2pad4endophytestech4	ITS1_61	GR2	B1	bio2	tp2	pad4	endophytes	tech4	fungi	pad4_endophytes	pad4_tp2	endophytes_tp2	pad4_endophytes_tp2	B1_bio2	Gr2B1bio2tp2pad4endophytestech4
Gr2B1bio2tp2rar1endophytestech1	ITS1_62	GR2	B1	bio2	tp2	rar1	endophytes	tech1	fungi	rar1_endophytes	rar1_tp2	endophytes_tp2	rar1_endophytes_tp2	B1_bio2	Gr2B1bio2tp2rar1endophytestech1
Gr2B1bio2tp2rar1endophytestech2	ITS1_63	GR2	B1	bio2	tp2	rar1	endophytes	tech2	fungi	rar1_endophytes	rar1_tp2	endophytes_tp2	rar1_endophytes_tp2	B1_bio2	Gr2B1bio2tp2rar1endophytestech2
Gr2B1bio2tp2rar1endophytestech3	ITS1_64	GR2	B1	bio2	tp2	rar1	endophytes	tech3	fungi	rar1_endophytes	rar1_tp2	endophytes_tp2	rar1_endophytes_tp2	B1_bio2	Gr2B1bio2tp2rar1endophytestech3
Gr2B1bio2tp2rar1endophytestech4	ITS1_65	GR2	B1	bio2	tp2	rar1	endophytes	tech4	fungi	rar1_endophytes	rar1_tp2	endophytes_tp2	rar1_endophytes_tp2	B1_bio2	Gr2B1bio2tp2rar1endophytestech4
Gr2B1bio3tp1WTendophytestech1	ITS1_70	GR2	B1	bio3	tp1	WT	endophytes	tech1	fungi	WT_endophytes	WT_tp1	endophytes_tp1	WT_endophytes_tp1	B1_bio3	Gr2B1bio3tp1WTendophytestech1
Gr2B1bio3tp1WTendophytestech2	ITS1_71	GR2	B1	bio3	tp1	WT	endophytes	tech2	fungi	WT_endophytes	WT_tp1	endophytes_tp1	WT_endophytes_tp1	B1_bio3	Gr2B1bio3tp1WTendophytestech2
Gr2B1bio3tp1WTendophytestech3	ITS1_72	GR2	B1	bio3	tp1	WT	endophytes	tech3	fungi	WT_endophytes	WT_tp1	endophytes_tp1	WT_endophytes_tp1	B1_bio3	Gr2B1bio3tp1WTendophytestech3
Gr2B1bio3tp1WTendophytestech4	ITS1_73	GR2	B1	bio3	tp1	WT	endophytes	tech4	fungi	WT_endophytes	WT_tp1	endophytes_tp1	WT_endophytes_tp1	B1_bio3	Gr2B1bio3tp1WTendophytestech4
Gr2B1bio3tp1wrkyendophytestech1	ITS1_78	GR2	B1	bio3	tp1	wrky3340	endophytes	tech1	fungi	wrky3340_endophytes	wrky3340_tp1	endophytes_tp1	wrky3340_endophytes_tp1	B1_bio3	Gr2B1bio3tp1wrkyendophytestech1
Gr2B1bio3tp1wrkyendophytestech2	ITS1_79	GR2	B1	bio3	tp1	wrky3340	endophytes	tech2	fungi	wrky3340_endophytes	wrky3340_tp1	endophytes_tp1	wrky3340_endophytes_tp1	B1_bio3	Gr2B1bio3tp1wrkyendophytestech2
Gr2B1bio3tp1wrkyendophytestech3	ITS1_80	GR2	B1	bio3	tp1	wrky3340	endophytes	tech3	fungi	wrky3340_endophytes	wrky3340_tp1	endophytes_tp1	wrky3340_endophytes_tp1	B1_bio3	Gr2B1bio3tp1wrkyendophytestech3
Gr2B1bio3tp1wrkyendophytestech4	ITS1_81	GR2	B1	bio3	tp1	wrky3340	endophytes	tech4	fungi	wrky3340_endophytes	wrky3340_tp1	endophytes_tp1	wrky3340_endophytes_tp1	B1_bio3	Gr2B1bio3tp1wrkyendophytestech4
Gr2B1bio3tp1efcendophytestech1	ITS1_82	GR2	B1	bio3	tp1	efc	endophytes	tech1	fungi	efc_endophytes	efc_tp1	endophytes_tp1	efc_endophytes_tp1	B1_bio3	Gr2B1bio3tp1efcendophytestech1
Gr2B1bio3tp1efcendophytestech2	ITS1_83	GR2	B1	bio3	tp1	efc	endophytes	tech2	fungi	efc_endophytes	efc_tp1	endophytes_tp1	efc_endophytes_tp1	B1_bio3	Gr2B1bio3tp1efcendophytestech2
Gr2B1bio3tp1efcendophytestech3	ITS1_84	GR2	B1	bio3	tp1	efc	endophytes	tech3	fungi	efc_endophytes	efc_tp1	endophytes_tp1	efc_endophytes_tp1	B1_bio3	Gr2B1bio3tp1efcendophytestech3
Gr2B1bio3tp1efcendophytestech4	ITS1_85	GR2	B1	bio3	tp1	efc	endophytes	tech4	fungi	efc_endophytes	efc_tp1	endophytes_tp1	efc_endophytes_tp1	B1_bio3	Gr2B1bio3tp1efcendophytestech4
Gr2B1bio3tp1bbendophytestech1	ITS1_86	GR2	B1	bio3	tp1	bb	endophytes	tech1	fungi	bb_endophytes	bb_tp1	endophytes_tp1	bb_endophytes_tp1	B1_bio3	Gr2B1bio3tp1bbendophytestech1
Gr2B1bio3tp1bbendophytestech2	ITS1_87	GR2	B1	bio3	tp1	bb	endophytes	tech2	fungi	bb_endophytes	bb_tp1	endophytes_tp1	bb_endophytes_tp1	B1_bio3	Gr2B1bio3tp1bbendophytestech2
Gr2B1bio3tp1bbendophytestech3	ITS1_88	GR2	B1	bio3	tp1	bb	endophytes	tech3	fungi	bb_endophytes	bb_tp1	endophytes_tp1	bb_endophytes_tp1	B1_bio3	Gr2B1bio3tp1bbendophytestech3
Gr2B1bio3tp1bbendophytestech4	ITS1_89	GR2	B1	bio3	tp1	bb	endophytes	tech4	fungi	bb_endophytes	bb_tp1	endophytes_tp1	bb_endophytes_tp1	B1_bio3	Gr2B1bio3tp1bbendophytestech4
Gr2B1bio3tp1cyp79endophytestech1	ITS1_90	GR2	B1	bio3	tp1	cyp79	endophytes	tech1	fungi	cyp79_endophytes	cyp79_tp1	endophytes_tp1	cyp79_endophytes_tp1	B1_bio3	Gr2B1bio3tp1cyp79endophytestech1
Gr2B1bio3tp1cyp79endophytestech2	ITS1_91	GR2	B1	bio3	tp1	cyp79	endophytes	tech2	fungi	cyp79_endophytes	cyp79_tp1	endophytes_tp1	cyp79_endophytes_tp1	B1_bio3	Gr2B1bio3tp1cyp79endophytestech2
Gr2B1bio3tp1cyp79endophytestech3	ITS1_92	GR2	B1	bio3	tp1	cyp79	endophytes	tech3	fungi	cyp79_endophytes	cyp79_tp1	endophytes_tp1	cyp79_endophytes_tp1	B1_bio3	Gr2B1bio3tp1cyp79endophytestech3
Gr2B1bio3tp1cyp79endophytestech4	ITS1_93	GR2	B1	bio3	tp1	cyp79	endophytes	tech4	fungi	cyp79_endophytes	cyp79_tp1	endophytes_tp1	cyp79_endophytes_tp1	B1_bio3	Gr2B1bio3tp1cyp79endophytestech4
Gr2B1bio3tp1depsendophytestech1	ITS1_94	GR2	B1	bio3	tp1	deps	endophytes	tech1	fungi	deps_endophytes	deps_tp1	endophytes_tp1	deps_endophytes_tp1	B1_bio3	Gr2B1bio3tp1depsendophytestech1
Gr2B1bio3tp1depsendophytestech2	ITS1_95	GR2	B1	bio3	tp1	deps	endophytes	tech2	fungi	deps_endophytes	deps_tp1	endophytes_tp1	deps_endophytes_tp1	B1_bio3	Gr2B1bio3tp1depsendophytestech2
Gr2B1bio3tp1depsendophytestech3	ITS1_96	GR2	B1	bio3	tp1	deps	endophytes	tech3	fungi	deps_endophytes	deps_tp1	endophytes_tp1	deps_endophytes_tp1	B1_bio3	Gr2B1bio3tp1depsendophytestech3
Gr3B1bio3tp1depsendophytestech4	ITS1_1	GR3	B1	bio3	tp1	deps	endophytes	tech4	fungi	deps_endophytes	deps_tp1	endophytes_tp1	deps_endophytes_tp1	B1_bio3	Gr3B1bio3tp1depsendophytestech4
Gr3B1bio3tp1pad4endophytestech1	ITS1_6	GR3	B1	bio3	tp1	pad4	endophytes	tech1	fungi	pad4_endophytes	pad4_tp1	endophytes_tp1	pad4_endophytes_tp1	B1_bio3	Gr3B1bio3tp1pad4endophytestech1
Gr3B1bio3tp1pad4endophytestech2	ITS1_7	GR3	B1	bio3	tp1	pad4	endophytes	tech2	fungi	pad4_endophytes	pad4_tp1	endophytes_tp1	pad4_endophytes_tp1	B1_bio3	Gr3B1bio3tp1pad4endophytestech2
Gr3B1bio3tp1pad4endophytestech3	ITS1_8	GR3	B1	bio3	tp1	pad4	endophytes	tech3	fungi	pad4_endophytes	pad4_tp1	endophytes_tp1	pad4_endophytes_tp1	B1_bio3	Gr3B1bio3tp1pad4endophytestech3
Gr3B1bio3tp1pad4endophytestech4	ITS1_9	GR3	B1	bio3	tp1	pad4	endophytes	tech4	fungi	pad4_endophytes	pad4_tp1	endophytes_tp1	pad4_endophytes_tp1	B1_bio3	Gr3B1bio3tp1pad4endophytestech4
Gr3B1bio3tp1rar1endophytestech1	ITS1_10	GR3	B1	bio3	tp1	rar1	endophytes	tech1	fungi	rar1_endophytes	rar1_tp1	endophytes_tp1	rar1_endophytes_tp1	B1_bio3	Gr3B1bio3tp1rar1endophytestech1
Gr3B1bio3tp1rar1endophytestech2	ITS1_11	GR3	B1	bio3	tp1	rar1	endophytes	tech2	fungi	rar1_endophytes	rar1_tp1	endophytes_tp1	rar1_endophytes_tp1	B1_bio3	Gr3B1bio3tp1rar1endophytestech2
Gr3B1bio3tp1rar1endophytestech3	ITS1_12	GR3	B1	bio3	tp1	rar1	endophytes	tech3	fungi	rar1_endophytes	rar1_tp1	endophytes_tp1	rar1_endophytes_tp1	B1_bio3	Gr3B1bio3tp1rar1endophytestech3
Gr3B1bio3tp1rar1endophytestech4	ITS1_13	GR3	B1	bio3	tp1	rar1	endophytes	tech4	fungi	rar1_endophytes	rar1_tp1	endophytes_tp1	rar1_endophytes_tp1	B1_bio3	Gr3B1bio3tp1rar1endophytestech4
Gr3B1bio3tp2WTendophytestech1	ITS1_18	GR3	B1	bio3	tp2	WT	endophytes	tech1	fungi	WT_endophytes	WT_tp2	endophytes_tp2	WT_endophytes_tp2	B1_bio3	Gr3B1bio3tp2WTendophytestech1
Gr3B1bio3tp2WTendophytestech2	ITS1_19	GR3	B1	bio3	tp2	WT	endophytes	tech2	fungi	WT_endophytes	WT_tp2	endophytes_tp2	WT_endophytes_tp2	B1_bio3	Gr3B1bio3tp2WTendophytestech2
Gr3B1bio3tp2WTendophytestech3	ITS1_20	GR3	B1	bio3	tp2	WT	endophytes	tech3	fungi	WT_endophytes	WT_tp2	endophytes_tp2	WT_endophytes_tp2	B1_bio3	Gr3B1bio3tp2WTendophytestech3
Gr3B1bio3tp2WTendophytestech4	ITS1_21	GR3	B1	bio3	tp2	WT	endophytes	tech4	fungi	WT_endophytes	WT_tp2	endophytes_tp2	WT_endophytes_tp2	B1_bio3	Gr3B1bio3tp2WTendophytestech4
Gr3B1bio3tp2wrkyendophytestech1	ITS1_26	GR3	B1	bio3	tp2	wrky3340	endophytes	tech1	fungi	wrky3340_endophytes	wrky3340_tp2	endophytes_tp2	wrky3340_endophytes_tp2	B1_bio3	Gr3B1bio3tp2wrkyendophytestech1
Gr3B1bio3tp2wrkyendophytestech2	ITS1_27	GR3	B1	bio3	tp2	wrky3340	endophytes	tech2	fungi	wrky3340_endophytes	wrky3340_tp2	endophytes_tp2	wrky3340_endophytes_tp2	B1_bio3	Gr3B1bio3tp2wrkyendophytestech2
Gr3B1bio3tp2wrkyendophytestech3	ITS1_28	GR3	B1	bio3	tp2	wrky3340	endophytes	tech3	fungi	wrky3340_endophytes	wrky3340_tp2	endophytes_tp2	wrky3340_endophytes_tp2	B1_bio3	Gr3B1bio3tp2wrkyendophytestech3
Gr3B1bio3tp2wrkyendophytestech4	ITS1_29	GR3	B1	bio3	tp2	wrky3340	endophytes	tech4	fungi	wrky3340_endophytes	wrky3340_tp2	endophytes_tp2	wrky3340_endophytes_tp2	B1_bio3	Gr3B1bio3tp2wrkyendophytestech4
Gr3B1bio3tp2efcendophytestech1	ITS1_30	GR3	B1	bio3	tp2	efc	endophytes	tech1	fungi	efc_endophytes	efc_tp2	endophytes_tp2	efc_endophytes_tp2	B1_bio3	Gr3B1bio3tp2efcendophytestech1
Gr3B1bio3tp2efcendophytestech2	ITS1_31	GR3	B1	bio3	tp2	efc	endophytes	tech2	fungi	efc_endophytes	efc_tp2	endophytes_tp2	efc_endophytes_tp2	B1_bio3	Gr3B1bio3tp2efcendophytestech2
Gr3B1bio3tp2efcendophytestech3	ITS1_32	GR3	B1	bio3	tp2	efc	endophytes	tech3	fungi	efc_endophytes	efc_tp2	endophytes_tp2	efc_endophytes_tp2	B1_bio3	Gr3B1bio3tp2efcendophytestech3
Gr3B1bio3tp2efcendophytestech4	ITS1_33	GR3	B1	bio3	tp2	efc	endophytes	tech4	fungi	efc_endophytes	efc_tp2	endophytes_tp2	efc_endophytes_tp2	B1_bio3	Gr3B1bio3tp2efcendophytestech4
Gr3B1bio3tp2bbendophytestech1	ITS1_34	GR3	B1	bio3	tp2	bb	endophytes	tech1	fungi	bb_endophytes	bb_tp2	endophytes_tp2	bb_endophytes_tp2	B1_bio3	Gr3B1bio3tp2bbendophytestech1
Gr3B1bio3tp2bbendophytestech2	ITS1_35	GR3	B1	bio3	tp2	bb	endophytes	tech2	fungi	bb_endophytes	bb_tp2	endophytes_tp2	bb_endophytes_tp2	B1_bio3	Gr3B1bio3tp2bbendophytestech2
Gr3B1bio3tp2bbendophytestech3	ITS1_36	GR3	B1	bio3	tp2	bb	endophytes	tech3	fungi	bb_endophytes	bb_tp2	endophytes_tp2	bb_endophytes_tp2	B1_bio3	Gr3B1bio3tp2bbendophytestech3
Gr3B1bio3tp2bbendophytestech4	ITS1_37	GR3	B1	bio3	tp2	bb	endophytes	tech4	fungi	bb_endophytes	bb_tp2	endophytes_tp2	bb_endophytes_tp2	B1_bio3	Gr3B1bio3tp2bbendophytestech4
Gr3B1bio3tp2cyp79endophytestech1	ITS1_38	GR3	B1	bio3	tp2	cyp79	endophytes	tech1	fungi	cyp79_endophytes	cyp79_tp2	endophytes_tp2	cyp79_endophytes_tp2	B1_bio3	Gr3B1bio3tp2cyp79endophytestech1
Gr3B1bio3tp2cyp79endophytestech2	ITS1_39	GR3	B1	bio3	tp2	cyp79	endophytes	tech2	fungi	cyp79_endophytes	cyp79_tp2	endophytes_tp2	cyp79_endophytes_tp2	B1_bio3	Gr3B1bio3tp2cyp79endophytestech2
Gr3B1bio3tp2cyp79endophytestech3	ITS1_40	GR3	B1	bio3	tp2	cyp79	endophytes	tech3	fungi	cyp79_endophytes	cyp79_tp2	endophytes_tp2	cyp79_endophytes_tp2	B1_bio3	Gr3B1bio3tp2cyp79endophytestech3
Gr3B1bio3tp2cyp79endophytestech4	ITS1_41	GR3	B1	bio3	tp2	cyp79	endophytes	tech4	fungi	cyp79_endophytes	cyp79_tp2	endophytes_tp2	cyp79_endophytes_tp2	B1_bio3	Gr3B1bio3tp2cyp79endophytestech4
Gr3B1bio3tp2depsendophytestech1	ITS1_42	GR3	B1	bio3	tp2	deps	endophytes	tech1	fungi	deps_endophytes	deps_tp2	endophytes_tp2	deps_endophytes_tp2	B1_bio3	Gr3B1bio3tp2depsendophytestech1
Gr3B1bio3tp2depsendophytestech2	ITS1_43	GR3	B1	bio3	tp2	deps	endophytes	tech2	fungi	deps_endophytes	deps_tp2	endophytes_tp2	deps_endophytes_tp2	B1_bio3	Gr3B1bio3tp2depsendophytestech2
Gr3B1bio3tp2depsendophytestech3	ITS1_44	GR3	B1	bio3	tp2	deps	endophytes	tech3	fungi	deps_endophytes	deps_tp2	endophytes_tp2	deps_endophytes_tp2	B1_bio3	Gr3B1bio3tp2depsendophytestech3
Gr3B1bio3tp2depsendophytestech4	ITS1_45	GR3	B1	bio3	tp2	deps	endophytes	tech4	fungi	deps_endophytes	deps_tp2	endophytes_tp2	deps_endophytes_tp2	B1_bio3	Gr3B1bio3tp2depsendophytestech4
Gr3B1bio3tp2pad4endophytestech1	ITS1_50	GR3	B1	bio3	tp2	pad4	endophytes	tech1	fungi	pad4_endophytes	pad4_tp2	endophytes_tp2	pad4_endophytes_tp2	B1_bio3	Gr3B1bio3tp2pad4endophytestech1
Gr3B1bio3tp2pad4endophytestech2	ITS1_51	GR3	B1	bio3	tp2	pad4	endophytes	tech2	fungi	pad4_endophytes	pad4_tp2	endophytes_tp2	pad4_endophytes_tp2	B1_bio3	Gr3B1bio3tp2pad4endophytestech2
Gr3B1bio3tp2pad4endophytestech3	ITS1_52	GR3	B1	bio3	tp2	pad4	endophytes	tech3	fungi	pad4_endophytes	pad4_tp2	endophytes_tp2	pad4_endophytes_tp2	B1_bio3	Gr3B1bio3tp2pad4endophytestech3
Gr3B1bio3tp2pad4endophytestech4	ITS1_53	GR3	B1	bio3	tp2	pad4	endophytes	tech4	fungi	pad4_endophytes	pad4_tp2	endophytes_tp2	pad4_endophytes_tp2	B1_bio3	Gr3B1bio3tp2pad4endophytestech4
Gr3B1bio3tp2rar1endophytestech1	ITS1_54	GR3	B1	bio3	tp2	rar1	endophytes	tech1	fungi	rar1_endophytes	rar1_tp2	endophytes_tp2	rar1_endophytes_tp2	B1_bio3	Gr3B1bio3tp2rar1endophytestech1
Gr3B1bio3tp2rar1endophytestech2	ITS1_55	GR3	B1	bio3	tp2	rar1	endophytes	tech2	fungi	rar1_endophytes	rar1_tp2	endophytes_tp2	rar1_endophytes_tp2	B1_bio3	Gr3B1bio3tp2rar1endophytestech2
Gr3B1bio3tp2rar1endophytestech3	ITS1_56	GR3	B1	bio3	tp2	rar1	endophytes	tech3	fungi	rar1_endophytes	rar1_tp2	endophytes_tp2	rar1_endophytes_tp2	B1_bio3	Gr3B1bio3tp2rar1endophytestech3
Gr3B1bio3tp2rar1endophytestech4	ITS1_57	GR3	B1	bio3	tp2	rar1	endophytes	tech4	fungi	rar1_endophytes	rar1_tp2	endophytes_tp2	rar1_endophytes_tp2	B1_bio3	Gr3B1bio3tp2rar1endophytestech4
GR4B2bio1tp1WT_newendophytestech1fungi	ITS1_1	GR4	B2	bio1	tp1	WT_new	endophytes	tech1	fungi	WT_new_endophytes	WT_new_tp1	endophytes_tp1	WT_new_endophytes_tp1	B2_bio1	GR4B2bio1tp1WT_newendophytestech1fungi
GR4B2bio1tp1WT_newendophytestech2fungi	ITS1_2	GR4	B2	bio1	tp1	WT_new	endophytes	tech2	fungi	WT_new_endophytes	WT_new_tp1	endophytes_tp1	WT_new_endophytes_tp1	B2_bio1	GR4B2bio1tp1WT_newendophytestech2fungi
GR4B2bio1tp1WT_newendophytestech3fungi	ITS1_3	GR4	B2	bio1	tp1	WT_new	endophytes	tech3	fungi	WT_new_endophytes	WT_new_tp1	endophytes_tp1	WT_new_endophytes_tp1	B2_bio1	GR4B2bio1tp1WT_newendophytestech3fungi
GR4B2bio1tp1WT_newendophytestech4fungi	ITS1_4	GR4	B2	bio1	tp1	WT_new	endophytes	tech4	fungi	WT_new_endophytes	WT_new_tp1	endophytes_tp1	WT_new_endophytes_tp1	B2_bio1	GR4B2bio1tp1WT_newendophytestech4fungi
GR4B2bio1tp1wrky33endophytestech1fungi	ITS1_5	GR4	B2	bio1	tp1	wrky33	endophytes	tech1	fungi	wrky33_endophytes	wrky33_tp1	endophytes_tp1	wrky33_endophytes_tp1	B2_bio1	GR4B2bio1tp1wrky33endophytestech1fungi
GR4B2bio1tp1wrky33endophytestech2fungi	ITS1_6	GR4	B2	bio1	tp1	wrky33	endophytes	tech2	fungi	wrky33_endophytes	wrky33_tp1	endophytes_tp1	wrky33_endophytes_tp1	B2_bio1	GR4B2bio1tp1wrky33endophytestech2fungi
GR4B2bio1tp1wrky33endophytestech3fungi	ITS1_7	GR4	B2	bio1	tp1	wrky33	endophytes	tech3	fungi	wrky33_endophytes	wrky33_tp1	endophytes_tp1	wrky33_endophytes_tp1	B2_bio1	GR4B2bio1tp1wrky33endophytestech3fungi
GR4B2bio1tp1wrky33endophytestech4fungi	ITS1_8	GR4	B2	bio1	tp1	wrky33	endophytes	tech4	fungi	wrky33_endophytes	wrky33_tp1	endophytes_tp1	wrky33_endophytes_tp1	B2_bio1	GR4B2bio1tp1wrky33endophytestech4fungi
GR4B2bio1tp1wrky40endophytestech1fungi	ITS1_9	GR4	B2	bio1	tp1	wrky40	endophytes	tech1	fungi	wrky40_endophytes	wrky40_tp1	endophytes_tp1	wrky40_endophytes_tp1	B2_bio1	GR4B2bio1tp1wrky40endophytestech1fungi
GR4B2bio1tp1wrky40endophytestech2fungi	ITS1_10	GR4	B2	bio1	tp1	wrky40	endophytes	tech2	fungi	wrky40_endophytes	wrky40_tp1	endophytes_tp1	wrky40_endophytes_tp1	B2_bio1	GR4B2bio1tp1wrky40endophytestech2fungi
GR4B2bio1tp1wrky40endophytestech3fungi	ITS1_11	GR4	B2	bio1	tp1	wrky40	endophytes	tech3	fungi	wrky40_endophytes	wrky40_tp1	endophytes_tp1	wrky40_endophytes_tp1	B2_bio1	GR4B2bio1tp1wrky40endophytestech3fungi
GR4B2bio1tp1wrky40endophytestech4fungi	ITS1_12	GR4	B2	bio1	tp1	wrky40	endophytes	tech4	fungi	wrky40_endophytes	wrky40_tp1	endophytes_tp1	wrky40_endophytes_tp1	B2_bio1	GR4B2bio1tp1wrky40endophytestech4fungi
GR4B2bio1tp1lyk5endophytestech1fungi	ITS1_13	GR4	B2	bio1	tp1	lyk5	endophytes	tech1	fungi	lyk5_endophytes	lyk5_tp1	endophytes_tp1	lyk5_endophytes_tp1	B2_bio1	GR4B2bio1tp1lyk5endophytestech1fungi
GR4B2bio1tp1lyk5endophytestech2fungi	ITS1_14	GR4	B2	bio1	tp1	lyk5	endophytes	tech2	fungi	lyk5_endophytes	lyk5_tp1	endophytes_tp1	lyk5_endophytes_tp1	B2_bio1	GR4B2bio1tp1lyk5endophytestech2fungi
GR4B2bio1tp1lyk5endophytestech3fungi	ITS1_15	GR4	B2	bio1	tp1	lyk5	endophytes	tech3	fungi	lyk5_endophytes	lyk5_tp1	endophytes_tp1	lyk5_endophytes_tp1	B2_bio1	GR4B2bio1tp1lyk5endophytestech3fungi
GR4B2bio1tp1lyk5endophytestech4fungi	ITS1_16	GR4	B2	bio1	tp1	lyk5	endophytes	tech4	fungi	lyk5_endophytes	lyk5_tp1	endophytes_tp1	lyk5_endophytes_tp1	B2_bio1	GR4B2bio1tp1lyk5endophytestech4fungi
GR4B2bio1tp1bbcendophytestech1fungi	ITS1_17	GR4	B2	bio1	tp1	bbc	endophytes	tech1	fungi	bbc_endophytes	bbc_tp1	endophytes_tp1	bbc_endophytes_tp1	B2_bio1	GR4B2bio1tp1bbcendophytestech1fungi
GR4B2bio1tp1bbcendophytestech2fungi	ITS1_18	GR4	B2	bio1	tp1	bbc	endophytes	tech2	fungi	bbc_endophytes	bbc_tp1	endophytes_tp1	bbc_endophytes_tp1	B2_bio1	GR4B2bio1tp1bbcendophytestech2fungi
GR4B2bio1tp1bbcendophytestech3fungi	ITS1_19	GR4	B2	bio1	tp1	bbc	endophytes	tech3	fungi	bbc_endophytes	bbc_tp1	endophytes_tp1	bbc_endophytes_tp1	B2_bio1	GR4B2bio1tp1bbcendophytestech3fungi
GR4B2bio1tp1bbcendophytestech4fungi	ITS1_20	GR4	B2	bio1	tp1	bbc	endophytes	tech4	fungi	bbc_endophytes	bbc_tp1	endophytes_tp1	bbc_endophytes_tp1	B2_bio1	GR4B2bio1tp1bbcendophytestech4fungi
GR4B2bio1tp1apex1endophytestech1fungi	ITS1_21	GR4	B2	bio1	tp1	apex1	endophytes	tech1	fungi	apex1_endophytes	apex1_tp1	endophytes_tp1	apex1_endophytes_tp1	B2_bio1	GR4B2bio1tp1apex1endophytestech1fungi
GR4B2bio1tp1apex1endophytestech2fungi	ITS1_22	GR4	B2	bio1	tp1	apex1	endophytes	tech2	fungi	apex1_endophytes	apex1_tp1	endophytes_tp1	apex1_endophytes_tp1	B2_bio1	GR4B2bio1tp1apex1endophytestech2fungi
GR4B2bio1tp1apex1endophytestech3fungi	ITS1_23	GR4	B2	bio1	tp1	apex1	endophytes	tech3	fungi	apex1_endophytes	apex1_tp1	endophytes_tp1	apex1_endophytes_tp1	B2_bio1	GR4B2bio1tp1apex1endophytestech3fungi
GR4B2bio1tp1apex1endophytestech4fungi	ITS1_24	GR4	B2	bio1	tp1	apex1	endophytes	tech4	fungi	apex1_endophytes	apex1_tp1	endophytes_tp1	apex1_endophytes_tp1	B2_bio1	GR4B2bio1tp1apex1endophytestech4fungi
GR4B2bio1tp1apex2endophytestech1fungi	ITS1_25	GR4	B2	bio1	tp1	apex2	endophytes	tech1	fungi	apex2_endophytes	apex2_tp1	endophytes_tp1	apex2_endophytes_tp1	B2_bio1	GR4B2bio1tp1apex2endophytestech1fungi
GR4B2bio1tp1apex2endophytestech2fungi	ITS1_26	GR4	B2	bio1	tp1	apex2	endophytes	tech2	fungi	apex2_endophytes	apex2_tp1	endophytes_tp1	apex2_endophytes_tp1	B2_bio1	GR4B2bio1tp1apex2endophytestech2fungi
GR4B2bio1tp1apex2endophytestech3fungi	ITS1_27	GR4	B2	bio1	tp1	apex2	endophytes	tech3	fungi	apex2_endophytes	apex2_tp1	endophytes_tp1	apex2_endophytes_tp1	B2_bio1	GR4B2bio1tp1apex2endophytestech3fungi
GR4B2bio1tp1apex2endophytestech4fungi	ITS1_28	GR4	B2	bio1	tp1	apex2	endophytes	tech4	fungi	apex2_endophytes	apex2_tp1	endophytes_tp1	apex2_endophytes_tp1	B2_bio1	GR4B2bio1tp1apex2endophytestech4fungi
