experiment,genotype,ITS_UBQ_ref,ITS_UBQ_ref_norm,experimentgenotype
B2,35SBRI,0.066642142,0.301275506329114,B235SBRI
B2,apex1,0.013263625,0.0599621383363472,B2apex1
B2,apex1,0.674853278,3.05087377034358,B2apex1
B2,apex1,0.132101904,0.597205714285714,B2apex1
B2,apex1,0.008197929,0.0370611618444846,B2apex1
B2,apex1,0.044904021,0.203001903254973,B2apex1
B2,apex1,0.337130699,1.52409900090416,B2apex1
B2,apex1,0.114631561,0.518225863471971,B2apex1
B2,apex1,0.017772693,0.0803467133815551,B2apex1
B2,apex1,0.363803668,1.64468204339964,B2apex1
B2,apex1,0.013670114,0.0617997920433996,B2apex1
B2,apex1,0.293402749,1.32641387432188,B2apex1
B2,apex1,0.082477484,0.372863851717902,B2apex1
B2,apex2,0.343603923,1.5533631238698,B2apex2
B2,apex2,1.114564979,5.0387205198915,B2apex2
B2,apex2,0.114666636,0.518384430379747,B2apex2
B2,apex2,1.045351597,4.72582096292948,B2apex2
B2,apex2,0.155573087,0.703314136528029,B2apex2
B2,apex2,0.034923191,0.157880610307414,B2apex2
B2,apex2,0.008297697,0.0375121925858951,B2apex2
B2,apex2,0.151887561,0.686652626582278,B2apex2
B2,apex2,0.797684636,3.60616924050633,B2apex2
B2,apex2,0.06089803,0.275307549728752,B2apex2
B2,apex2,0.071808636,0.324632169981917,B2apex2
B2,apex2,0.016028807,0.0724629611211573,B2apex2
B2,apex3,1.539365313,6.95915602622061,B2apex3
B2,apex3,0.124622429,0.563392536166365,B2apex3
B2,apex3,0.273084838,1.23456075045208,B2apex3
B2,apex3,0.040433009,0.182789371609403,B2apex3
B2,apex3,0.003467967,0.0156779701627486,B2apex3
B2,apex3,0.498504161,2.25363544755877,B2apex3
B2,apex3,0.001112377,0.00502882911392405,B2apex3
B2,apex3,0.001228144,0.00555218806509946,B2apex3
B2,apex3,0.014471634,0.0654233001808318,B2apex3
B2,apex3,0.052923486,0.239256265822785,B2apex3
B2,apex3,0.010635644,0.0480815732368897,B2apex3
B2,apex3,0.121070157,0.547333440325497,B2apex3
B2,bbc,0.008292881,0.0374904204339964,B2bbc
B2,bbc,2.105745096,9.51964329113924,B2bbc
B2,bbc,0.553089567,2.50040491410488,B2bbc
B2,bbc,0.115769542,0.523370443037975,B2bbc
B2,bbc,0.005658839,0.0255824547920434,B2bbc
B2,bbc,0.235728472,1.06568025316456,B2bbc
B2,bbc,0.005160386,0.0233290506329114,B2bbc
B2,bbc,0.012365275,0.0559008815551537,B2bbc
B2,bbc,0.047747393,0.215856207052441,B2bbc
B2,bbc,0.058848883,0.266043774864376,B2bbc
B2,bbc,0.01759068,0.079523869801085,B2bbc
B2,bbc,1.409676448,6.3728591681736,B2bbc
B2,bri301,0.455402253,2.05878052893309,B2bri301
B2,bri301,1.774503502,8.02216773056058,B2bri301
B2,bri301,5.632190308,25.4619815009042,B2bri301
B2,bri301,4.918353719,22.2348721473779,B2bri301
B2,bri301,1.086614745,4.91236322332731,B2bri301
B2,bri301,0.23713411,1.07203485533454,B2bri301
B2,bri301,0.078120335,0.353166071428571,B2bri301
B2,bri301,0.110677402,0.500349918625678,B2bri301
B2,bri301,0.014222361,0.0642963878842676,B2bri301
B2,bri301,0.020067461,0.090720890596745,B2bri301
B2,bri301,0.009599021,0.043395212477396,B2bri301
B2,bri301,0.028530881,0.128982283001808,B2bri301
B2,lyk5,0.830542622,3.75471348101266,B2lyk5
B2,lyk5,1.578646235,7.13673704792043,B2lyk5
B2,lyk5,0.382548284,1.72942262206148,B2lyk5
B2,lyk5,0.269783407,1.21963565551537,B2lyk5
B2,lyk5,0.026016352,0.117614611211573,B2lyk5
B2,lyk5,0.619744185,2.80173682188065,B2lyk5
B2,lyk5,0.011494011,0.051962075045208,B2lyk5
B2,lyk5,0.890179148,4.02431802893309,B2lyk5
B2,lyk5,0.406765355,1.83890305153707,B2lyk5
B2,lyk5,0.025154882,0.113720081374322,B2lyk5
B2,lyk5,0.002338365,0.0105712703435805,B2lyk5
B2,lyk5,0.167686384,0.758075877034358,B2lyk5
B2,wrky33,0.021198025,0.0958319394213381,B2wrky33
B2,wrky33,0.064791541,0.292909317359855,B2wrky33
B2,wrky33,0.195297203,0.882898747739602,B2wrky33
B2,wrky33,0.038901732,0.17586678119349,B2wrky33
B2,wrky33,0.080815679,0.365351170886076,B2wrky33
B2,wrky33,0.008320819,0.0376167224231465,B2wrky33
B2,wrky33,0.517386365,2.33899803345389,B2wrky33
B2,wrky33,0.007906451,0.0357434493670886,B2wrky33
B2,wrky33,0.004228804,0.0191175587703436,B2wrky33
B2,wrky33,0.314195977,1.42041580922242,B2wrky33
B2,wrky33,0.030220321,0.1366198960217,B2wrky33
B2,wrky33,0.019048259,0.0861132866184448,B2wrky33
B2,wrky40,0.405913053,1.83504996835443,B2wrky40
B2,wrky40,0.303436781,1.37177568264014,B2wrky40
B2,wrky40,0.064665691,0.29234037522604,B2wrky40
B2,wrky40,0.093743396,0.423794737793852,B2wrky40
B2,wrky40,0.024724627,0.111774986437613,B2wrky40
B2,wrky40,0.017420979,0.0787566862567812,B2wrky40
B2,wrky40,0.046208407,0.208898765822785,B2wrky40
B2,wrky40,0.031433237,0.142103241410488,B2wrky40
B2,wrky40,0.003158113,0.0142771835443038,B2wrky40
B2,wrky40,0.004665105,0.021089986437613,B2wrky40
B2,wrky40,0.026726809,0.120826442133816,B2wrky40
B2,wrky40,0.017839142,0.0806471157323689,B2wrky40
B2,WT,0.152472441,0.68929674954792,BWT
B2,WT,0.897277937,4.0564102034358,BWT
B2,WT,0.151386883,0.684389163652803,BWT
B2,WT,0.045152877,0.204126930379747,BWT
B2,WT,0.115525905,0.52226900994575,BWT
B2,WT,0.17849742,0.806950361663653,BWT
B2,WT,0.056235496,0.254229186256781,BWT
B2,WT,0.006212309,0.0280845795660036,BWT
B2,WT,0.046005179,0.207980013562387,BWT
B2,WT,0.563180312,2.54602311030741,BWT
