barcode_name	location	library	experiment	biological	time_point	genotype	compartment	technical	library_type	genotype_compartment	genotype_time_point	compartment_time_point	genotype_compartment_time_point	experiment_biological	Description
Gr1B1bio1tp1pad4endophytestech2	B5_32	greenhouse	Gr1	B1	bio1	tp1	pad4	endophytes	tech2	bacteria	pad4_endophytes	pad4_tp1	endophytes_tp1	pad4_endophytes_tp1	B1_bio1	Gr1B1bio1t1pad4endophytestech2
Gr1B1bio1tp1pad4endophytestech3	B5_33	greenhouse	Gr1	B1	bio1	tp1	pad4	endophytes	tech3	bacteria	pad4_endophytes	pad4_tp1	endophytes_tp1	pad4_endophytes_tp1	B1_bio1	Gr1B1bio1t1pad4endophytestech3
Gr1B1bio1tp1pad4endophytestech4	B5_34	greenhouse	Gr1	B1	bio1	tp1	pad4	endophytes	tech4	bacteria	pad4_endophytes	pad4_tp1	endophytes_tp1	pad4_endophytes_tp1	B1_bio1	Gr1B1bio1t1pad4endophytestech4
Gr1B1bio1tp1rar1endophytestech1	B5_35	greenhouse	Gr1	B1	bio1	tp1	rar1	endophytes	tech1	bacteria	rar1_endophytes	rar1_tp1	endophytes_tp1	rar1_endophytes_tp1	B1_bio1	Gr1B1bio1t1rar1endophytestech1
Gr1B1bio1tp1rar1endophytestech2	B5_36	greenhouse	Gr1	B1	bio1	tp1	rar1	endophytes	tech2	bacteria	rar1_endophytes	rar1_tp1	endophytes_tp1	rar1_endophytes_tp1	B1_bio1	Gr1B1bio1t1rar1endophytestech2
Gr1B1bio1tp1rar1endophytestech3	B5_37	greenhouse	Gr1	B1	bio1	tp1	rar1	endophytes	tech3	bacteria	rar1_endophytes	rar1_tp1	endophytes_tp1	rar1_endophytes_tp1	B1_bio1	Gr1B1bio1t1rar1endophytestech3
Gr1B1bio1tp1rar1endophytestech4	B5_38	greenhouse	Gr1	B1	bio1	tp1	rar1	endophytes	tech4	bacteria	rar1_endophytes	rar1_tp1	endophytes_tp1	rar1_endophytes_tp1	B1_bio1	Gr1B1bio1t1rar1endophytestech4
Gr1B1bio1tp2WTendophytestech1	B5_39	greenhouse	Gr1	B1	bio1	tp2	WT	endophytes	tech1	bacteria	WT_endophytes	WT_tp2	endophytes_tp2	WT_endophytes_tp2	B1_bio1	Gr1B1bio1t2WTendophytestech1
Gr1B1bio1tp2WTendophytestech2	B5_40	greenhouse	Gr1	B1	bio1	tp2	WT	endophytes	tech2	bacteria	WT_endophytes	WT_tp2	endophytes_tp2	WT_endophytes_tp2	B1_bio1	Gr1B1bio1t2WTendophytestech2
Gr1B1bio1tp2WTendophytestech3	B5_41	greenhouse	Gr1	B1	bio1	tp2	WT	endophytes	tech3	bacteria	WT_endophytes	WT_tp2	endophytes_tp2	WT_endophytes_tp2	B1_bio1	Gr1B1bio1t2WTendophytestech3
