barcode_name	location	library	experiment	biological	time_point	genotype	compartment	technical	library_type	genotype_compartment	genotype_time_point	compartment_time_point	genotype_compartment_time_point	experiment_biological	Description
Gr2B1bio2tp2efcendophytestech1	B5_42	greenhouse	Gr2	B1	bio2	tp2	efc	endophytes	tech1	bacteria	efc_endophytes	efc_tp2	endophytes_tp2	efc_endophytes_tp2	B1_bio2	Gr2B1bio2t2efcendophytestech1
Gr2B1bio2tp2efcendophytestech2	B5_43	greenhouse	Gr2	B1	bio2	tp2	efc	endophytes	tech2	bacteria	efc_endophytes	efc_tp2	endophytes_tp2	efc_endophytes_tp2	B1_bio2	Gr2B1bio2t2efcendophytestech2
Gr2B1bio2tp2efcendophytestech3	B5_44	greenhouse	Gr2	B1	bio2	tp2	efc	endophytes	tech3	bacteria	efc_endophytes	efc_tp2	endophytes_tp2	efc_endophytes_tp2	B1_bio2	Gr2B1bio2t2efcendophytestech3
Gr2B1bio2tp2efcendophytestech4	B5_45	greenhouse	Gr2	B1	bio2	tp2	efc	endophytes	tech4	bacteria	efc_endophytes	efc_tp2	endophytes_tp2	efc_endophytes_tp2	B1_bio2	Gr2B1bio2t2efcendophytestech4
Gr2B1bio2tp2bbendophytestech1	B5_46	greenhouse	Gr2	B1	bio2	tp2	bb	endophytes	tech1	bacteria	bb_endophytes	bb_tp2	endophytes_tp2	bb_endophytes_tp2	B1_bio2	Gr2B1bio2t2bbendophytestech1
Gr2B1bio2tp2bbendophytestech2	B5_47	greenhouse	Gr2	B1	bio2	tp2	bb	endophytes	tech2	bacteria	bb_endophytes	bb_tp2	endophytes_tp2	bb_endophytes_tp2	B1_bio2	Gr2B1bio2t2bbendophytestech2
Gr2B1bio2tp2bbendophytestech3	B5_48	greenhouse	Gr2	B1	bio2	tp2	bb	endophytes	tech3	bacteria	bb_endophytes	bb_tp2	endophytes_tp2	bb_endophytes_tp2	B1_bio2	Gr2B1bio2t2bbendophytestech3
Gr2B1bio2tp2bbendophytestech4	B5_49	greenhouse	Gr2	B1	bio2	tp2	bb	endophytes	tech4	bacteria	bb_endophytes	bb_tp2	endophytes_tp2	bb_endophytes_tp2	B1_bio2	Gr2B1bio2t2bbendophytestech4
Gr2B1bio2tp2cyp79endophytestech1	B5_50	greenhouse	Gr2	B1	bio2	tp2	cyp79	endophytes	tech1	bacteria	cyp79_endophytes	cyp79_tp2	endophytes_tp2	cyp79_endophytes_tp2	B1_bio2	Gr2B1bio2t2cyp79endophytestech1
Gr2B1bio2tp2cyp79endophytestech2	B5_51	greenhouse	Gr2	B1	bio2	tp2	cyp79	endophytes	tech2	bacteria	cyp79_endophytes	cyp79_tp2	endophytes_tp2	cyp79_endophytes_tp2	B1_bio2	Gr2B1bio2t2cyp79endophytestech2
Gr2B1bio2tp2cyp79endophytestech3	B5_52	greenhouse	Gr2	B1	bio2	tp2	cyp79	endophytes	tech3	bacteria	cyp79_endophytes	cyp79_tp2	endophytes_tp2	cyp79_endophytes_tp2	B1_bio2	Gr2B1bio2t2cyp79endophytestech3
Gr2B1bio2tp2cyp79endophytestech4	B5_53	greenhouse	Gr2	B1	bio2	tp2	cyp79	endophytes	tech4	bacteria	cyp79_endophytes	cyp79_tp2	endophytes_tp2	cyp79_endophytes_tp2	B1_bio2	Gr2B1bio2t2cyp79endophytestech4
Gr2B1bio2tp2pad4endophytestech1	B5_58	greenhouse	Gr2	B1	bio2	tp2	pad4	endophytes	tech1	bacteria	pad4_endophytes	pad4_tp2	endophytes_tp2	pad4_endophytes_tp2	B1_bio2	Gr2B1bio2t2pad4endophytestech1
Gr2B1bio2tp2pad4endophytestech2	B5_59	greenhouse	Gr2	B1	bio2	tp2	pad4	endophytes	tech2	bacteria	pad4_endophytes	pad4_tp2	endophytes_tp2	pad4_endophytes_tp2	B1_bio2	Gr2B1bio2t2pad4endophytestech2
Gr2B1bio2tp2pad4endophytestech3	B5_60	greenhouse	Gr2	B1	bio2	tp2	pad4	endophytes	tech3	bacteria	pad4_endophytes	pad4_tp2	endophytes_tp2	pad4_endophytes_tp2	B1_bio2	Gr2B1bio2t2pad4endophytestech3
Gr2B1bio2tp2pad4endophytestech4	B5_61	greenhouse	Gr2	B1	bio2	tp2	pad4	endophytes	tech4	bacteria	pad4_endophytes	pad4_tp2	endophytes_tp2	pad4_endophytes_tp2	B1_bio2	Gr2B1bio2t2pad4endophytestech4
Gr2B1bio2tp2rar1endophytestech1	B5_62	greenhouse	Gr2	B1	bio2	tp2	rar1	endophytes	tech1	bacteria	rar1_endophytes	rar1_tp2	endophytes_tp2	rar1_endophytes_tp2	B1_bio2	Gr2B1bio2t2rar1endophytestech1
Gr2B1bio2tp2rar1endophytestech2	B5_63	greenhouse	Gr2	B1	bio2	tp2	rar1	endophytes	tech2	bacteria	rar1_endophytes	rar1_tp2	endophytes_tp2	rar1_endophytes_tp2	B1_bio2	Gr2B1bio2t2rar1endophytestech2
Gr2B1bio2tp2rar1endophytestech3	B5_64	greenhouse	Gr2	B1	bio2	tp2	rar1	endophytes	tech3	bacteria	rar1_endophytes	rar1_tp2	endophytes_tp2	rar1_endophytes_tp2	B1_bio2	Gr2B1bio2t2rar1endophytestech3
Gr2B1bio2tp2rar1endophytestech4	B5_65	greenhouse	Gr2	B1	bio2	tp2	rar1	endophytes	tech4	bacteria	rar1_endophytes	rar1_tp2	endophytes_tp2	rar1_endophytes_tp2	B1_bio2	Gr2B1bio2t2rar1endophytestech4
Gr2B1bio3tp1WTendophytestech1	B5_70	greenhouse	Gr2	B1	bio3	tp1	WT	endophytes	tech1	bacteria	WT_endophytes	WT_tp1	endophytes_tp1	WT_endophytes_tp1	B1_bio3	Gr2B1bio3t1WTendophytestech1
Gr2B1bio3tp1WTendophytestech2	B5_71	greenhouse	Gr2	B1	bio3	tp1	WT	endophytes	tech2	bacteria	WT_endophytes	WT_tp1	endophytes_tp1	WT_endophytes_tp1	B1_bio3	Gr2B1bio3t1WTendophytestech2
Gr2B1bio3tp1WTendophytestech3	B5_72	greenhouse	Gr2	B1	bio3	tp1	WT	endophytes	tech3	bacteria	WT_endophytes	WT_tp1	endophytes_tp1	WT_endophytes_tp1	B1_bio3	Gr2B1bio3t1WTendophytestech3
Gr2B1bio3tp1WTendophytestech4	B5_73	greenhouse	Gr2	B1	bio3	tp1	WT	endophytes	tech4	bacteria	WT_endophytes	WT_tp1	endophytes_tp1	WT_endophytes_tp1	B1_bio3	Gr2B1bio3t1WTendophytestech4
Gr2B1bio3tp1wrkyendophytestech1	B5_78	greenhouse	Gr2	B1	bio3	tp1	wrky3340	endophytes	tech1	bacteria	wrky3340_endophytes	wrky3340_tp1	endophytes_tp1	wrky3340_endophytes_tp1	B1_bio3	Gr2B1bio3t1wrkyendophytestech1
Gr2B1bio3tp1wrkyendophytestech2	B5_79	greenhouse	Gr2	B1	bio3	tp1	wrky3340	endophytes	tech2	bacteria	wrky3340_endophytes	wrky3340_tp1	endophytes_tp1	wrky3340_endophytes_tp1	B1_bio3	Gr2B1bio3t1wrkyendophytestech2
Gr2B1bio3tp1wrkyendophytestech3	B5_80	greenhouse	Gr2	B1	bio3	tp1	wrky3340	endophytes	tech3	bacteria	wrky3340_endophytes	wrky3340_tp1	endophytes_tp1	wrky3340_endophytes_tp1	B1_bio3	Gr2B1bio3t1wrkyendophytestech3
Gr2B1bio3tp1wrkyendophytestech4	B5_81	greenhouse	Gr2	B1	bio3	tp1	wrky3340	endophytes	tech4	bacteria	wrky3340_endophytes	wrky3340_tp1	endophytes_tp1	wrky3340_endophytes_tp1	B1_bio3	Gr2B1bio3t1wrkyendophytestech4
Gr2B1bio3tp1efcendophytestech1	B5_82	greenhouse	Gr2	B1	bio3	tp1	efc	endophytes	tech1	bacteria	efc_endophytes	efc_tp1	endophytes_tp1	efc_endophytes_tp1	B1_bio3	Gr2B1bio3t1efcendophytestech1
Gr2B1bio3tp1efcendophytestech2	B5_83	greenhouse	Gr2	B1	bio3	tp1	efc	endophytes	tech2	bacteria	efc_endophytes	efc_tp1	endophytes_tp1	efc_endophytes_tp1	B1_bio3	Gr2B1bio3t1efcendophytestech2
Gr2B1bio3tp1efcendophytestech3	B5_84	greenhouse	Gr2	B1	bio3	tp1	efc	endophytes	tech3	bacteria	efc_endophytes	efc_tp1	endophytes_tp1	efc_endophytes_tp1	B1_bio3	Gr2B1bio3t1efcendophytestech3
Gr2B1bio3tp1efcendophytestech4	B5_85	greenhouse	Gr2	B1	bio3	tp1	efc	endophytes	tech4	bacteria	efc_endophytes	efc_tp1	endophytes_tp1	efc_endophytes_tp1	B1_bio3	Gr2B1bio3t1efcendophytestech4
Gr2B1bio3tp1bbendophytestech1	B5_86	greenhouse	Gr2	B1	bio3	tp1	bb	endophytes	tech1	bacteria	bb_endophytes	bb_tp1	endophytes_tp1	bb_endophytes_tp1	B1_bio3	Gr2B1bio3t1bbendophytestech1
Gr2B1bio3tp1bbendophytestech2	B5_87	greenhouse	Gr2	B1	bio3	tp1	bb	endophytes	tech2	bacteria	bb_endophytes	bb_tp1	endophytes_tp1	bb_endophytes_tp1	B1_bio3	Gr2B1bio3t1bbendophytestech2
Gr2B1bio3tp1bbendophytestech3	B5_88	greenhouse	Gr2	B1	bio3	tp1	bb	endophytes	tech3	bacteria	bb_endophytes	bb_tp1	endophytes_tp1	bb_endophytes_tp1	B1_bio3	Gr2B1bio3t1bbendophytestech3
Gr2B1bio3tp1bbendophytestech4	B5_89	greenhouse	Gr2	B1	bio3	tp1	bb	endophytes	tech4	bacteria	bb_endophytes	bb_tp1	endophytes_tp1	bb_endophytes_tp1	B1_bio3	Gr2B1bio3t1bbendophytestech4
Gr2B1bio3tp1cyp79endophytestech1	B5_90	greenhouse	Gr2	B1	bio3	tp1	cyp79	endophytes	tech1	bacteria	cyp79_endophytes	cyp79_tp1	endophytes_tp1	cyp79_endophytes_tp1	B1_bio3	Gr2B1bio3t1cyp79endophytestech1
Gr2B1bio3tp1cyp79endophytestech2	B5_91	greenhouse	Gr2	B1	bio3	tp1	cyp79	endophytes	tech2	bacteria	cyp79_endophytes	cyp79_tp1	endophytes_tp1	cyp79_endophytes_tp1	B1_bio3	Gr2B1bio3t1cyp79endophytestech2
Gr2B1bio3tp1cyp79endophytestech3	B5_92	greenhouse	Gr2	B1	bio3	tp1	cyp79	endophytes	tech3	bacteria	cyp79_endophytes	cyp79_tp1	endophytes_tp1	cyp79_endophytes_tp1	B1_bio3	Gr2B1bio3t1cyp79endophytestech3
Gr2B1bio3tp1cyp79endophytestech4	B5_93	greenhouse	Gr2	B1	bio3	tp1	cyp79	endophytes	tech4	bacteria	cyp79_endophytes	cyp79_tp1	endophytes_tp1	cyp79_endophytes_tp1	B1_bio3	Gr2B1bio3t1cyp79endophytestech4
Gr2B1bio3tp1depsendophytestech1	B5_94	greenhouse	Gr2	B1	bio3	tp1	deps	endophytes	tech1	bacteria	deps_endophytes	deps_tp1	endophytes_tp1	deps_endophytes_tp1	B1_bio3	Gr2B1bio3t1depsendophytestech1
Gr2B1bio3tp1depsendophytestech2	B5_95	greenhouse	Gr2	B1	bio3	tp1	deps	endophytes	tech2	bacteria	deps_endophytes	deps_tp1	endophytes_tp1	deps_endophytes_tp1	B1_bio3	Gr2B1bio3t1depsendophytestech2
Gr2B1bio3tp1depsendophytestech3	B5_96	greenhouse	Gr2	B1	bio3	tp1	deps	endophytes	tech3	bacteria	deps_endophytes	deps_tp1	endophytes_tp1	deps_endophytes_tp1	B1_bio3	Gr2B1bio3t1depsendophytestech3
Gr3B1bio3tp1depsendophytestech4	B5_1	greenhouse	Gr3	B1	bio3	tp1	deps	endophytes	tech4	bacteria	deps_endophytes	deps_tp1	endophytes_tp1	deps_endophytes_tp1	B1_bio3	Gr3B1bio3t1depsendophytestech4
Gr3B1bio3tp1pad4endophytestech1	B5_6	greenhouse	Gr3	B1	bio3	tp1	pad4	endophytes	tech1	bacteria	pad4_endophytes	pad4_tp1	endophytes_tp1	pad4_endophytes_tp1	B1_bio3	Gr3B1bio3t1pad4endophytestech1
Gr3B1bio3tp1pad4endophytestech2	B5_7	greenhouse	Gr3	B1	bio3	tp1	pad4	endophytes	tech2	bacteria	pad4_endophytes	pad4_tp1	endophytes_tp1	pad4_endophytes_tp1	B1_bio3	Gr3B1bio3t1pad4endophytestech2
Gr3B1bio3tp1pad4endophytestech3	B5_8	greenhouse	Gr3	B1	bio3	tp1	pad4	endophytes	tech3	bacteria	pad4_endophytes	pad4_tp1	endophytes_tp1	pad4_endophytes_tp1	B1_bio3	Gr3B1bio3t1pad4endophytestech3
Gr3B1bio3tp1pad4endophytestech4	B5_9	greenhouse	Gr3	B1	bio3	tp1	pad4	endophytes	tech4	bacteria	pad4_endophytes	pad4_tp1	endophytes_tp1	pad4_endophytes_tp1	B1_bio3	Gr3B1bio3t1pad4endophytestech4
Gr3B1bio3tp1rar1endophytestech1	B5_10	greenhouse	Gr3	B1	bio3	tp1	rar1	endophytes	tech1	bacteria	rar1_endophytes	rar1_tp1	endophytes_tp1	rar1_endophytes_tp1	B1_bio3	Gr3B1bio3t1rar1endophytestech1
Gr3B1bio3tp1rar1endophytestech2	B5_11	greenhouse	Gr3	B1	bio3	tp1	rar1	endophytes	tech2	bacteria	rar1_endophytes	rar1_tp1	endophytes_tp1	rar1_endophytes_tp1	B1_bio3	Gr3B1bio3t1rar1endophytestech2
Gr3B1bio3tp1rar1endophytestech3	B5_12	greenhouse	Gr3	B1	bio3	tp1	rar1	endophytes	tech3	bacteria	rar1_endophytes	rar1_tp1	endophytes_tp1	rar1_endophytes_tp1	B1_bio3	Gr3B1bio3t1rar1endophytestech3
Gr3B1bio3tp1rar1endophytestech4	B5_13	greenhouse	Gr3	B1	bio3	tp1	rar1	endophytes	tech4	bacteria	rar1_endophytes	rar1_tp1	endophytes_tp1	rar1_endophytes_tp1	B1_bio3	Gr3B1bio3t1rar1endophytestech4
Gr3B1bio3tp2WTendophytestech1	B5_18	greenhouse	Gr3	B1	bio3	tp2	WT	endophytes	tech1	bacteria	WT_endophytes	WT_tp2	endophytes_tp2	WT_endophytes_tp2	B1_bio3	Gr3B1bio3t2WTendophytestech1
Gr3B1bio3tp2WTendophytestech2	B5_19	greenhouse	Gr3	B1	bio3	tp2	WT	endophytes	tech2	bacteria	WT_endophytes	WT_tp2	endophytes_tp2	WT_endophytes_tp2	B1_bio3	Gr3B1bio3t2WTendophytestech2
Gr3B1bio3tp2WTendophytestech3	B5_20	greenhouse	Gr3	B1	bio3	tp2	WT	endophytes	tech3	bacteria	WT_endophytes	WT_tp2	endophytes_tp2	WT_endophytes_tp2	B1_bio3	Gr3B1bio3t2WTendophytestech3
Gr3B1bio3tp2WTendophytestech4	B5_21	greenhouse	Gr3	B1	bio3	tp2	WT	endophytes	tech4	bacteria	WT_endophytes	WT_tp2	endophytes_tp2	WT_endophytes_tp2	B1_bio3	Gr3B1bio3t2WTendophytestech4
Gr3B1bio3tp2wrkyendophytestech1	B5_26	greenhouse	Gr3	B1	bio3	tp2	wrky3340	endophytes	tech1	bacteria	wrky3340_endophytes	wrky3340_tp2	endophytes_tp2	wrky3340_endophytes_tp2	B1_bio3	Gr3B1bio3t2wrkyendophytestech1
Gr3B1bio3tp2wrkyendophytestech2	B5_27	greenhouse	Gr3	B1	bio3	tp2	wrky3340	endophytes	tech2	bacteria	wrky3340_endophytes	wrky3340_tp2	endophytes_tp2	wrky3340_endophytes_tp2	B1_bio3	Gr3B1bio3t2wrkyendophytestech2
Gr3B1bio3tp2wrkyendophytestech3	B5_28	greenhouse	Gr3	B1	bio3	tp2	wrky3340	endophytes	tech3	bacteria	wrky3340_endophytes	wrky3340_tp2	endophytes_tp2	wrky3340_endophytes_tp2	B1_bio3	Gr3B1bio3t2wrkyendophytestech3
Gr3B1bio3tp2wrkyendophytestech4	B5_29	greenhouse	Gr3	B1	bio3	tp2	wrky3340	endophytes	tech4	bacteria	wrky3340_endophytes	wrky3340_tp2	endophytes_tp2	wrky3340_endophytes_tp2	B1_bio3	Gr3B1bio3t2wrkyendophytestech4
Gr3B1bio3tp2efcendophytestech1	B5_30	greenhouse	Gr3	B1	bio3	tp2	efc	endophytes	tech1	bacteria	efc_endophytes	efc_tp2	endophytes_tp2	efc_endophytes_tp2	B1_bio3	Gr3B1bio3t2efcendophytestech1
Gr3B1bio3tp2efcendophytestech2	B5_31	greenhouse	Gr3	B1	bio3	tp2	efc	endophytes	tech2	bacteria	efc_endophytes	efc_tp2	endophytes_tp2	efc_endophytes_tp2	B1_bio3	Gr3B1bio3t2efcendophytestech2
Gr3B1bio3tp2efcendophytestech3	B5_32	greenhouse	Gr3	B1	bio3	tp2	efc	endophytes	tech3	bacteria	efc_endophytes	efc_tp2	endophytes_tp2	efc_endophytes_tp2	B1_bio3	Gr3B1bio3t2efcendophytestech3
Gr3B1bio3tp2efcendophytestech4	B5_33	greenhouse	Gr3	B1	bio3	tp2	efc	endophytes	tech4	bacteria	efc_endophytes	efc_tp2	endophytes_tp2	efc_endophytes_tp2	B1_bio3	Gr3B1bio3t2efcendophytestech4
Gr3B1bio3tp2bbendophytestech1	B5_34	greenhouse	Gr3	B1	bio3	tp2	bb	endophytes	tech1	bacteria	bb_endophytes	bb_tp2	endophytes_tp2	bb_endophytes_tp2	B1_bio3	Gr3B1bio3t2bbendophytestech1
Gr3B1bio3tp2bbendophytestech2	B5_35	greenhouse	Gr3	B1	bio3	tp2	bb	endophytes	tech2	bacteria	bb_endophytes	bb_tp2	endophytes_tp2	bb_endophytes_tp2	B1_bio3	Gr3B1bio3t2bbendophytestech2
Gr3B1bio3tp2bbendophytestech3	B5_36	greenhouse	Gr3	B1	bio3	tp2	bb	endophytes	tech3	bacteria	bb_endophytes	bb_tp2	endophytes_tp2	bb_endophytes_tp2	B1_bio3	Gr3B1bio3t2bbendophytestech3
Gr3B1bio3tp2bbendophytestech4	B5_37	greenhouse	Gr3	B1	bio3	tp2	bb	endophytes	tech4	bacteria	bb_endophytes	bb_tp2	endophytes_tp2	bb_endophytes_tp2	B1_bio3	Gr3B1bio3t2bbendophytestech4
Gr3B1bio3tp2cyp79endophytestech1	B5_38	greenhouse	Gr3	B1	bio3	tp2	cyp79	endophytes	tech1	bacteria	cyp79_endophytes	cyp79_tp2	endophytes_tp2	cyp79_endophytes_tp2	B1_bio3	Gr3B1bio3t2cyp79endophytestech1
Gr3B1bio3tp2cyp79endophytestech2	B5_39	greenhouse	Gr3	B1	bio3	tp2	cyp79	endophytes	tech2	bacteria	cyp79_endophytes	cyp79_tp2	endophytes_tp2	cyp79_endophytes_tp2	B1_bio3	Gr3B1bio3t2cyp79endophytestech2
Gr3B1bio3tp2cyp79endophytestech3	B5_40	greenhouse	Gr3	B1	bio3	tp2	cyp79	endophytes	tech3	bacteria	cyp79_endophytes	cyp79_tp2	endophytes_tp2	cyp79_endophytes_tp2	B1_bio3	Gr3B1bio3t2cyp79endophytestech3
Gr3B1bio3tp2cyp79endophytestech4	B5_41	greenhouse	Gr3	B1	bio3	tp2	cyp79	endophytes	tech4	bacteria	cyp79_endophytes	cyp79_tp2	endophytes_tp2	cyp79_endophytes_tp2	B1_bio3	Gr3B1bio3t2cyp79endophytestech4
Gr3B1bio3tp2depsendophytestech1	B5_42	greenhouse	Gr3	B1	bio3	tp2	deps	endophytes	tech1	bacteria	deps_endophytes	deps_tp2	endophytes_tp2	deps_endophytes_tp2	B1_bio3	Gr3B1bio3t2depsendophytestech1
Gr3B1bio3tp2depsendophytestech2	B5_43	greenhouse	Gr3	B1	bio3	tp2	deps	endophytes	tech2	bacteria	deps_endophytes	deps_tp2	endophytes_tp2	deps_endophytes_tp2	B1_bio3	Gr3B1bio3t2depsendophytestech2
Gr3B1bio3tp2depsendophytestech3	B5_44	greenhouse	Gr3	B1	bio3	tp2	deps	endophytes	tech3	bacteria	deps_endophytes	deps_tp2	endophytes_tp2	deps_endophytes_tp2	B1_bio3	Gr3B1bio3t2depsendophytestech3
Gr3B1bio3tp2depsendophytestech4	B5_45	greenhouse	Gr3	B1	bio3	tp2	deps	endophytes	tech4	bacteria	deps_endophytes	deps_tp2	endophytes_tp2	deps_endophytes_tp2	B1_bio3	Gr3B1bio3t2depsendophytestech4
Gr3B1bio3tp2pad4endophytestech1	B5_50	greenhouse	Gr3	B1	bio3	tp2	pad4	endophytes	tech1	bacteria	pad4_endophytes	pad4_tp2	endophytes_tp2	pad4_endophytes_tp2	B1_bio3	Gr3B1bio3t2pad4endophytestech1
Gr3B1bio3tp2pad4endophytestech2	B5_51	greenhouse	Gr3	B1	bio3	tp2	pad4	endophytes	tech2	bacteria	pad4_endophytes	pad4_tp2	endophytes_tp2	pad4_endophytes_tp2	B1_bio3	Gr3B1bio3t2pad4endophytestech2
Gr3B1bio3tp2pad4endophytestech3	B5_52	greenhouse	Gr3	B1	bio3	tp2	pad4	endophytes	tech3	bacteria	pad4_endophytes	pad4_tp2	endophytes_tp2	pad4_endophytes_tp2	B1_bio3	Gr3B1bio3t2pad4endophytestech3
Gr3B1bio3tp2pad4endophytestech4	B5_53	greenhouse	Gr3	B1	bio3	tp2	pad4	endophytes	tech4	bacteria	pad4_endophytes	pad4_tp2	endophytes_tp2	pad4_endophytes_tp2	B1_bio3	Gr3B1bio3t2pad4endophytestech4
Gr3B1bio3tp2rar1endophytestech1	B5_54	greenhouse	Gr3	B1	bio3	tp2	rar1	endophytes	tech1	bacteria	rar1_endophytes	rar1_tp2	endophytes_tp2	rar1_endophytes_tp2	B1_bio3	Gr3B1bio3t2rar1endophytestech1
Gr3B1bio3tp2rar1endophytestech2	B5_55	greenhouse	Gr3	B1	bio3	tp2	rar1	endophytes	tech2	bacteria	rar1_endophytes	rar1_tp2	endophytes_tp2	rar1_endophytes_tp2	B1_bio3	Gr3B1bio3t2rar1endophytestech2
Gr3B1bio3tp2rar1endophytestech3	B5_56	greenhouse	Gr3	B1	bio3	tp2	rar1	endophytes	tech3	bacteria	rar1_endophytes	rar1_tp2	endophytes_tp2	rar1_endophytes_tp2	B1_bio3	Gr3B1bio3t2rar1endophytestech3
Gr3B1bio3tp2rar1endophytestech4	B5_57	greenhouse	Gr3	B1	bio3	tp2	rar1	endophytes	tech4	bacteria	rar1_endophytes	rar1_tp2	endophytes_tp2	rar1_endophytes_tp2	B1_bio3	Gr3B1bio3t2rar1endophytestech4
GR4B2bio1tp1WT_newendophytestech1bacteria	B5_1	greenhouse	GR4	B2	bio1	tp1	WT_new	endophytes	tech1	bacteria	WT_new_endophytes	WT_new_tp1	endophytes_tp1	WT_new_endophytes_tp1	B2_bio1	GR4B2bio1tp1WT_newendophytestech1bacteria
GR4B2bio1tp1WT_newendophytestech2bacteria	B5_2	greenhouse	GR4	B2	bio1	tp1	WT_new	endophytes	tech2	bacteria	WT_new_endophytes	WT_new_tp1	endophytes_tp1	WT_new_endophytes_tp1	B2_bio1	GR4B2bio1tp1WT_newendophytestech2bacteria
GR4B2bio1tp1WT_newendophytestech3bacteria	B5_3	greenhouse	GR4	B2	bio1	tp1	WT_new	endophytes	tech3	bacteria	WT_new_endophytes	WT_new_tp1	endophytes_tp1	WT_new_endophytes_tp1	B2_bio1	GR4B2bio1tp1WT_newendophytestech3bacteria
GR4B2bio1tp1WT_newendophytestech4bacteria	B5_4	greenhouse	GR4	B2	bio1	tp1	WT_new	endophytes	tech4	bacteria	WT_new_endophytes	WT_new_tp1	endophytes_tp1	WT_new_endophytes_tp1	B2_bio1	GR4B2bio1tp1WT_newendophytestech4bacteria
GR4B2bio1tp1wrky33endophytestech1bacteria	B5_5	greenhouse	GR4	B2	bio1	tp1	wrky33	endophytes	tech1	bacteria	wrky33_endophytes	wrky33_tp1	endophytes_tp1	wrky33_endophytes_tp1	B2_bio1	GR4B2bio1tp1wrky33endophytestech1bacteria
GR4B2bio1tp1wrky33endophytestech2bacteria	B5_6	greenhouse	GR4	B2	bio1	tp1	wrky33	endophytes	tech2	bacteria	wrky33_endophytes	wrky33_tp1	endophytes_tp1	wrky33_endophytes_tp1	B2_bio1	GR4B2bio1tp1wrky33endophytestech2bacteria
GR4B2bio1tp1wrky33endophytestech3bacteria	B5_7	greenhouse	GR4	B2	bio1	tp1	wrky33	endophytes	tech3	bacteria	wrky33_endophytes	wrky33_tp1	endophytes_tp1	wrky33_endophytes_tp1	B2_bio1	GR4B2bio1tp1wrky33endophytestech3bacteria
GR4B2bio1tp1wrky33endophytestech4bacteria	B5_8	greenhouse	GR4	B2	bio1	tp1	wrky33	endophytes	tech4	bacteria	wrky33_endophytes	wrky33_tp1	endophytes_tp1	wrky33_endophytes_tp1	B2_bio1	GR4B2bio1tp1wrky33endophytestech4bacteria
GR4B2bio1tp1wrky40endophytestech1bacteria	B5_9	greenhouse	GR4	B2	bio1	tp1	wrky40	endophytes	tech1	bacteria	wrky40_endophytes	wrky40_tp1	endophytes_tp1	wrky40_endophytes_tp1	B2_bio1	GR4B2bio1tp1wrky40endophytestech1bacteria
GR4B2bio1tp1wrky40endophytestech2bacteria	B5_10	greenhouse	GR4	B2	bio1	tp1	wrky40	endophytes	tech2	bacteria	wrky40_endophytes	wrky40_tp1	endophytes_tp1	wrky40_endophytes_tp1	B2_bio1	GR4B2bio1tp1wrky40endophytestech2bacteria
GR4B2bio1tp1wrky40endophytestech3bacteria	B5_11	greenhouse	GR4	B2	bio1	tp1	wrky40	endophytes	tech3	bacteria	wrky40_endophytes	wrky40_tp1	endophytes_tp1	wrky40_endophytes_tp1	B2_bio1	GR4B2bio1tp1wrky40endophytestech3bacteria
GR4B2bio1tp1wrky40endophytestech4bacteria	B5_12	greenhouse	GR4	B2	bio1	tp1	wrky40	endophytes	tech4	bacteria	wrky40_endophytes	wrky40_tp1	endophytes_tp1	wrky40_endophytes_tp1	B2_bio1	GR4B2bio1tp1wrky40endophytestech4bacteria
GR4B2bio1tp1lyk5endophytestech1bacteria	B5_13	greenhouse	GR4	B2	bio1	tp1	lyk5	endophytes	tech1	bacteria	lyk5_endophytes	lyk5_tp1	endophytes_tp1	lyk5_endophytes_tp1	B2_bio1	GR4B2bio1tp1lyk5endophytestech1bacteria
GR4B2bio1tp1lyk5endophytestech2bacteria	B5_14	greenhouse	GR4	B2	bio1	tp1	lyk5	endophytes	tech2	bacteria	lyk5_endophytes	lyk5_tp1	endophytes_tp1	lyk5_endophytes_tp1	B2_bio1	GR4B2bio1tp1lyk5endophytestech2bacteria
GR4B2bio1tp1lyk5endophytestech3bacteria	B5_15	greenhouse	GR4	B2	bio1	tp1	lyk5	endophytes	tech3	bacteria	lyk5_endophytes	lyk5_tp1	endophytes_tp1	lyk5_endophytes_tp1	B2_bio1	GR4B2bio1tp1lyk5endophytestech3bacteria
GR4B2bio1tp1lyk5endophytestech4bacteria	B5_16	greenhouse	GR4	B2	bio1	tp1	lyk5	endophytes	tech4	bacteria	lyk5_endophytes	lyk5_tp1	endophytes_tp1	lyk5_endophytes_tp1	B2_bio1	GR4B2bio1tp1lyk5endophytestech4bacteria
GR4B2bio1tp1bbcendophytestech1bacteria	B5_17	greenhouse	GR4	B2	bio1	tp1	bbc	endophytes	tech1	bacteria	bbc_endophytes	bbc_tp1	endophytes_tp1	bbc_endophytes_tp1	B2_bio1	GR4B2bio1tp1bbcendophytestech1bacteria
GR4B2bio1tp1bbcendophytestech2bacteria	B5_18	greenhouse	GR4	B2	bio1	tp1	bbc	endophytes	tech2	bacteria	bbc_endophytes	bbc_tp1	endophytes_tp1	bbc_endophytes_tp1	B2_bio1	GR4B2bio1tp1bbcendophytestech2bacteria
